conjunction	y       	and      	and                                                       
conjunction	e       	and      	and [before a word that starts with 'i']                  
conjunction	o       	or       	or                                                        
conjunction	u       	or       	or [before a word that starts with 'o']                   
conjunction	pero    	but      	but                                                       
conjunction	sino    	but      	but [after a negative clause]                             
conjunction	si      	if       	if                                                        
conjunction	como    	how      	how; like                                                 
conjunction	más     	more     	more; plus                                                
conjunction	ya      	already  	already                                                   
conjunction	ahora   	now      	now; today                                                
conjunction	cuando  	when     	when                                                      
conjunction	porque  	because  	because                                                   
conjunction	ni      	nor      	neither; nor                                              
conjunction	donde   	where    	where                                                     
conjunction	pues    	well     	well [you see...]                                         
conjunction	mas     	yet      	yet [formal]                                              
conjunction	conforme	as       	as, while varying through time to the same proportion that
conjunction	conque  	therefore	consequently, thus, hence, so                             
conjunction	ca      	because  	because [obsolete]                                        
conjunction	sii     	if       	iff [rare]                                                
conjunction	ergo    	therefore	therefore                                                 
