*	*	singular	singular	plural	plural	#			
*	*	gothic	latin	gothic	latin	#			
animal	nominative	𐌳𐌹𐌿𐍃	dius	𐌳𐌹𐌿𐌶𐌰	diuza	#	neuter a-stem		
animal	vocative	𐌳𐌹𐌿𐍃	dius	𐌳𐌹𐌿𐌶𐌰	diuza	#			
animal	accusative	𐌳𐌹𐌿𐍃	dius	𐌳𐌹𐌿𐌶𐌰	diuza	#			
animal	genitive	𐌳𐌹𐌿𐌶𐌹𐍃	diuzis	𐌳𐌹𐌿𐌶𐌴	diuzē	#			
animal	dative	𐌳𐌹𐌿𐌶𐌰	diuza	𐌳𐌹𐌿𐌶𐌰𐌼	diuzam	#			
attention	nominative	𐌼𐌹𐍄𐍉𐌽𐍃	mitōns	𐌼𐌹𐍄𐍉𐌽𐌴𐌹𐍃	mitōneis	#	feminine i-stem		
attention	vocative	𐌼𐌹𐍄𐍉𐌽	mitōn	𐌼𐌹𐍄𐍉𐌽𐌴𐌹𐍃	mitōneis	#			
attention	accusative	𐌼𐌹𐍄𐍉𐌽	mitōn	𐌼𐌹𐍄𐍉𐌽𐌹𐌽𐍃	mitōnins	#			
attention	genitive	𐌼𐌹𐍄𐍉𐌽𐌰𐌹𐍃	mitōnais	𐌼𐌹𐍄𐍉𐌽𐌴	mitōnē	#			
attention	dative	𐌼𐌹𐍄𐍉𐌽𐌰𐌹	mitōnai	𐌼𐌹𐍄𐍉𐌽𐌹𐌼	mitōnim	#			
bird	nominative	𐍆𐌿𐌲𐌻𐍃	fugls	𐍆𐌿𐌲𐌻𐍉𐍃	fuglōs	#	masculine a-stem		
bird	vocative	𐍆𐌿𐌲𐌻	fugl	𐍆𐌿𐌲𐌻𐍉𐍃	fuglōs	#			
bird	accusative	𐍆𐌿𐌲𐌻	fugl	𐍆𐌿𐌲𐌻𐌰𐌽𐍃	fuglans	#			
bird	genitive	𐍆𐌿𐌲𐌻𐌹𐍃	fuglis	𐍆𐌿𐌲𐌻𐌴	fuglē	#			
bird	dative	𐍆𐌿𐌲𐌻𐌰	fugla	𐍆𐌿𐌲𐌻𐌰𐌼	fuglam	#			
boat	nominative	𐍃𐌺𐌹𐍀	skip	𐍃𐌺𐌹𐍀𐌰	skipa	#	neuter a-stem		
