motion	cast	subject	subject	subject	verb	direct object	preposition	declined noun	declined noun	declined noun																
		modifier	function	argument				modifier	function	argument																
					be	bad			be	bad concept																
					be	good			be	good concept																
					be	good			be	ethical emotion																
					be	bad			be	suspect emotion																
					be	big			has-trait	size																
					be	long			has-trait	length																
					come			the	be	time																
					come			the	be	event																
		the	be	man	love				be	bad concept																
		the	be	man	hate				be	good concept																
		the	be	man	love				be	positive emotion																
		the	be	man	hate				be	negative emotion																
		the	be	man	love			the	be	time																
		the	be	man	love			the	be	pet																
		the	be	man	love			the	be	woman																
		the	be	man	see			the	can	be-seen																
		the	be	man	hear			the	can	be-heard																
		the	be	thought			of		be	concept																
		the	be	thought			of		be	emotion																
		the	be	size			of		has-trait	size																
		the	be	sound			of		can	be-heard																
leveraged	location	the	be	man	navigate		by way of	the	can	be-seen																
departed	location	the	be	man	direct	his attention	from	the	can	be-seen																
associated	location	the	be	man	direct	his attention	at	the	can	be-seen																
acquired	location	the	be	man	direct	his attention	toward	the	can	be-seen																
departed	location	the	be	man	direct	his attention	from	the	can	be-heard																
associated	location	the	be	man	direct	his attention	at	the	can	be-heard																
acquired	location	the	be	man	direct	his attention	toward	the	can	be-heard																
departed	location	the	be	man	direct	his attention	from	the	be	concept																
associated	location	the	be	man	direct	his attention	at	the	be	concept																
acquired	location	the	be	man	direct	his attention	toward	the	be	concept																
departed	location	the	be	man	walk		away from	the	can	be-walked-to																
associated	location	the	be	man	walk		at	the	can	be-walked-to																
acquired	location	the	be	man	walk		to	the	can	be-walked-to																
leveraged	location	the	be	man	walk		via	the	can	be-walked-to																
departed	extent	the	be	man	direct	his attention	starting from	the	can	be-seen																
associated	extent	the	be	man	direct	his attention	beside	the	can	be-seen																
acquired	extent	the	be	man	direct	his attention	up to	the	can	be-seen																
acquired	extent	the	be	man	direct	his attention	along [the edges of]	the	can	be-seen																
departed	extent	the	be	man	direct	his attention	starting from	the	can	be-heard																
associated	extent	the	be	man	direct	his attention	beside	the	can	be-heard																
acquired	extent	the	be	man	direct	his attention	up to	the	can	be-heard																
departed	extent	the	be	man	direct	his attention	starting from	the	be	concept																
associated	extent	the	be	man	direct	his attention	beside	the	be	concept																
acquired	extent	the	be	man	direct	his attention	up to	the	be	concept																
departed	location	the	be	man	walk		starting from	the	can	be-walked-to																
associated	location	the	be	man	walk		beside	the	can	be-walked-to																
acquired	location	the	be	man	walk		up to	the	can	be-walked-to																
leveraged	location	the	be	man	walk		along	the	can	be-walked-to																
departed	vicinity	the	be	man	walk		from around	the	can	be-walked-by																
associated	vicinity	the	be	man	walk		by	the	can	be-walked-by																
acquired	vicinity	the	be	man	walk		to around	the	can	be-walked-by																
