last stem vowel		*	*	*	singular 	dual	plural 		
a~u, a~i, or u~u	active verbs	indicative	1	common	ʔa-		na-	examples:	
a~u, a~i, or u~u	active verbs	indicative	2	masculine	ta- 		ta- -ū 	ðakkar ~ *ðkur	invoke
a~u, a~i, or u~u	active verbs	indicative	2	feminine	ta- -ī 		ta- -ā 	sarrak ~ srik	steal
a~u, a~i, or u~u	active verbs	indicative	2	common		ta- -ā			
a~u, a~i, or u~u	active verbs	indicative	3	masculine	yi- 		yi- – -ū 		
a~u, a~i, or u~u	active verbs	indicative	3	feminine	ta- 		yi- – -ā 		
a~u, a~i, or u~u	active verbs	indicative	3	common		ya- – -ā			
a~u, a~i, or u~u	active verbs	imperative	2	masculine	- 		-ū 		
a~u, a~i, or u~u	active verbs	imperative	2	common		-ā 			
a~u, a~i, or u~u	active verbs	imperative	2	feminine	-ī 		-na		
i~a or a~a	active verbs	indicative	1	common	ʔi-		ni-	sallim ~ slam	be whole
i~a or a~a	active verbs	indicative	2	masculine	ti- 		ti- -ū 		
i~a or a~a	active verbs	indicative	2	feminine	ti- -ī 		ti- -ā 		
i~a or a~a	active verbs	indicative	2	common		ti- -ā			
i~a or a~a	active verbs	indicative	3	masculine	yi- 		yi- – -ū 		
i~a or a~a	active verbs	indicative	3	feminine	ti- 		yi- – -ā 		
i~a or a~a	active verbs	indicative	3	common		yi- – -ā			
i~a or a~a	active verbs	imperative	2	masculine	- 		-ū 		
i~a or a~a	active verbs	imperative	2	common		-ā 			
i~a or a~a	active verbs	imperative	2	feminine	-ī 		-na		
