pronoun 	 der 	 who 	 who; what; that 	 who; that; which 	 this one; that one; who; whom; that; what; which
pronoun 	 ich 	 me 	 me; i 	  	 i; me
pronoun 	 sie 	 it 	 she 	 she 	 them; it; she; they; her
pronoun 	 du 	 you 	 you 	 you thou, singular familiar 	 you; thou
conjunction 	 dass 	 that 	 that 	 that 	 that
pronoun 	 es 	 it 	 it; her 	 The third-person singular personal pronoun used to refer neuter nouns in the nominative and accusative cases — it , he or him , or she or her 	 it; she; her
interjection 	 nicht 	 eh 	 eh 	 right?; is it?; is it not? 	 eh; never say die
pronoun 	 er 	 it 	 he 	 he 	 they; it; he
interjection 	 und 	  	  	 so?, now?, and? 	 
conjunction 	 und 	 and 	 and 	 and 	 and
determiner 	 was 	  	  	 what; what kind of 	 
pronoun 	 was 	 which 	 what 	 what 	 what; which
preposition 	 zu 	 at 	 at; for; to 	  	 at; to; toward; for; unto
particle 	 zu 	 to 	 to 	 to 	 to
preposition 	 in 	 in 	 in 	  	 at; to; into; in; inside; within; during; on
pronoun 	 einer 	 someone 	 one 	 one 	 someone; one; somebody
determiner 	 ihr 	 you 	 you; her 	 her possessive 	 its; their; you; her
preposition 	 mit 	 in 	 in 	  	 with; by; against; in; upon
interjection 	 ja 	 yes 	 yes 	 yes 	 as if; yes
determiner 	 mein 	 my 	 my 	 my 	 my
conjunction 	 wie 	 as 	 like 	 like 	 how; as
preposition 	 auf 	 in 	 in 	  	 at; to; toward; onto; into; in; upon; on; unto
interjection 	 auf 	  	  	 carry on 	 
conjunction 	 aber 	 but 	 but 	 but; however; though 	 but
conjunction 	 so 	 so 	 so 	 an, if 	 so
pronoun 	 so 	  	  	 that, which, who 	 
interjection 	 hier 	  	  	  	 
preposition 	 für 	 for 	 for 	  	 toward; for
preposition 	 von 	 in 	 in 	  	 by; out of; from; of; in; about
conjunction 	 wenn 	 if 	 when 	 when 	 when; as long as; if; whenever
determiner 	 sein 	 its 	 his 	 his 	 its; his
interjection 	 nein 	 no 	 no 	 no 	 d'oh
preposition 	 an 	 at 	 at; on 	  	 at; on
pronoun 	 ihr 	 you 	 you; her 	 you, ye plural, familiar 	 its; hers; you; her
conjunction 	 noch 	 nor 	 nor 	 nor; function word introducing each except the first term or series, indicating none of them is true 	 nor
conjunction 	 da 	 because 	 because; as; for 	 since; as; because; given that 	 since; as; for; because
conjunction 	 nur 	 but 	 but 	 but 	 but
pronoun 	 sich 	 yourself 	 yourself 	 Reflexive pronoun of the third person singular: herself, himself, itself, oneself 	 themselves; herself; himself; yourselves; oneself; yourself
pronoun 	 wir 	 we 	 we 	  	 we
interjection 	 auch 	  	  	 in answering a yes-no question, used to express that the thing asked about covers part of the truth but not all of it; “yes, and more” 	 
conjunction 	 als 	 once 	 once; as; but 	 at  the same moment; when; while; as 	 as; as if; but; once
interjection 	 gut 	 ok 	 ok 	 okay, all right, now then 	 well; ok; all right
preposition 	 aus 	 from 	 from; out; of 	  	 out; from; of; out of
preposition 	 um 	 around 	 around; circa; at 	  	 circa; at; toward; by; around
conjunction 	 um 	  	  	 in order to, so as to 	 
determiner 	 dein 	 your 	 your 	 thy, your esp. to friends, relatives, children, etc 	 thine; thy; your
pronoun 	 meiner 	  	  	  	 
pronoun 	 alles 	 everything 	 everything 	 everything; all 	 everything
conjunction 	 doch 	 yet 	 yet 	 though; yet; but; however; nevertheless 	 yet
determiner 	 alles 	  	  	  	 
particle 	 oder 	  	  	 right?; is it?; is it not? 	 
conjunction 	 oder 	 or 	 or 	 or 	 or
preposition 	 nach 	 at 	 at; like; for 	  	 following; after; like; according to; at; to; toward; by; for
pronoun 	 dieser 	 this 	 this 	  	 this one; this
pronoun 	 nichts 	 nothing 	 nothing 	 nothing 	 naught; nothing
pronoun 	 man 	 they 	 one, you 	 one, you 	 they; you; one
conjunction 	 wo 	 when 	 when 	 when 	 where
pronoun 	 wo 	 where 	 where 	 who, whom, which, that 	 where
pronoun 	 etwas 	 something 	 something 	 something 	 some; something
interjection 	 oh 	 oh 	 oh 	 oh 	 oh
interjection 	 also 	 so 	 so 	 alright 	 right; so; all right
conjunction 	 also 	  	  	 so, therefore 	 
determiner 	 all 	 all 	 all 	 all 	 all
preposition 	 bei 	 at 	 at; with; by 	  	 with; at; by; chez; on
pronoun 	 wer 	 anyone 	 who 	 who 	 anyone; who; anybody; somebody
interjection 	 bitte 	 not at all 	 not at all 	 you're welcome 	 not at all; my pleasure
preposition 	 vor 	 from 	 from; to; of 	  	 because of; in front of; to; from; of; before
interjection 	 los 	 now 	 now 	 come on!, let's go! 	 now; come on
pronoun 	 all 	  	  	  	 
