chapter_id	entry_id	meaning	Tocharian B_Phonemic	comment
1	100	world	śaiṣṣe	
1	210	earth, land	keṃ	
1	212	earth=ground, soil	keṃ	
1	213	dust	tweye; taur	Also mean 'ashes' 01.840.; Also mean 'ashes' 01.840.
1	215	sand	waraɲce	
1	220	mountain, hill	ṣale	
1	222	cliff, precipice	yast	
1	230	plain, field	mīṣe; warśo	Respectively: 'cultivated field'; ' + or - plain'. First example is Iranian loan.; Respectively: 'cultivated field'; ' + or - plain'. First example is Iranian loan.
1	240	valley	lenke	
1	250	island	prenke	[dvip] is Indic loanword.
1	260	mainland	ścomaɲ	
1	270	shore	manarko; totte	Respectively: 'shore, bank; (farther) shore'.; Respectively: 'shore, bank; (farther) shore'.
1	310	water	war; wranta	Second forms are plural.; Second forms are plural.
1	320	sea	lyam	
1	329	ocean	samuttär	Indic loan words.
1	360	river, stream, brook	cake	
1	370	spring, well	ālme	
1	380	swamp	kärkkālle	
1	410	woods, forest	karāś	
1	420	tree (cf 08.600)	stām	
1	430	wood	or	'Of wood, wooden': B oraṣṣe; A orṣi.
1	440	stone, rock	kärweɲe	
1	510	sky	eprer; iprer	Also means 'air' 01.710.; Also means 'air' 01.710.
1	520	sun	kauṃ	Also means 'day' 14.410.
1	530	moon	meɲe	Also means 'month' 14.710, q.v.
1	540	star	ścirye	
1	570	lightning (as striking)	waśīr; wājrä	Indic loanwords.; Indic loanwords.
1	580	storm	praściye	
1	610	light (noun)	lyūke	
1	620	darkness	orkamɲe	
1	630	shade, shadow	skiyo	
1	710	air	eprer; iprer	Also means 'sky' 01.510.; Also means 'sky' 01.510.
1	720	wind	yente	
1	730	cloud	tarkär	
1	750	rain (noun)	swese	
1	760	snow (noun)	śiɲcatstse	Means 'snowy'.
1	810	fire	puwar	
1	820	flame (noun)	sleme	
1	840	ashes	tweye; taur	Also mean 'dust' 01.213.; Also mean 'dust' 01.213.
1	851	burn (vb trans)	tsäk-	Inactive form.
1	852	burn (vb intrans)	tsäk-	First term occurs when in middle form.
1	860	light, kindle, ignite	twās-	
1	861	extinguish	käs-	
1	880	firewood	ārwa	Plural form of or 'wood' 01.430.
2	100	person, human being	śaumo	
2	210	man (vs. woman)	enkwe	
2	220	woman	śana; klīye	Also means 'wife' 02.320.; Also means 'wife' 02.320.
2	230	male	enkwaɲɲe	
2	240	female	klaiɲɲe; kùleɲci	Prob. applied to animals, but no sure data.; Prob. applied to animals, but no sure data.
2	250	boy	śamaśke	Also used for 'child' 02.270.
2	251	young man (adolescent)	maiwe	
2	260	girl	śamɲãṃśka	
2	270	child	śamaśke	Also means 'son' 02.250.
2	310	husband	petso	Acc. singular.
2	320	wife	śana	Also means 'woman' 02.220.
2	350	father	pācer	
2	360	mother	mācer	
2	410	son	soy	Latter form refers to plural accusative 'sons'.
2	420	daughter	tkācer	
2	430	offspring (son or daughter)	säsuwerṣke	
2	440	brother	procer	
2	450	sister	ṣer	
2	460	grandfather	orotstse-pācer	Lit. 'great-father' 12.550.
2	461	old man	śrān-; moko	
2	560	ancestors	āppo	Both forms are singular.
2	810	relatives, kinsmen	ṣɲaṣṣi	Derivatives of reflexive pronoun 'own'.
2	820	family	kottär	Indic loanwords - B[kottär].
2	910	I	ɲäś; ɲiś	Forms for A are: masc., fem.; Forms for A are: masc., fem.
2	920	you (singular)	tuwe	
2	940	we	wes	
2	950	you (plural)	yes	
3	110	animal	luwo	apparently includes 'bird' which is ṣalamo luwo 'flying animal', and opposed to ynamo luwo 'going animal' (= + or - mammal).
3	120	male (adj)	enkwaɲɲe	
3	130	female (adj)	klaiɲɲe	
3	150	livestock	koraiɲ	Plural (?).
3	210	bull	kaùrṣe	
3	220	ox	okso	
3	230	cow	keu	
3	250	sheep	śaiyye; eye	Form A is 'collective'.; Form A is 'collective'.
3	260	ram	yriye	
3	350	pig	suwo	
3	360	goat	aṣiye	'Pertaining to a goat'.
3	410	horse (equine)	yakwe	
3	460	ass, donkey	kercapo	
3	550	chicken	kranko	
3	560	goose	yamuttsi	Exact specification unknown. (?)
3	570	duck	yamuttsi	Exact specification unknown. (?)
3	580	nest	lesto	
3	581	bird	ṣalamo luwo	Lit. 'flying animal' 03.110.
3	584	eagle	kurār	Means 'osprey'; Indic loanword.
3	591	bat	arśakärśa	
3	593	crow	wrauɲa	
3	594	dove	ekṣinek	Iranian loanword.
3	596	owl	uluke	Indic loanword.
3	610	dog	ku	
3	614	rabbit	ṣaṣe	'Hare', Indic loanword.
3	620	cat	mārjāre	Indic loanword.
3	630	mouse, rat	mäścītsi; ākhu	Respectively: plural form; Indic loanword.; Respectively: plural form; Indic loanword.
3	650	fish	laks; läkṣi	Latter form is plural, masc. Cf. 'salmon' in IE.; Latter form is plural, masc. Cf. 'salmon' in IE.
3	654	gill	läksaɲɲe klautso	Lit. 'fish ear' 04.220.
3	655	shell	lyɲā-	
3	710	wolf	walkwe	
3	720	lion	ṣecake	
3	750	deer	karse	
3	760	monkey	mokoṃśke	Apparently lit. 'little old man' 02.461.
3	770	elephant	onkolme	
3	780	camel	partāktaɲɲe	Adj. form 'pertaining to a camel'.
3	810	insect	peṣele	(?)
3	811	louse	pärśeri	(?)
3	817	ant	warme	
3	818	spider	yape	
3	819	spider web	wpelme	
3	820	bee	kroṅkśe; kroṅśe	Cf. 'hornet' in IE.; Cf. 'hornet' in IE.
3	821	beeswax	śeriye	(?)
3	830	fly	tanaulyko	
3	840	worm	yel	Form A is plural.
3	850	snake	auk; arṣāklo	
3	930	grasshopper	śalāp	Indic loanword.
3	980	turtle	kaccāp	Indic loanword.
4	110	body	kektseɲe	
4	120	skin, hide	yetse; ewe	respectively: 'outer skin, inner skin'.; respectively: 'outer skin, inner skin'.
4	130	flesh	misa	form is plural.
4	140	hair (head)	matsi	
4	142	beard	traksiɲ	Plural form. (?)
4	144	body hair	yok	'Body hair (of humans), animal hair, fleece'.
4	145	pubic hair	to	
4	150	blood	yasar	
4	151	vein, artery	auloɲ	Plural form. 'Sinew' is GSL B sɲor; puskāɲ (pl.).
4	160	bone	āy; āsta	Respectively: sg.; plural.; Respectively: sg.; plural.
4	162	rib	pauṣke	
4	170	horn	krorīya	
4	180	tail	päkā-	
4	190	back	sark	
4	200	head	āśce	GSL A mrāc-spāl(yo) means 'with the head', lit. 'top + head'.
4	201	side of head, temple	naitwe	
4	204	face	särwāna	B form is plural. A form, lit. 'eye + nose' 04.210+04.230.
4	205	forehead	ānte	
4	207	jaw	wicūko	Form A is 'dual'.
4	208	cheek	wicūko	
4	210	eye	ek	See 'face' 04.204.
4	212	eyebrow	pärwāne	'Dual'.
4	220	ear	klautso	Cf. 'hear' 15.410.
4	230	nose	meli	form is plural.
4	232	mucus (nasal)	leśp	Means 'mucus, slime', Indic loanword.
4	240	mouth	koyn	
4	250	lip	lymine	Forms are 'dual'.
4	260	tongue	kantwo	
4	270	tooth	keme	
4	281	nape of neck	krāɲi	
4	290	throat	ṣankw; kor	
4	300	shoulder	āntse	
4	310	arm	pokai	form is accusative singular.
4	321	wrist	āto	(?)
4	330	hand	ṣar	
4	331	palm of hand	alyiye	
4	340	finger	prāri	
4	344	fingernail	mekwa	Plural forms: 'finger/toe nails'.
4	350	leg	ckācko	
4	351	thigh	märkwace; mlyuwe	
4	352	calf of leg	ckācko	Also 'leg' in general.
4	360	knee	keni	'Dual' forms.
4	370	foot	paiyye	
4	371	ankle	porsno	(?)
4	372	heel	kuke	(?)
4	374	footprint	ṣiko	
4	393	feather	parwa	Plural form.
4	400	chest	canke; pratsāko	
4	410	breast (of woman)	piśpik; päścane	Second B and A form are dual. (?); Second B and A form are dual. (?)
4	412	nipple, teat	piśpik	(?)
4	430	navel	kele	
4	440	heart	araɲce	käryāɲ (nom. pl.) 'hearts'.
4	450	liver	wästarye	
4	460	stomach	kātso	
4	464	buttocks	śroɲi	Indic loanword.
4	470	womb	kaläl	
4	490	testicle	erkatstse	'Testiculate'.
4	492	penis	tso	
4	510	breathe, breath	anāsk-	Respectively: 'breathe; breath'.
4	520	yawn, gape	kāy-	
4	530	cough	kosi	Noun form.
4	550	perspire	si-; syelme	Latter form is noun, 'perspiration'.; Latter form is noun, 'perspiration'.
4	560	spit	pitke	Noun form.
4	570	vomit	ankaiṃ yām-	
4	580	bite	tsāk-	
4	610	sleep	klänts-; ṣpane	Second forms of B and A are nouns.; Second forms of B and A are nouns.
4	630	wake up	āks-	
4	650	urinate	miśo	Noun form.
