chapter_id	entry_id	meaning	Tocharian A_Phonemic	comment
1	100	world	ārkiśoṣi	
1	210	earth, land	tkaṃ	
1	212	earth=ground, soil	tkaṃ	
1	213	dust	twe; tor	Also mean 'ashes' 01.840.; Also mean 'ashes' 01.840.
1	214	mud	lyom	(?)
1	215	sand	wāryāɲc	
1	220	mountain, hill	ṣul	
1	250	island	prank; dvip	[dvip] is Indic loanword.; [dvip] is Indic loanword.
1	260	mainland	śoṃ	
1	310	water	wär; wräntu	Second forms are plural.; Second forms are plural.
1	320	sea	lyäm	
1	329	ocean	sāmudtär	Indic loan words.
1	380	swamp	kärtkāl	
1	410	woods, forest	kārāś	
1	420	tree (cf 08.600)	ṣtām	
1	430	wood	or	'Of wood, wooden': B oraṣṣe; A orṣi.
1	440	stone, rock	pāreṃ	
1	510	sky	eprer-	Also means 'air' 01.710.
1	520	sun	koṃ	Also means 'day' 14.410.
1	530	moon	maɲ	Also means 'month' 14.710, q.v.
1	540	star	śre-	
1	550	lightning	polkāṃts	
1	570	lightning (as striking)	vājär	Indic loanwords.
1	610	light (noun)	lkäś	
1	620	darkness	orkäm	
1	710	air	eprer-	Also means 'sky' 01.510.
1	720	wind	want	
1	730	cloud	tärkär	
1	750	rain (noun)	swase	
1	810	fire	por	
1	820	flame (noun)	slam	
1	840	ashes	twe; tor	Also mean 'dust' 01.213.; Also mean 'dust' 01.213.
1	851	burn (vb trans)	tsäk-	Inactive form.
1	852	burn (vb intrans)	sälp-	First term occurs when in middle form.
1	860	light, kindle, ignite	tu-	
1	861	extinguish	käs-	
2	100	person, human being	napeṃ	
2	210	man (vs. woman)	onk	
2	220	woman	śäṃ; kùli	Also means 'wife' 02.320.; Also means 'wife' 02.320.
2	230	male	oɲi	
2	250	boy	śom	Also used for 'child' 02.270.
2	251	young man (adolescent)	wir	
2	260	girl	śomiṃ	
2	270	child	śom	Also means 'son' 02.250.
2	320	wife	śäṃ	Also means 'woman' 02.220.
2	350	father	pācar	
2	360	mother	mācar	
2	410	son	se; sewās	Latter form refers to plural accusative 'sons'.; Latter form refers to plural accusative 'sons'.
2	420	daughter	ckācar	
2	440	brother	pracar	
2	450	sister	ṣar	
2	560	ancestors	āp	Both forms are singular.
2	810	relatives, kinsmen	ṣɲaṣṣeɲ	Derivatives of reflexive pronoun 'own'.
2	820	family	kotär	Indic loanwords.
2	910	I	näṣ; ɲuk	Forms for A are: masc., fem.; Forms for A are: masc., fem.
2	920	you (singular)	tu	
2	940	we	was	
2	950	you (plural)	yas	
3	110	animal	lu	apparently includes 'bird' which is ṣalamo luwo 'flying animal', and opposed to ynamo luwo 'going animal' (= + or - mammal).
3	120	male (adj)	oɲi	
3	130	female (adj)	kùleɲci	
3	160	pasture	wäsri	
3	210	bull	kayurṣ	
3	230	cow	ko	
3	250	sheep	śoś	Form A is 'collective'.
3	280	ewe	āù	
3	410	horse (equine)	yuk	
3	593	crow	sukrāṃ	
3	610	dog	ku	
3	720	lion	śiśäk	
3	770	elephant	onkaläm	
3	820	bee	kroṅśe	Cf. 'hornet' in IE.
3	840	worm	walyī	Form A is plural.
3	850	snake	ārṣal	
4	110	body	kapśaɲi	
4	120	skin, hide	yats	respectively: 'outer skin, inner skin'.
4	130	flesh	śwāl	form is plural.
4	140	hair (head)	śāku	
4	144	body hair	yok	'Body hair (of humans), animal hair, fleece'.
4	150	blood	ysār	
4	160	bone	āy; āyäntu	Respectively: sg.; plural.; Respectively: sg.; plural.
4	170	horn	kror	
4	191	spine	särśi	
4	200	head	mrāc; lap	GSL A mrāc-spāl(yo) means 'with the head', lit. 'top + head'.; GSL A mrāc-spāl(yo) means 'with the head', lit. 'top + head'.
4	204	face	ak-mal	B form is plural. A form, lit. 'eye + nose' 04.210+04.230.
4	205	forehead	ānt	
4	207	jaw	śanweṃ	Form A is 'dual'.
4	210	eye	ak	See 'face' 04.204.
4	212	eyebrow	pärwāṃ	'Dual'.
4	220	ear	klots	Cf. 'hear' 15.410.
4	230	nose	mal	form is plural.
4	240	mouth	ko	
4	250	lip	lymeṃ	Forms are 'dual'.
4	260	tongue	käntu	
4	270	tooth	kam	
4	280	neck	kɲuk	
4	290	throat	ṣunk	
4	300	shoulder	es	
4	310	arm	poke	form is accusative singular.
4	330	hand	tsar	
4	331	palm of hand	āle	
4	340	finger	prār	
4	344	fingernail	maku	Plural forms: 'finger/toe nails'.
4	360	knee	kanweṃ	'Dual' forms.
4	370	foot	pe	
4	374	footprint	ṣik	
4	400	chest	pratsak	
4	410	breast (of woman)	päśśäṃ	Second B and A form are dual.
4	440	heart	āriɲc	käryāɲ (nom. pl.) 'hearts'.
4	460	stomach	kāts	
4	510	breathe, breath	wraseṃ	Respectively: 'breathe; breath'.
4	520	yawn, gape	śew-	
4	610	sleep	klis-; ṣpäṇ	Second forms of B and A are nouns.; Second forms of B and A are nouns.
4	630	wake up	wār-	
4	710	beget (of father)	täm-	When active in form.
4	720	born (to be)	täm-	When middle in form.
