chapter_id	entry_id	meaning	Gothic_StandardOrth	comment
1	100	world	fairhwus; midjungards; manaseþs	
1	210	earth, land	airþa; land	
1	212	earth=ground, soil	mulda	
1	213	dust	stubjus	
1	214	mud	fani	
1	215	sand	malma	
1	220	mountain, hill	fairguni; hlain	
1	222	cliff, precipice	driuso	
1	230	plain, field	haiþi	
1	240	valley	dals	
1	270	shore	staþa	
1	280	cave	hulundi	
1	310	water	wato	
1	320	sea	marei	
1	322	calm (of sea)	wis	
1	324	foam	hwaþo	
1	330	lake	saiws; mari-saiws	
1	350	wave	wegos	Plural form.
1	360	river, stream, brook	ahwa; flodus	Also rinno 'torrent'.; Also rinno 'torrent'.
1	370	spring, well	brunna	
1	420	tree (cf 08.600)	bagms	
1	430	wood	triu	
1	440	stone, rock	stains; hallus	
1	450	earthquake	reiro	
1	510	sky	himins	
1	520	sun	sauil; sunno	
1	530	moon	mena	
1	540	star	stairno	
1	550	lightning	lauhmuni	
1	560	thunder	þeihwo	
1	580	storm	wegs	
1	610	light (noun)	liuhaþ	
1	620	darkness	riqis	
1	630	shade, shadow	skadus	
1	710	air	luftus	
1	720	wind	winds	
1	730	cloud	milhma	
1	750	rain (noun)	rign	
1	760	snow (noun)	snaiws	
1	770	ice	iiz	Name of the rune for < i >.
1	810	fire	fon	
1	840	ashes	azgo	
1	851	burn (vb trans)	brannjan	
1	852	burn (vb intrans)	brinnan	
1	860	light, kindle, ignite	tandjan	
1	861	extinguish	afhwapjan	
2	100	person, human being	manna	See 'face' 04.204.
2	210	man (vs. woman)	wair; aba	
2	220	woman	qino	
2	230	male	gumeins; gumakunds	
2	240	female	qineins; qina-kinds	
2	250	boy	magus	
2	260	girl	mawi	
2	270	child	barn	
2	280	infant, baby	barn	
2	310	husband	aba	
2	320	wife	qens	
2	330	marry	liugan	
2	340	marriage, wedding	liuga	
2	341	divorce	gaskaidnan	Verbal form.
2	350	father	atta; fadar	
2	360	mother	aiþei	
2	370	parents	berusjos; fadrein	
2	410	son	sunus	
2	420	daughter	dauhtar	
2	430	offspring (son or daughter)	frasts	
2	440	brother	broþar	
2	450	sister	swistar	
2	470	grandmother	awo	
2	480	grandson	barne barna	Lit. 'child of children'.
2	490	granddaughter	barne barna	Lit. 'child of children'.
2	550	cousin	gadiliggs	
2	560	ancestors	gadreina	
2	610	father-in-law (of a man)	swaihra	
2	611	father-in-law (of a woman)	swaihra	
2	620	mother-in-law (of a man)	swaihro	
2	621	mother-in-law (of a woman)	swaihro	
2	630	son-in-law (of a man)	megs	
2	631	son-in-law (of a woman)	megs	
2	640	daughter-in-law (of a man)	bruþs	
2	641	daughter-in-law (of a woman)	bruþs	
2	750	orphan	widuwairna	
2	760	widow	widuwo	
2	810	relatives, kinsmen	niþjis	
2	820	family	gards	
2	910	I	ik	
2	920	you (singular)	þu	
2	930	he/she/it	is; si; it; izei	
2	940	we	weis	
2	950	you (plural)	jus	
2	960	they	eis	
3	110	animal	dius	
3	160	pasture	winja	
3	180	herdsman	hairdeis	
3	190	stable, stall	awistr	Means 'sheepfold'.
3	220	ox	auhsus	
3	240	calf	stiur; kalbo	Respectively: 'steer; young cow'; Respectively: 'steer; young cow'
3	250	sheep	lamb	
3	290	lamb	lamb; wiþrus	
3	320	boar	swein	Means 'swine'.
3	360	goat	gaits	
3	450	foal, colt	fula	
3	460	ass, donkey	asilus	
3	500	fowl	fugls	
3	520	cock, rooster	hana	
3	581	bird	fugls	
3	584	eagle	ara	
3	594	dove	ahaks; dubo; hraiwadubo	
3	610	dog	hunds	
3	630	mouse, rat	mus	
3	650	fish	fisks	
3	710	wolf	wulfs	
3	740	fox	fauho	
3	780	camel	ulbandus	
3	815	scorpion	skaurpjo	
3	840	worm	maþa	
3	850	snake	waurms; nadrs	The latter means 'viper'.; The latter means 'viper'.
3	930	grasshopper	þramstei	
4	110	body	leik	
4	120	skin, hide	-fill	
4	130	flesh	mimz; mammo	Respectively: 'meat; flesh'; Respectively: 'meat; flesh'
4	140	hair (head)	tagl; skuft	
4	150	blood	bloþ	
4	170	horn	haurn	
4	200	head	haubiþ	
4	202	skull	hwairnei	
4	204	face	andwairþi; wlits; andawleizn; ludja	First form refers to 'person'; wlits 'appearance'.; First form refers to 'person'; wlits 'appearance'.; First form refers to 'person'; wlits 'appearance'.; First form refers to 'person'; wlits 'appearance'.
4	208	cheek	kinnus	
4	210	eye	augo	
4	220	ear	auso	
4	240	mouth	munþs	
4	250	lip	wairilo	
4	260	tongue	tuggo	
4	270	tooth	tunþus	
4	280	neck	hals	
4	300	shoulder	ams; amsa	
4	310	arm	arms	
4	330	hand	handus	
4	340	finger	figgrs	
4	360	knee	kniu	
4	370	foot	fotus	
4	400	chest	brusts	
4	410	breast (of woman)	brusts	
4	440	heart	hairto	
4	460	stomach	wamba; qiþus	Respectively: 'belly, womb'; 'stomach, womb'; Respectively: 'belly, womb'; 'stomach, womb'
4	461	intestines, guts	hairþra	Plural form.
4	463	hip	hups	
4	470	womb	wamba; qiþus; kilþei	
4	510	breathe, breath	anan	
4	560	spit	speiwan	
4	580	bite	beitan	
4	590	lick	laigon	
4	610	sleep	slepan	
