chapter_id	entry_id	meaning	Hittite_LatinTrans	comment
1	210	earth, land	utne; udne; utniyant-	Respectively: '(inhabited) land, country', e.g. 'enemy land; land ruled by a king'; 'country, population'. See also 'country' 19.110, 'population' 19.210. Sumerogram KUR 'land, mountain' = Akkadograms MAATU 'land' (= utne) and SHADUU 'mountain' 01.220 as opposed to Sumerogram URU 'city' = happira-19.150. See also 'earth, soil' 01.212; 'field' 01.230.; Respectively: '(inhabited) land, country', e.g. 'enemy land; land ruled by a king'; 'country, population'. See also 'country' 19.110, 'population' 19.210. Sumerogram KUR 'land, mountain' = Akkadograms MAATU 'land' (= utne) and SHADUU 'mountain' 01.220 as opposed to Sumerogram URU 'city' = happira-19.150. See also 'earth, soil' 01.212; 'field' 01.230.; Respectively: '(inhabited) land, country', e.g. 'enemy land; land ruled by a king'; 'country, population'. See also 'country' 19.110, 'population' 19.210. Sumerogram KUR 'land, mountain' = Akkadograms MAATU 'land' (= utne) and SHADUU 'mountain' 01.220 as opposed to Sumerogram URU 'city' = happira-19.150. See also 'earth, soil' 01.212; 'field' 01.230.
1	212	earth=ground, soil	tekan-; tagn-	HEG 292-300: 'earth, ground'; place for dead bodies. dagan-zipa (originally) 'earth spirit' came to be a synonym for tekan-. See also 'field' 01.230; 08.120 and 'pasture' 03.160 for 'land' relative to agricultural uses.; HEG 292-300: 'earth, ground'; place for dead bodies. dagan-zipa (originally) 'earth spirit' came to be a synonym for tekan-. See also 'field' 01.230; 08.120 and 'pasture' 03.160 for 'land' relative to agricultural uses.
1	214	mud	purut-	'Mud, loam' CHD. Also means 'plaster, mortar, loose earth', see 07.630. Molded to make figurines for black magic (Puh 272-273, HWW 88-89); used as a building material plastered on an inner wall, mixed with water; a valuable material that must be replaced if stolen (See Hittite Laws); obtained from a sakuni- 'spring' 01.370, from the gate or an entry-hall (THeth 12, 7-15). See also halina-, wilan(a)- 'clay' 09.730.
1	220	mountain, hill	kalmara-	HEG. Sumerogram HUR.SAG (as opposed to KUR 'land, mountain': 01.210) more frequent. See also hekur 'peak, summit' 01.222; on interrelations in Hittite among 'mountain, heights, sky, rocks': GI 575-577. Weeks 9, HEG 468. See also harpa(li)- 'hill, heap' HW 119.
1	222	cliff, precipice	hekur; peruna-; pirwa-	First form means 'acropolis, rock-sanctuary, mountain house; peak, summit': HEG 235-237, Puh 287-289, GI 573. Other forms mean 'cliff, rock' CHD, HW, GI. With preceding Sumerographic determinative, NA[four] 'rock': hekur. Lacks declensional endings, suggesting loan status from Sumerian É.KUR 'house (of the) mountain' via Akkadian EKURRU 'name of a sanctuary' (Puh 289). The Hittite deity, Pirwa, has a hekur Pirwa: GI 694; 527-528. See also 12.330 'top'.; First form means 'acropolis, rock-sanctuary, mountain house; peak, summit': HEG 235-237, Puh 287-289, GI 573. Other forms mean 'cliff, rock' CHD, HW, GI. With preceding Sumerographic determinative, NA[four] 'rock': hekur. Lacks declensional endings, suggesting loan status from Sumerian É.KUR 'house (of the) mountain' via Akkadian EKURRU 'name of a sanctuary' (Puh 289). The Hittite deity, Pirwa, has a hekur Pirwa: GI 694; 527-528. See also 12.330 'top'.; First form means 'acropolis, rock-sanctuary, mountain house; peak, summit': HEG 235-237, Puh 287-289, GI 573. Other forms mean 'cliff, rock' CHD, HW, GI. With preceding Sumerographic determinative, NA[four] 'rock': hekur. Lacks declensional endings, suggesting loan status from Sumerian É.KUR 'house (of the) mountain' via Akkadian EKURRU 'name of a sanctuary' (Puh 289). The Hittite deity, Pirwa, has a hekur Pirwa: GI 694; 527-528. See also 12.330 'top'.
1	230	plain, field	gimra-; taksatar	Respectively: 'field, steppe; 'plain, flat land' HEG. Sumerian LÍL, Akkadian ṢEERU = gim(ma)ra- 'field, steppe' as opposed to Sumerian Ú.SAL, Akkadian USALLU = wellu 'meadow, pasture' 03.160. See also 'cultivated field' 8.120, hatantiya- 'dry land' 01.260.; Respectively: 'field, steppe; 'plain, flat land' HEG. Sumerian LÍL, Akkadian ṢEERU = gim(ma)ra- 'field, steppe' as opposed to Sumerian Ú.SAL, Akkadian USALLU = wellu 'meadow, pasture' 03.160. See also 'cultivated field' 8.120, hatantiya- 'dry land' 01.260.
1	240	valley	hari-	Puh 143-144; Weeks 11.
1	250	island	kursawar	'The separated thing' HEG. Circumlocutions: arunaz arha 'on an island, from an island', lit. 'from the sea': Puh; see 'sea' aruna- 01.320. Perhaps also aruni anda 'on an island', lit. 'sea in / to'. On parallel derivations in IE, Weeks 11.
1	270	shore	kurkessar	HDW 119. HTT wappu- has meanings 'riverbank, clay pit' HW. See 'river' 01.360; 'dry land' 01.260.
1	310	water	watar; wetenas	Respectively: nominative; genitive HW. Sumerogram A with following plural determinative HI.A. = watar, wataar 'water'. See also 'drench (the ground), make it drink' 05.130.; Respectively: nominative; genitive HW. Sumerogram A with following plural determinative HI.A. = watar, wataar 'water'. See also 'drench (the ground), make it drink' 05.130.
1	320	sea	aruna-	HWW, 350-354; Puh 178-182. Sumerogram A.AB.BA 'sea' =aruna-. On IE words for bodies of water: GI 578; HDW 119; on mythic associations of 'sea' and 'lake': GI 579-580; dialect forms: GI 580-581. See also 'swamp' 01.380, 'lake' 01.330. Etymology disputed.
1	330	lake	luli-	Means 'pond, well, spring; basin' CHD 1:80-82. Sumerogram TÚL 'spring' = luli(ya)-; see also 'spring, well' 01.370.
1	350	wave	hunhuessar	Refers to 'wave(s), seas, flow' Puh. See water words like Swedish lake Vänern, Old Norse Væænir, *Weenjaz: Cop in Puh, Weeks 13.
1	360	river, stream, brook	hapa-; hapai-; hapati-	Respectively: 'river; moisten (?); river (bottom) land' Puh III 114-115; 119-120. Sumerogram ÍD 'river' = hapa-. GI 578-579. See also 'flow' 10.320.; Respectively: 'river; moisten (?); river (bottom) land' Puh III 114-115; 119-120. Sumerogram ÍD 'river' = hapa-. GI 578-579. See also 'flow' 10.320.; Respectively: 'river; moisten (?); river (bottom) land' Puh III 114-115; 119-120. Sumerogram ÍD 'river' = hapa-. GI 578-579. See also 'flow' 10.320.
1	370	spring, well	wattaru-; altanni-; sakuni-	HWW, Puh: 'spring, well, water source'. Also harsumna- 'headwaters, wellspring' among other related words: Puh III 42-43. Sumerogram TÚL 'spring' = altanni-, wattaru-, luli(ya)- (see 'lake, pond, pool' 01.330) is also used (optionally) as a determinative before synonyms for 'spring, water source'. altanni- / altanna-, a New HTT loan from Luwian-Hurrian cult milieu used as a fountain or basin (in the shape of a deity), is a common gender noun by contrast with neuter wattaru-: HWW 62-63. See 'water' 01.310, 'river' 01.360. Last perhaps related to sakuwa 'eyes': Prins 121-122. See 04.210.; HWW, Puh: 'spring, well, water source'. Also harsumna- 'headwaters, wellspring' among other related words: Puh III 42-43. Sumerogram TÚL 'spring' = altanni-, wattaru-, luli(ya)- (see 'lake, pond, pool' 01.330) is also used (optionally) as a determinative before synonyms for 'spring, water source'. altanni- / altanna-, a New HTT loan from Luwian-Hurrian cult milieu used as a fountain or basin (in the shape of a deity), is a common gender noun by contrast with neuter wattaru-: HWW 62-63. See 'water' 01.310, 'river' 01.360. Last perhaps related to sakuwa 'eyes': Prins 121-122. See 04.210.; HWW, Puh: 'spring, well, water source'. Also harsumna- 'headwaters, wellspring' among other related words: Puh III 42-43. Sumerogram TÚL 'spring' = altanni-, wattaru-, luli(ya)- (see 'lake, pond, pool' 01.330) is also used (optionally) as a determinative before synonyms for 'spring, water source'. altanni- / altanna-, a New HTT loan from Luwian-Hurrian cult milieu used as a fountain or basin (in the shape of a deity), is a common gender noun by contrast with neuter wattaru-: HWW 62-63. See 'water' 01.310, 'river' 01.360. Last perhaps related to sakuwa 'eyes': Prins 121-122. See 04.210.
