Buck_ID	English		Proto Indo European	Northwest Proto Indo European	West Central Proto Indo European	Graeco-Aryan Proto Indo European	East Proto Indo European	Central Proto Indo European	Middle English	Old English	Old High German	Middle High German	German	Dutch	Yiddish	Old Norse	Swedish	Danish	Latin	Spanish	French	Italian	Portuguese	Ancient Greek	Modern Greek	Welsh	Old Irish	Irish	Old Church Slavonic	Russian	Sanskrit
1-100	world	noun	*dhéĝhōm						world	weorold|middangeard	mittilgart|mittili-garto|mitti-gart|wer-alt|erda|rīhi|wer-alt-lant|erd-rīhi|erd-ring	werlt	Welt	wereld	velt	heimr|verold	verld|värld	verden	mundus	mundo	monde	mondo	mundo	kosmos|oikū'menē	kosmos	byd	domun	domhan|saol	mirŭ|světŭ	mir|svet	loka-|jagat-|jagatī-|bhū-|bhuvana-|carācara-
1-210	earth|land	noun	*dhéĝhōm						erthe|lond	folde|land	erda|lan|lenti|rīhi|wer-alt-lant|mittilgart|ero	erde|lant	Erde|Land	aarde|land	erd	jorð|land	jord|land	jord|land	terra|tellūs|humus	tierra	terre	terra	terreno	gē|kʰtʰōn	ɣi	daear|tir	talan|tīr	talamh|tír	zemlja	zemlja	bhū-|bhūmi-|kṣam-pṛthivī|mahī|kṣam-|bhuvana-|bhūloka-|bhūgola-|jagat-|kṣiti-|vasudhā-|pṛthvī|loka-|pṛthivī-|kṣmā|kṣama-
1-212	ground|soil	noun	*dhĝh(e)m-en						erthe	eorθe|molde|grund	bodam|bodem|grunt|erda|herd|wasal|fundament|hor	erde|boden|grunt	Erde|Boden	aarde|grond	grunt		grund|land|mark|jord	grund	solum	suelo	terre|sol	terreno|suolo	solo|chão	gē|'edapʰos|'kʰōma|'pedon	ɣi|'eðafos|'xoma	pridd		ithir|talamh|cré|fód		počva	bhū-|bhūmi-|mahī-|pṛthvī-|pṛthivī-|dharaṇī-|dharā-|vasudhā-|kṣiti-|avani-|avanī-|urvī-|medinī-|vasumatī-|kṣoṇī-
1-213	dust	noun	*pē(n)s-						dust	dūst	stubbi|stuppi|stoub|melm|pulver|molta|asca|herd	stoup	Staub	stof	štojb|porex	dupt|dust	damm|stoft	støv	pulvis	polvo	poussière	polvere	pó	konis	skoni	llwch|pylor	luaith-red	deannach|smúit|cré	prachŭ	pyl	reṇu-|pāṃsu-|dhūli-|kṣoda-
1-214	mud	noun	*penk-		*hₓihₓlu				mud-de|fen	wāse|slīm|gyr	leim|hor|quāt|erd-mist	mot|slam|slīm	Schlamm|Dreck	modder|slijk	blote	leir	gyttja|dy|mudder|gäggamoja|lera	mudder|smuds	lutum|līmus|caenum	lodo	boue	fango	lama|lodo	pē'los	laspi	llaid|mwd	lathach	puiteach|láib|pluda|lathach|draoib|clábar|glár	brĭnĭje	grjaz	pan̄ka-|kardama-|jambāla-
1-215	sand	noun			*sam̥hₓdhos				sand	sand	sant|grioz	sant	Sand	zand	zamd	sandr	sand	sand	arēna|sabulō	arena	sable	sabbia|rena	areia	psammos|'ammos	amos	tywod	ganem	gaineamh	pěsŭkŭ	pesok	vālukā-|sikatā-|mahāsūkṣmā
1-220	mountain|hill	noun	*gworhₓ-|*bherĝh-		*kolhₓōn				mount|mountain-e|hil-le	beorg|munt|dūn|hyll	berg|buhil|houg|nol	berg|bühel|hübel|houc	Berg|Hügel	berg|heuvel	barg|bergl	fjall	berg|kulle|fjäll|backe	bjerg|fjeld|bakke	mōns|collis|clīvus	montaña|loma|cerro	montagne|colline	montagna|collina	montanha|morro	oros|'lopʰos|kolō'nos|bū'nos	vu'no|'oros|'lofos	mynydd|bryn|bre	sliab|telach|cnoc|brī	sliabh|cnoc|tulach|ard|beann	gora|chlŭmŭ	gora|cholm|xolm	giri- parvata-|acala-|šaila-|adri-|bhūdhara
1-222	cliff|precipice	noun	*pel(i)s-						clif	clif|weall	klep|felis|abgrunt|fluoh	kliffe	Klippe	klip|afgrond	feldz		klippa|stup	skær|klippe	cautēs	acantilado|barranca	falaise|escarpement	scogliera|rupe	penhasco|precipício	krē'mnos	vraxos|gre'mos	clogwyn|dibyn				skala	darad-|prapāta-|viṣama-|ataṭa-
1-230	plain|field	noun	*hₐeĝros|hₐérh3wr̥						plain-e|feld	feld|wang	ebanōti|feld|grunt|gi-lente|lant|gi-filde|wang	ebene|velt	Ebene|Fläche|Feld	vlakte|veld	plejn|feld	slētta	slätt|fält	slette|mark	plānum|campus	pampa|llanura|campo	plaine|campagne	pianura|campo	campo|planície|savannah	pe'dion	peði'aða|ekso'xi|'ipeθros	gwastad|maes|gwastatir	mag|rōi	machaire|má	město ravĭno|polje	ravnina|pole	sama-|ajra-|kṣetra-|kedāra-
1-240	valley	noun	*dho ́lhₐos|*lo ́nk(o/e)hₐ-						dale|dene|valei-e|vale	dæl|denu|slæd	tal|gi-tubele	tal	Tal	dal|vallei	tol	dalr	dal	dal	vallēs	valle	vallée	valle	vale	napē|koi'las	ki'laða	dyffryn|glyn|cwm	glenn	gleann	dĭbrĭ	dolina	upatyakā-|kandara-
1-250	island	noun							ilond|ile	īeg|ēaland|īegland	isila|īsila	insele|wert|ouwe	Insel	eiland	indzl	ey|eyland	ö	ø	īnsula	isla	île	isola	ilha	nēsos	ni'si|'nisos	ynys	inis	oileán|inis	otokŭ|ostrovŭ	ostrov	dvīpa-|payogaḍa-
1-260	mainland	noun							main-lond	θæt māre land	erd-waso	erde	Festland	vasteland	jaboše	meginland	fastland	fastland	continēns	continente|tierra firme	continent	terraferma|continente	terra firme	ēpeiros	ipiros|ste'ria|ipiroti'ki 'xora	tir mawr	tīr	mórthír|míntír|tír mór|Mór-roinn|ilchríoch		materik	dvīpa-|mahādvīpa-
1-270	shore	noun			*hₐehₓperos(?)				strond-e|shore|bank-e|coste	strand|stæθ|waroθ	stad|stedi|lenti|lant	stade|gestat|uover	Ufer|Strand|Gestade	oever|strand|kust	breg	strond|bakki	strand|kust	strand|bred|kyst	lītus|ōra|rīpa	ribera|playa|costa	rivage|côte|littoral	riva|littorale	margem|costa|praia	aigia'los|a'ktē	a'kti|para'lia|ɣia'los	glan|tywyn|traeth|arfordir	trāig|tracht|brū|bruach	cósta|trá	brěgŭ|krajĭ	bereg|poberež ́je	tīra-|kūla-|velā-|pāra-|taṭa-|rodhas-
1-280	cave	noun				ka ́iwr̥(t)			cave	scræf|denn	hol|hulī|loh|kruft|luog	hol|gat	Höhle	grot	hejl		håla|grotta	hule	caverna|specus|spēlunca|antrum	cueva|gruta	grotte	grotta	caverna|gruta	antron|'spēlaion	spi'lia	ogof		uaimh		pečera	kandara-|darī-
