chapter_id	entry_id	meaning	Tsez (Sagada dialect)_CyrillTrans	Tsez (Sagada dialect)_Phonemic	comment
1	100	world	дунйал; гІалам; дуйлйан	dunyal; ʕalam; duylyan	
1	210	earth, land	хІукумат; улка	ħukumat; ulka	
1	212	earth=ground, soil	ракь; мочи	raƛ̄ʼ; moči	
1	213	dust	кьиди	ƛ̄ʼidi	
1	214	mud	хъублъи; чороклъи	qubɬi; čorokɬi	
1	215	sand	гиму	gimu	
1	220	mountain, hill	хІон; гупІ	ħon; gupʼ	
1	222	cliff, precipice	хъохъ	qoq	
1	230	plain, field	майдан; байдан	maydan; baydan	
1	240	valley	гога	goga	
1	250	island	чІинкІиллъи	čʼinkʼilɬi	
1	260	mainland	дуйлйанес бутІа; кантинет	duylyanes butʼa; kantinent	
1	270	shore	рагІал	raʕal	
1	280	cave	имху	imxu	
1	310	water	лъи	ɬi	
1	320	sea	ралъад	raɬad	
1	322	calm (of sea)	гьилІийо	hiƛiyo	
1	323	rough (of sea)	бихарав; бихизи; бохьру	bixaraw; bixizi; box̆ru	
1	324	foam	муж	muž	
1	329	ocean	ралъад	raɬad	
1	330	lake	орзен	orzen	
1	350	wave	лабу	labu	
1	352	tide	ралъад кьере айеслъи; хизаза айеслъи	raɬad ƛ̄ʼere ayesɬi; raɬad xizaza ayesɬi	
1	353	lowtide	ралъад хизаза айеслъи	raɬad xizaza ayesɬi	
1	354	hightide	ралъад кьере айеслъи	raɬad ƛ̄ʼere ayesɬi	
1	360	river, stream, brook	маду; регъве лъи	madu; reɣʷe ɬi	
1	362	whirlpool	къверекъни	qʼʷereqʼni	
1	370	spring, well	кик	kik	
1	380	swamp	куцІ	kucʼ	
1	390	waterfall	лъидес чок; лъис чок	ɬides čok; ɬis čok	
1	410	woods, forest	цихъ	ciq	
1	420	tree (cf 08.600)	гъун	ɣun	
1	430	wood	хъаца	qaca	
1	440	stone, rock	гъІул; лъад	ɣˤul; ɬad	
1	450	earthquake	кьичи-ричу	ƛ̄ʼiči-riču	
1	510	sky	зоб	zob	
1	520	sun	бухъ	buq	
1	530	moon	буци	buci	
1	540	star	ца; цІа	ca; cʼa	
1	550	lightning	макълІу	maqʼƛu	
1	560	thunder	хухудори	xuxudori	
1	570	lightning (as striking)	пири; макълІу; пер	piri; maqʼƛu; per	
1	580	storm	йежени лъаци	yeženi ɬaci	
1	590	rainbow	зирес гІашуни	zires ʕašuni	
1	610	light (noun)	чІура; канлъи	čʼura; kanɬi	
1	620	darkness	саселъни; саселъи сасав	saseɬni; saseɬi sasaw	
1	630	shade, shadow	гъеду	ɣedu	
1	640	dew	хеби	xebi	
1	710	air	гьава	hawa	
1	720	wind	лъаци	ɬaci	
1	730	cloud	ас	as	
1	740	fog	гутІ; ас	gutʼ; as	
1	750	rain (noun)	хъема	qema	
1	760	snow (noun)	иси	isi	
1	770	ice	беро	bero	
1	780	weather	гьава-бакь	hawa-baqʼ	
1	810	fire	цІи	cʼi	
1	820	flame (noun)	лапи	lapi	
1	830	smoke (noun)	гутІ	gutʼ	
1	840	ashes	нІолІу	nˤoƛu	
1	841	embers	гъогъораму гІам	ɣoɣoramu ʕam	
1	851	burn (vb trans)	рикІура	rikʼura	
1	852	burn (vb intrans)	рикІва	rikʼʷa	
1	860	light, kindle, ignite	къалІа	qʼaƛa	
1	861	extinguish	ритІра; речІра	ritʼra; rečʼra	
1	870	match (noun)	цІикъалІу	cʼiqʼaƛu	
1	880	firewood	хъацІа	qacʼa	
1	890	charcoal	гІам	ʕam	
2	100	person, human being	жекІу; инсан	žekʼu; insan	
2	210	man (vs. woman)	бахІарчи	baħarči	
2	220	woman	гъаІна	ɣaˤna	
2	230	male	гулучи шебен	guluči šeben	
2	240	female	ахъав шебен; акану шебен	aqaw šeben; akanu šeben	
2	250	boy	ужи	uži	
2	251	young man (adolescent)	гІолохъанав жекІу	ʕoloqanaw žekʼu	
2	260	girl	йегъве кид	yeɣʷe kid	
2	261	young woman (adolescent)	гІолохъанав кид	ʕoloqanaw kid	
2	270	child	регъве хехби	reɣʷe xexbi	
2	280	infant, baby	хехби	xexbi	
2	310	husband	хедду	xeddu	
2	320	wife	бару	baru	
2	330	marry	бару йижа; хеддох йикьа	baru yiža; xeddox yiƛ̄ʼa	
2	340	marriage, wedding	бертен; магьар эрни	berten; mahar erni	
2	341	divorce	батІа бохъни	batʼa boqni	
2	350	father	обув	obuw	
2	360	mother	эни	eni	
2	370	parents	обу-энив	obu-eniw	
2	380	married man	бару йежиру	baru yežiru	
2	390	married woman	хедох йекьиру	xedox yeƛ̄ʼiru	
2	410	son	ужи	uži	
2	420	daughter	кид	kid	
2	430	offspring (son or daughter)	хехби; наслу-къом	xexbi; naslu-qʼom	
2	440	brother	эссу; эссив; гулучи эссив	essu; essiw; guluči essiw	
2	444	older brother	эже эссу; эжени эссу	eže essu; eženi essu	
2	445	younger brother	эгъве эссу	eɣʷe essu	
2	450	sister	эссу	essu	
2	454	older sister	йеже эссу; йежени эссу	yeže essu; yeženi essu	
2	455	younger sister	йегъве эссу	yeɣʷe essu	
2	456	sibling	эссу; эссив	essu; essiw	
2	458	twins	къІвилІа	qʼˤʷiƛa	
2	460	grandfather	эчу; дада; эженидада	eču; dada; eženidada	
2	461	old man	эчру жекІу	ečru žekʼu	
2	470	grandmother	эчу; баба	eču; baba	
2	471	old woman	эчру гъаІна	ečru ɣaˤna	
2	480	grandson	эчула	ečula	
2	490	granddaughter	эчула	ečula	
2	510	uncle	обус гулучи эссу	obus guluči essu	
2	511	mother's brother	энис гулучи эссу; энивус бихьинав эссу	enis essu; eniwus bix̆inaw essu	
2	512	father's brother	обус гулучи эссу; обус бихьинав эссив	obus guluči essu; obus bix̆inaw essiw	
2	520	aunt	энис ахъав эссу; обус ахъав эссу	enis aqaw essu; obus aqaw essu	
2	521	mother's sister	энис ахъав эссу; энивус ахъав эссу	enis aqaw essu; eniwus aqaw essu	
2	522	father's sister	обус ахъав эссу	obus aqaw essu	
2	530	nephew	эссус ужи	essus uži	
2	540	niece	эссус кид	essus kid	
2	550	cousin	вацгІал; йацгІал	wacʕal; yacʕal	
2	560	ancestors	умумул; адегъорсиби	umumul; adeɣorsibi	
2	570	descendants	хинзорси	xinzorsi	
2	610	father-in-law (of a man)	хедос обу	xedos obu	
2	611	father-in-law (of a woman)	мезвази; мезав	mezwazi; mezaw	
2	620	mother-in-law (of a man)	хедос энив	xedos eniw	
2	621	mother-in-law (of a woman)	барус энив	barus eniw	
2	630	son-in-law (of a man)	мезвази	mezwazi	
2	631	son-in-law (of a woman)	мезвази; мезав	mezwazi; mezaw	
2	640	daughter-in-law (of a man)	эссус бару	essus baru	
2	641	daughter-in-law (of a woman)	жос бару	žos baru	
2	710	stepfather	бестІал обув	bestʼal obuw	
2	720	stepmother	бестІал энив	bestʼal eniw	
2	730	stepson	хедос ужи; барус ужи	xedos uži; barus uži	
2	740	stepdaughter	хедос кид; барус кид	xedos kid; barus kid	
2	750	orphan	бестІал	bestʼal	
2	760	widow	къоролай	qʼorolay	
2	770	widower	къоролав	qʼorolaw	
2	810	relatives, kinsmen	гІагарлъи	ʕagarɬi	
2	820	family	гьакъу-къира	haqʼu-qʼira	
2	910	I	ди	di	
2	920	you (singular)	ми	mi	
2	930	he/she/it	жо	žo	
2	940	we	эли	eli	
2	950	you (plural)	межи	meži	
2	960	they	жедури	žeduri	
3	110	animal	хІайбан	ħayban	
3	120	male (adj)	гулучи	guluči	
3	130	female (adj)	ахъав	aqaw	
3	150	livestock	идуси посу	idusi posu	
3	160	pasture	гІалах	ʕalax	
3	180	herdsman	ахІвози	aħwozi	
3	190	stable, stall	речу	reču	
3	200	cattle (bovine)	гъуро	ɣuro	
3	210	bull	гани	gani	
3	220	ox	ос	os	
3	230	cow	зийа	ziya	
3	240	calf	меши	meši	
3	250	sheep	беІкь	beˤƛ̄ʼ	
3	260	ram	микьи	miƛ̄ʼi	
3	280	ewe	беІкьгъІу	beˤƛ̄ʼɣˤu	
3	290	lamb	лІели	ƛeli	
3	320	boar	гІалхус беІлІва	ʕalxus beˤƛʷa	
3	340	sow (2)	ахъав беІлІва	aqaw beˤƛʷa	
3	350	pig	белІва	beƛʷa	
3	360	goat	чайна	čayna	
3	370	he-goat	тІека	tʼeka	
3	380	kid	цекІи	cekʼi	
3	410	horse (equine)	гулу	gulu	
3	420	stallion	барти	barti	
3	440	mare	сийро	siyro	
3	450	foal, colt	кІечІоли	kʼečʼoli	
3	460	ass, donkey	омокъІи	omoqʼˤi	
3	470	mule	къурецІни	qʼurecʼni	
3	500	fowl	оночу-кІетІу	onoču-kʼetʼu	
3	520	cock, rooster	мамалай	mamalay	
3	540	hen	оночу	onoču	
3	550	chicken	оночас хехов	onočas xexow	
3	560	goose	хъаз	qaz	
3	570	duck	матІи	matʼi	
3	580	nest	агъес мужи	aɣes muži	
3	581	bird	агъи	aɣi	
3	582	seagull	чайка	čayka	
3	583	heron	гьажилакълакъ	hažilaqʼlaqʼ	
3	584	eagle	цей	cey	
3	585	hawk	курдакІу	kurdakʼu	
3	586	vulture	цей	cey	
3	591	bat	коколба	kokolba	
3	592	parrot	папугай	papugay	
3	593	crow	гъваІди	ɣʷaˤdi	
3	594	dove	эбелʼба	ebelʲba	
3	596	owl	бугьу	buhu	
3	610	dog	гъІвай	ɣˤʷay	
3	614	rabbit	идуси хъаІй	idusi qaˤy	
3	620	cat	кІетІу	kʼetʼu	
