chapter_id	entry_id	meaning	Tsez (Mokok dialect)_CyrillTrans	Tsez (Mokok dialect)_Phonemic	comment
1	100	world	дунйал; гІалам	dunyal; ʕalam	
1	210	earth, land	ракь; хІукмат	raƛ̄ʼ; ħukmat	
1	212	earth=ground, soil	ракь; мочи	raƛ̄ʼ; moči	
1	213	dust	кьиди	ƛ̄ʼidi	
1	214	mud	тутурлъи	tuturɬi	
1	215	sand	гибу	gibu	
1	220	mountain, hill	хІон; гупІ	ħon; gupʼ	
1	222	cliff, precipice	лъад; хъохъ; беки	ɬad; qoq; beki	
1	230	plain, field	майдан; мочи	maydan; moči	
1	240	valley	гога	goga	
1	250	island	чІинкІиллъи	čʼinkʼilɬi	
1	260	mainland	дунйалес чІиму; кантинет	dunyales čʼimu; kantinent	
1	270	shore	рагІал; лилйо	raʕal; lilyo	
1	280	cave	имху	imxu	
1	310	water	лъи	ɬi	
1	320	sea	ралъад	raɬad	
1	322	calm (of sea)	гьилІаьси	hiƛäsi	
1	323	rough (of sea)	бизи-бутаьси	bizi-butäsi	
1	324	foam	муж	muž	
1	329	ocean	ралъад	raɬad	
1	330	lake	йерезни; гІалазан	yerezni; ʕalazan	
1	350	wave	лабу; карачел	labu; karačel	
1	352	tide	ралъад кьере айеслъи; хизаза айеслъи	raɬad ƛ̄ʼere ayesɬi; raɬad xizaza ayesɬi	
1	353	lowtide	ралъад хизаза айеслъи	raɬad xizaza ayesɬi	
1	354	hightide	ралъад кьере айеслъи	raɬad ƛ̄ʼere ayesɬi	
1	360	river, stream, brook	маду; ихІу	madu; iħu	
1	362	whirlpool	бІон	bˤon	
1	370	spring, well	кик	kik	
1	380	swamp	къец; кьотІу	qʼec; ƛ̄ʼotʼu	
1	390	waterfall	чок	čok	
1	410	woods, forest	цихъ	ciq	
1	420	tree (cf 08.600)	гъун	ɣun	
1	430	wood	хъаца; цІарагІ	qaca; cʼaraʕ	
1	440	stone, rock	гъІул; лъад; гуз	ɣˤul; ɬad; guz	
1	450	earthquake	кичуричу	kičuriču	
1	510	sky	ас	as	
1	520	sun	бухъ	buq	
1	530	moon	буци	buci	
1	540	star	ца	ca	
1	550	lightning	макълІу	maqʼƛu	
1	560	thunder	хухудори	xuxudori	
1	570	lightning (as striking)	макълІу	maqʼƛu	
1	580	storm	лъаци	ɬaci	
1	590	rainbow	Аллагьес ашуни	Аllahes ašuni	
1	610	light (noun)	чІура	čʼura	
1	620	darkness	сасилъи	sasiɬi	
1	630	shade, shadow	гъеду	ɣedu	
1	640	dew	хеби	xebi	
1	710	air	гьава; муши	hawa; muši	
1	720	wind	лъаци	ɬaci	
1	730	cloud	ас; гутІ	as; gutʼ	
1	740	fog	ас	as	
1	750	rain (noun)	хъема	qema	
1	760	snow (noun)	иси	isi	
1	770	ice	беро; азирому	bero; aziromu	
1	780	weather	гьава-бакъ	hawa-baqʼ	
1	810	fire	цІи	cʼi	
1	820	flame (noun)	лапи	lapi	
1	830	smoke (noun)	гутІ	gutʼ	
1	840	ashes	нІолІу	nˤoƛu	
1	841	embers	гъогъору гІам	ɣoɣoru ʕam	
1	851	burn (vb trans)	рикІура	rikʼura	
1	852	burn (vb intrans)	рикІа	rikʼa	
1	860	light, kindle, ignite	цІи эра; лапи биза	cʼi era; lapi biza	
1	861	extinguish	ритІра	ritʼra	
1	870	match (noun)	цІикъалІу	cʼiqʼaƛu	
1	880	firewood	хъаца	qaca	
1	890	charcoal	гІам	ʕam	
2	100	person, human being	жекІу; инсан	žekʼu; insan	
2	210	man (vs. woman)	жекІу; бахІарчи	žekʼu; baħarči	
2	220	woman	гъаІнаби	ɣaˤnabi	
2	230	male	гулучи	guluči	
2	240	female	ахъив	aqiw	
2	250	boy	ужи	uži	
2	251	young man (adolescent)	гІолохъан жекІу	ʕoloqan žekʼu	
2	260	girl	кид	kid	
2	261	young woman (adolescent)	къІимаку	qʼˤimaku	
2	270	child	хехби	xexbi	
2	280	infant, baby	кІакІили	kʼakʼili	
2	310	husband	хедив	xediw	
2	320	wife	бару	baru	
2	330	marry	бару йова; хедйох йикІа	baru yowa; xedyox yikʼa	
2	340	marriage, wedding	бертен; магьар	berten; mahar	
2	341	divorce	йохаьрулъи; батІа бохъни	yoxäruɬi; batʼa boqni	
2	350	father	обув; бабив	obuw; babiw	
2	360	mother	энив	eniw	
2	370	parents	обу-бабив	obu-babiw	
2	380	married man	бару йоваьси	baru yowäsi	
2	390	married woman	хедйох йикІаьси	xedyox yikʼäsi	
2	410	son	ужи	uži	
2	420	daughter	кид	kid	
2	430	offspring (son or daughter)	хехби; хизорси	xexbi; xizorsi	
2	440	brother	эсив	esiw	
2	444	older brother	эжени эсив	eženi esiw	
2	445	younger brother	эгъени эсив	eɣeni esiw	
2	450	sister	эсий	esiy	
2	454	older sister	йеже эссу	yeže essu	
2	455	younger sister	йегъени эсий	yeɣeni esiy	
2	456	sibling	эснаби	esnabi	
2	458	twins	къІулІа	qʼˤuƛa	
2	460	grandfather	эжени бабив	eženi babiw	
2	461	old man	эчру жекІу	ečru žekʼu	
2	470	grandmother	йежени энив	yeženi eniw	
2	471	old woman	эчру гъІанаби	ečru ɣˤanabi	
2	480	grandson	эчула	ečula	
2	490	granddaughter	эчула	ečula	
2	510	uncle	бабивс гулучи эсив; энивс гулучи эсив	babiws guluči esiw; eniws guluči esiw	
2	511	mother's brother	энивс гулучи эсив	eniws guluči esiw	
2	512	father's brother	бабивс гулучи эсив	babiws guluči esiw	
2	520	aunt	энив ахъив эсий; бабивс ахъив эсий	eniw aqiw esiy; babiws aqiw esiy	
2	521	mother's sister	энивс ахъив эсий	eniws aqiw esiy	
2	522	father's sister	бабивс ахъив эсий	babiws aqiw esiy	
2	530	nephew	эсивс ужи	esiws uži	
2	540	niece	эсивс кид	esiws kid	
2	550	cousin	вацгІал; йацгІал	wacʕal; yacʕal	
2	560	ancestors	адерси	adersi	
2	570	descendants	хинзорси	xinzorsi	
2	610	father-in-law (of a man)	хедйос бабив	xedyos babiw	
2	611	father-in-law (of a woman)	барус бабив	barus babiw	
2	620	mother-in-law (of a man)	хедйос энив	xedyos eniw	
2	621	mother-in-law (of a woman)	барус энив	barus eniw	
2	630	son-in-law (of a man)	мезази	mezazi	
2	631	son-in-law (of a woman)	меза	meza	
2	640	daughter-in-law (of a man)	жас бару	žas baru	
2	641	daughter-in-law (of a woman)	жас бару; барука	žas baru; baruka	
2	710	stepfather	бестІал бабив	bestʼal babiw	
2	720	stepmother	бестІал энив	bestʼal eniw	
2	730	stepson	бестІал ужи	bestʼal uži	
2	740	stepdaughter	бестІал кид	bestʼal kid	
2	750	orphan	бестІал	bestʼal	
2	760	widow	къоролай	qʼorolay	
2	770	widower	къоролав	qʼorolaw	
2	810	relatives, kinsmen	гІагарлъи	ʕagarɬi	
2	820	family	гьакъу	haqʼu	
2	910	I	ди	di	
2	920	you (singular)	ми	mi	
2	930	he/she/it	жа	ža	
2	940	we	эли	eli	
2	950	you (plural)	межи	meži	
2	960	they	жеду	žedu	
3	110	animal	посу; гъуро	posu; ɣuro	
3	120	male (adj)	бахІарчис; гулучи	baħarčis; guluči	
3	130	female (adj)	гъІаназас; ахъив	ɣˤanazas; aqiw	
3	150	livestock	посу	posu	
3	160	pasture	мочи; гІалах	moči; ʕalax	
3	180	herdsman	ахІо; ахІози	aħo; aħozi	
3	190	stable, stall	речу; агъІни	reču; aɣˤni	
3	200	cattle (bovine)	гъуро	ɣuro	
3	210	bull	гани	gani	
3	220	ox	ис	is	
3	230	cow	зийа	ziya	
3	240	calf	меши	meši	
3	250	sheep	бекькъІу; микьи	beƛ̄ʼqʼˤu; miƛ̄ʼi	
3	260	ram	микьи	miƛ̄ʼi	
3	280	ewe	бекькъІу	beƛ̄ʼqʼˤu	
3	290	lamb	лІели	ƛeli	
3	320	boar	цихъес бІелІо	ciqes bˤeƛo	
3	340	sow (2)	ахъив бІелІо	aqiw bˤeƛo	
3	350	pig	бІелІо	bˤeƛo	
3	360	goat	чанйа	čanya	
3	370	he-goat	тІека	tʼeka	
3	380	kid	цекІи	cekʼi	
3	410	horse (equine)	барти; гулу	barti; gulu	
3	420	stallion	гулус гулучи кІенчІоли	gulus guluči kʼenčʼoli	
3	440	mare	сирйо	siryo	
3	450	foal, colt	гулус кІечІоли	gulus kʼečʼoli	
3	460	ass, donkey	гІомой	ʕomoy	
3	470	mule	къурецІни	qʼurecʼni	
3	500	fowl	идуси агъи-чІихъІ	idusi aɣi-čʼiqˤ	
3	520	cock, rooster	мамалай	mamalay	
3	540	hen	оночу	onoču	
3	550	chicken	оночас хехой	onočas xexoy	
3	560	goose	хъаз	qaz	
3	570	duck	матІи	matʼi	
3	580	nest	мужи	muži	
3	581	bird	агъи	aɣi	
3	582	seagull	чайка	čayka	
3	583	heron	гьажилакълакъ	hažilaqʼlaqʼ	
3	584	eagle	цей	cey	
3	585	hawk	курзакІу	kurzakʼu	
3	586	vulture	цей	cey	
3	591	bat	лалІухъІи	laƛuqˤi	
3	592	parrot	папугай	papugay	
3	593	crow	къІвади; гъІвади	qʼˤʷadi; ɣˤʷadi	
3	594	dove	тІуми; элбо	tʼumi; elbo	
3	596	owl	къІадо	qʼˤado	
3	610	dog	гъІвай; бахІри	ɣˤʷay; baħri	
3	614	rabbit	хъІай	qˤay	
3	620	cat	кІетІу	kʼetʼu	
3	630	mouse, rat	ав; дохка	aw; doxka	
3	650	fish	бесуро	besuro	
3	652	fin (dorsal)	бесурос лел	besuros lel	
3	653	fishscale	бесурос къІул	besuros qʼˤul	
3	655	shell	бесурос ахІйа	besuros aħya	
3	661	shark	акула	akula	
3	662	porpoise, dolphin	делфин	delfin	
