chapter_id	entry_id	meaning	Ancient Aramaic_Phonemic	comment
1	100	world	ʁālmā	
1	210	earth, land	ʔarʁā	
1	212	earth=ground, soil	ʔarʁā; medrā; ʔadāmtā	
1	213	dust	ʁaprā	
1	214	mud	ṭīnā	
1	215	sand	χālā	
1	220	mountain, hill	ṭūrā	
1	222	cliff, precipice	šḳīpā	
1	230	plain, field	mēšrā; špālā	
1	240	valley	beḳʁtā; χalltā; ʁumḳā	etymologically: 'cleft', 'hollow', 'depth' respectively, probably used for somewhat different topographic formations in various dialects.; etymologically: 'cleft', 'hollow', 'depth' respectively, probably used for somewhat different topographic formations in various dialects.; etymologically: 'cleft', 'hollow', 'depth' respectively, probably used for somewhat different topographic formations in various dialects.
1	250	island	nagwā; gzirtā	
1	260	mainland	yabbeštā	
1	270	shore	gēpā; kēpā	
1	280	cave	gubbā; mʁartā	
1	310	water	mayyā	
1	320	sea	yammā	
1	323	rough (of sea)	rgūšyā	
1	324	foam	ḳūpyā	
1	329	ocean	yammā rabbā	in Syriac more likely to use the Greek lws. okeanos and pelagos
1	330	lake	yammā	
1	340	gulf, bay	ʔu; ednā; leššānā	lit. 'ear' or 'tongue' of the sea; lit. 'ear' or 'tongue' of the sea; lit. 'ear' or 'tongue' of the sea
1	350	wave	gallā	
1	360	river, stream, brook	nahrā	
1	362	whirlpool	gpīpā dmayyā	
1	370	spring, well	ʁaynā; mabbūʁā	
1	380	swamp	ʔagmā	
1	390	waterfall	šepʁā	
1	410	woods, forest	χuršā; ʁābā	
1	420	tree (cf 08.600)	ʔīlānā	
1	430	wood	ʔaʁā	
1	440	stone, rock	ʔabnā; kēpā	respectively 'stone', 'rock'; respectively 'stone', 'rock'
1	450	earthquake	nawdā; zyāʁā	
1	510	sky	šmayyā	
1	520	sun	s̄emšā	
1	530	moon	sahrā; zihrā	
1	540	star	kawkbā	
1	550	lightning	barḳā	
1	560	thunder	raʁmā	
1	580	storm	zīqā	
1	590	rainbow	ḳešṭǎ	lit. 'bow'
1	610	light (noun)	nuhrā ̃ nhōrā	
1	620	darkness	χeškā	
1	630	shade, shadow	ṭlālǟ	
1	640	dew	ṭallǟ	
1	710	air	ʔawwīrā; ʔāʔar	from Greek. The closest native Semitic word is rūχā, 'wind'; from Greek. The closest native Semitic word is rūχā, 'wind'
1	720	wind	rūχā	
1	730	cloud	ʁnānā	
1	740	fog	ʁarplā	
1	750	rain (noun)	meṭrā	
1	760	snow (noun)	talgā	
1	770	ice	glīdā	
1	810	fire	nūrā	
1	820	flame (noun)	delḳā; lahbā; šalhebïtā	
1	830	smoke (noun)	tennānā ̃ tannənā	
1	840	ashes	ḳeṭmā	
1	841	embers	šïχōrā; gmūrtā	better glossed 'soot'; 'coal'; better glossed 'soot'; 'coal'
1	851	burn (vb trans)	yḳad; χrak; ḳlā	
1	852	burn (vb intrans)	ʔetḳallï	
1	860	light, kindle, ignite	yḳad	
1	861	extinguish	kwā	
1	880	firewood	ḳēsē	
1	890	charcoal	gmūrtā; paχmā	
2	100	person, human being	barnāšā	
2	210	man (vs. woman)	gabrā	
2	220	woman	ʔinttā ̃ ʔattā	
2	230	male	dekrā; gabrā	
2	240	female	neḳbtā	
2	250	boy	ʁlēmā; ṭalyā; yaldē	yaldē pl. only; yaldē pl. only; yaldē pl. only
2	251	young man (adolescent)	ʁlēmā; ṭalyā	
2	260	girl	ṭlītā; rbītā	
2	261	young woman (adolescent)	ṭlītā; rbītā	
2	270	child	yānōḳā; dardḳā	
2	280	infant, baby	yānōḳā; dardḳā	
2	310	husband	baʁlā; gabrā	
2	320	wife	ʔinttā ̃ ʔattā	
2	330	marry	bʁal; ʔetχattan; nseb; šawtep; zawweg; barzeg	
2	340	marriage, wedding	zuwwāga; hīlūlā	respectively: 'marriage'; 'wedding ceremony'; respectively: 'marriage'; 'wedding ceremony'
2	341	divorce	šbūḳīn; pṭūrīn	
2	350	father	ʔabbā	
2	360	mother	ʔemmā	
2	370	parents	ʔabāhātā; yālödë	
2	380	married man	bar-zawgā	
2	390	married woman	ʔinttā ̃ ʔattā	
2	410	son	brā	
2	420	daughter	bartā ̃ brattā	
2	430	offspring (son or daughter)	tawledtā; yānōḳā	
2	440	brother	ʔaχā	
2	444	older brother	ʔaχā rabbā	
2	445	younger brother	ʔaxā zʁērā	
2	450	sister	χātā	
2	454	older sister	χātā rabbtā	
2	455	younger sister	χātā zʁērtā	
2	456	sibling	ʔaχā; χātā	
2	458	twins	tāʔmē ̃ tlīmē	
2	460	grandfather	sābā; sabbā	
2	461	old man	sābā	
2	470	grandmother	sābtā	
2	471	old woman	sābtā	
2	480	grandson	bar-brā	
2	490	granddaughter	brat-bartā	
2	510	uncle	dādā; χālā	paternal; maternal uncle respectively; paternal; maternal uncle respectively
2	511	mother's brother	χālā	
2	512	father's brother	dādā	
2	520	aunt	dādtā; xǎbībtā	
2	530	nephew	bar-ʔaχā; bar-χātā	brother's son; sister's son; brother's son; sister's son
2	540	niece	brat-ʔaχā; brat-xātā	brother's daughter; sister's daughter; brother's daughter; sister's daughter
2	550	cousin	bar-dādā	
2	560	ancestors	abāhātā	
2	570	descendants	zarʁē; zarʁā; zarʁyātā	
2	610	father-in-law (of a man)	χmā; χemyānā	
2	611	father-in-law (of a woman)	χmā	
2	620	mother-in-law (of a man)	χmātā	
2	621	mother-in-law (of a woman)	χmātā	
2	630	son-in-law (of a man)	xatnā	
2	631	son-in-law (of a woman)	xatnā	
2	640	daughter-in-law (of a man)	kalltā	
2	641	daughter-in-law (of a woman)	kalltā	
2	750	orphan	ytāmā	
2	760	widow	ʔarmlā; ʔarmaltā	
2	770	widower	ʔarmlā; ʔarmālā	
2	810	relatives, kinsmen	ḳarrībē	
2	820	family	bēt-ʔab; nāšē; šarbtā	
2	910	I	ʔanā ̃ ʔenā; -nā	
2	920	you (singular)	ʔat	
2	930	he/she/it	hū; hī	ONLY TWO GENDERS IN SEMITIC; ONLY TWO GENDERS IN SEMITIC
2	940	we	ʔanaχnā ̃ χnan; -nan	
2	950	you (plural)	ʔattōn; -tōn	
2	960	they	himmō ̃ hennōn ̃ ʔennōn	
3	110	animal	χaywtā	
3	120	male (adj)	dkar	
3	130	female (adj)	neḳbā	
3	150	livestock	bʁīrā	also ʁānā 'small cattle = sheep and goats'
3	160	pasture	bēt-marʁītā	
3	180	herdsman	rāʁyā	
3	190	stable, stall	ʔōryā	
3	200	cattle (bovine)	baḳrā; bʁīrā	
3	210	bull	tawrā	
3	220	ox	tawrā	
3	230	cow	tawrtā; parrtā	
3	240	calf	ʁeglā	
3	250	sheep	ʔemrā; neḳyā; ʁānā	
3	260	ram	dekrā	
3	280	ewe	ʔemrā; taʔtā	
3	290	lamb	ʔemrā; ṭalyā	
3	320	boar	χzīrā̉; χzīr-barrā	
3	340	sow (2)	χzīrtā	
3	350	pig	χzīrā	
3	360	goat	ʁanzā ̃ ʁezzā	
3	370	he-goat	ṣpīrā ̃ barχā	
3	380	kid	gadyā	
3	410	horse (equine)	sūsyā	
3	420	stallion	paχlā	
3	440	mare	sūsyā	
3	450	foal, colt	ʁīlā; mūhrā	
3	460	ass, donkey	χmārā	
3	470	mule	baglā; kūdānā	
3	500	fowl	pāraχtā ̃ ṣippārā	respectively: Syriac and Jewish Palestinian
3	520	cock, rooster	tarnāglā	< Akkadian < Sumerian dar.lugal 'royal fowl'
3	540	hen	tarnāgūltā	
3	550	chicken	zāgā; zāgzūgā	
3	560	goose	ʔǎwāzā; wāzā	
3	570	duck	ʔǎwāzā; wāzā	
3	580	nest	ḳennā	
3	581	bird	pāraχtā; ṣippārā	
3	583	heron	šālē-nūnē	
3	584	eagle	nešrā	
3	585	hawk	neṣṣā	
3	586	vulture	ʁayṭā; ḳarḳāsä	
3	591	bat	χarpdā; praχdūdā	
3	592	parrot	psīṭaḳaws	Greek lw.
3	593	crow	ḳarḳāsā; giyōlā	
3	594	dove	yawnā; waršānā	
3	596	owl	qappūpā ̃ qippūpā	
3	610	dog	kalbā	
3	614	rabbit	ʔarnbā	
3	620	cat	šūnrā ̃ šūrānā ̃ šūnārā	
3	630	mouse, rat	ʁakbrā; ʁuḳbrā	
3	650	fish	nūnā	
3	652	fin (dorsal)	gappā; snappïrā	
3	653	fishscale	ḳasḳāsā	
3	654	gill	ʔednā	lit. 'ear'
3	661	shark	ṭaχāntā	
3	662	porpoise, dolphin	delpīnā	
3	663	whale	tannīnā; ḳēṭā	
3	710	wolf	dībā	
3	720	lion	ʔaryā	
3	730	bear	dubbā	
3	740	fox	taʁlā	
3	750	deer	ʔaylā	
3	760	monkey	ḳōpā	
3	770	elephant	pīlā	
3	780	camel	gamlā	
3	811	louse	ḳalmā; kalmtā	
3	812	nit (louse egg)	nābā	
3	813	flea	purtaʁnā; pašpūšā	
3	814	centipede	naddālā	
3	815	scorpion	ʁaḳrbā	
3	817	ant	namlā	
3	818	spider	gwāgāyā; ʁakkbītā	
3	819	spider web	gwāgay; nawlā	
3	820	bee	debbōrītā; debbōrtā	
3	821	beeswax	šʁōtā	
3	822	beehive	kawwārā	
3	823	wasp	debbōrā; ʔōrʁītā	
3	830	fly	debbābā	
3	831	sandfly (midge), gnat	bāḳā	
3	832	mosquito	bāḳā; pārōχā	
3	840	worm	tawlaʁtā; sāsā	
3	850	snake	χewyā	
3	910	firefly	yrīʁē	a plural
3	920	butterfly	sāsā	
3	930	grasshopper	qamṣā	
3	940	snail	kōklyās; ḳūklānā	< Greek; < Greek
3	950	frog	ʔūrdʁā	
3	960	lizard	smāmītā	(??) Perhaps just a type of lizard. There are many are words for specific types.
3	970	crocodile, alligator	tannīnā; tamsīx; krokodīlos	respectively: Hebrew, Coptic, and Greek loanwords; respectively: Hebrew, Coptic, and Greek loanwords; respectively: Hebrew, Coptic, and Greek loanwords
4	110	body	gwītā; gūšmā	also pagrā 'corpse'; also pagrā 'corpse'
4	120	skin, hide	maškā	
4	130	flesh	besrā	
4	140	hair (head)	saʁrā	
4	142	beard	deqnā	
4	144	body hair	menntā; bīnā; zemtā	
4	145	pubic hair	ʔazbā	
4	150	blood	dmā; ʔadmā	
4	151	vein, artery	warrīdā	
4	160	bone	garmā	
4	162	rib	ʔelʁā	
4	170	horn	ḳarnā	
4	180	tail	ʔlītā; dunbā	
4	190	back	gabbā	
4	191	spine	ʁuḳṣā; šedrā	
4	200	head	rēšā	
4	201	side of head, temple	ṣedʁā	
4	202	skull	gulgaltā; mūχā; ḳōdḳdā	
4	203	brain	mǖχā	
4	204	face	ʔappē; parcōpā	parcōpā < Greek prosopon; parcōpā < Greek prosopon
4	205	forehead	bēt-ʔappē; ʔapūtā; bēt-ʁaynē; reš-parcōpā	
4	207	jaw	lōʁā; pakkā	
4	208	cheek	leχyā; pakkā	
4	209	chin	klāzūzā	
4	210	eye	ʁaynā	
4	212	eyebrow	galgal-ʁaynē	
4	213	eyelid	šiknā; temrā	
4	215	blink	saḳḳar	
4	220	ear	ʔednā ̃ ʔudnā	
4	221	earlobe	ṭarpā-d-ʔednā	
4	230	nose	ʔappā	
4	231	nostril	nχīrā	
4	232	mucus (nasal)	χurdmā	
4	240	mouth	pūmā ̃ pmā	
4	241	beak	maḳḳōrā	
4	250	lip	sepptā	
4	260	tongue	leššānā	
4	270	tooth	šennā	
4	271	gums	dūrā-d-šennē	
4	272	molartooth	kakkā	
4	280	neck	ḳdālā	
4	281	nape of neck	ḳāpyā	
4	290	throat	ḳūʁā; ṣawrā	
4	300	shoulder	katpā	
4	301	shoulderblade	rapšā	
4	310	arm	drāʁā	
4	312	armpit	bēt-šiχyā	
4	320	elbow	garmīdā; gappā	
4	330	hand	ydā ̃ ʔīdā	
4	331	palm of hand	kappā	
4	340	finger	ʔeṣbʁā; ṣebʁā	
4	342	thumb	ʔelyōnā; krātā	
4	344	fingernail	ṭeprā	
4	345	claw	ṭeprā	
4	350	leg	krāʁā	
