#swadesh 207 id	part-of-speech	English	Proto-Germanic	Old English	Old English IPA	Scots 	West Frisian 	Dutch 	Afrikaans 	Low Saxon 	Limburgish 	Central Franconian 	Luxembourgish 	German 	Yiddish 	Old Norse	Danish 	Swedish 	Faroese 	Icelandic 	Norwegian (bokmål) 	Norwegian (nynorsk) 	Gothic
1	noun                 	I	*ek	iċ 	/it͡ʃ/	A 	ik 	ik 	ek 	ik 	ich 	ich, eich, ech 	ech 	ich 	איך‎ (ikh) 	ek	jeg 	jag 	eg, jeg (Suðuroy) 	ég 	jeg 	eg 	𐌹𐌺 (ik)
2	noun                 	you	*þū	þū 	/θuː/	thoo, you, ye 	do (dû) (informal), jo (formal) 	jij, je (informal), u (formal) 	jy (informal), u (formal) 	du 	doe (informal), geer (formal) 	du, de (unstressed), do (informal, stressed), ehr (formal) 	du, de 	du 	דו‎ (du) 	þú	du, De (formal) 	du 	tú 	þú 	du, De (archaic) 	du, De (formal) 	𐌸𐌿 (þu)
3	noun                 	he, she, it	*iz	hē 	/heː/	he 	hy, er 	hij 	hy 	he 	hae 	hä (stressed), hän, er, e (unstressed) 	hien, en 	er 	ער‎ (er) 	hann	han 	han 	hann 	hann 	han 	han 	𐌹𐍃 (is)
4	noun                 	we	*wīz	wē 	/weː/	we 	wy 	wij, we 	ons 	wi 	weer 	mir (stressed), mer (unstressed) 	mir, mer 	wir 	מיר‎ (mir) 	vér	vi 	vi 	vit 	við 	vi 	vi, me 	𐍅𐌴𐌹𐍃 (weis) (plural), 𐍅𐌹𐍄 (wit) (dual)
5	noun                 	you all	*jūz	ġē 	/jeː/	you(se), ye(se) 	jimme, jim 	jullie (informal), u (formal) 	julle (informal), u (formal) 	ji 	geer 	ühr, ihr, er, dir, der, ehr 	dir, der 	ihr 	איר‎ (ir) 	þér	I 	ni, I (archaic) 	tit 	þið 	dere, De (archaic) 	de, De (formal) 	𐌾𐌿𐍃 (jus) (plural), 𐌾𐌿𐍄 (jut) (dual)
6	noun                 	they	*iz	hīe 	/hiːy̯/	thay 	sy, hja 	zij, ze 	hulle 	se 	die 	sei (stressed), sie, se (unstressed) 	si, se 	sie 	זיי‎ (zey) 	þeir	de 	de 	teir / tær / tey 	þeir / þær / þau 	de 	dei 	𐌴𐌹𐍃 (eis) / 𐌹𐌾𐌰 (ija) / 𐌹𐌾𐍉𐍃 (ijōs)
7	noun                 	this	*hiz	þēs m, þēos f, þis n 	/θeːs/, /θeːo̯s/, /θis/	this 	dit, dizze 	deze, dit 	dié, hierdie 	düsse, düt 	dit 	disse, diss, diss/ditt, dis(in Ripuarian only used for time indication), dä (hee), die (hee), dat (hee) 	dësen, dës, dëst 	dieser, -e, -es etc. 	דער‎ (der), די‎ (di), דאָס‎ (dos) 	sjá, þessi	denne, dette, det her, den her 	denna, detta, den här, det här, dessa (plural), de här (plural) 	hesin / henda / hetta 	þessi / þetta 	denne, dette, disse (plural) 	denne, dette, desse (plural) 	𐍃𐌰 (sa) / 𐌸𐌰𐍄𐌰 (þata) / 𐍃𐍉 (sō)
8	noun                 	that	*sa	sē m, sēo f, þæt n 	/seː/, /seːo̯/, /θæt/	that 	dat 	die, dat 	dat 	de, dat 	det 	dä/dän, dä (hee), die (hee), dat (hee) 	deen, déi, dat 	jener, -e, -es etc.; der, die, das, etc.; derjenige etc. 	יענער‎ (yener); דער‎ (der), די‎ (di), דאָס‎ (dos) 	sá	den der, det der 	den, det, den där, det där 	hasin / handa / hatta 	hinn / hin / hitt / sá / sú / það 	den, det 	den, det 	𐍃𐌰 (sa) / 𐌸𐌰𐍄𐌰 (þata) / 𐍃𐍉 (sō)
9	noun                 	here	*hē₂r	hēr 	/heːr/	here 	hjir 	hier 	hier 	hier 	hie, hiej 	hee, hie 	hei 	hier 	דאָ‎ (do) 	hér	her 	här 	her 	hér / hérna 	her 	her 	𐌷𐌴𐍂 (hēr)
10	noun                 	there	*þar	þǣr 	/θæːr/	thare 	dêr 	daar 	daar 	dor 	dao 	do 	do 	dort, da 	דאָרט‎ (dort) 	þar	der 	där 	har 	þar / þarna 	der 	der 	𐌸𐌰𐍂 (þar)
11	noun                 	who	*hwaz	hwā 	/ʍɑː/	wha 	wa 	wie 	wie (interrogative) 	wokeen 	wae 	wä, wän 	wien 	wer 	ווער‎ (ver) 	hvar	hvem 	vem 	hvør 	hver 	hvem 	kven 	𐍈𐌰𐍃 (ƕas) / 𐍈𐍉 (ƕō)
12	noun                 	what	*hwat	hwæt 	/ʍæt/	whit 	wat 	wat 	wat (interrogative) 	wat 	waat 	wat 	wat 	was 	וואָס‎ (vos) 	hvat	hvad 	vad 	hvat 	hvað 	hva 	kva 	𐍈𐌰 (ƕa)
13	noun                 	where	*hwar	hwǣr 	/ʍæːr/	whaur 	wêr 	waar 	waar (interrogative) 	woneem, wo 	wo 	wo 	wou 	wo 	וווּ‎ (vu) 	hvar	hvor 	var 	hvar 	hvar 	hvor 	kvar, kor (degree) 	𐍈𐌰𐍂 (ƕar)
14	noun                 	when	*hwan	hwænne 	/ˈʍæn.ne/	whan 	wannear, hoenear 	wanneer 	wanneer (interrogative) 	wannehr, wann 	wen 	wann, wenn 	wéini 	wann 	ווען‎ (ven) 	hvenær	hvornår 	när 	nær 	hvenær 	når 	kva tid, når 	𐍈𐌰𐌽 (ƕan)
15	noun                 	how	*hwō	hū 	/huː/	hou 	hoe 	hoe 	hoe (interrogative) 	woans, wo 	wie 	wie, wee 	wéi 	wie 	ווי‎ (vi) 	hvé	hvordan, hvorledes 	hur 	hvussu 	hvernig 	hvordan, åssen 	korleis, koss 	𐍈𐌰𐌹𐍅𐌰 (ƕaiwa)
16	adverb              	not	*ne	ne 	/ne/	no 	net 	niet 	nie 	nich 	neet 	net, nit 	net 	nicht 	ניט‎ (nit), נישט‎ (nisht) 	eigi, ekki	ikke 	inte, ej, icke (formal) 	ikki 	ekki, eigi 	ikke, ei 	ikkje, ei 	𐌽𐌹 (ni)
17	determiner            	all	*allaz	eall 	/æɑ̯ɫː/	aw 	alle, allegear 	al, alle 	alle 	all 	al 	all 	all 	alle 	אַלע‎ (ale) 	allr	alt, alle, al 	allt, alla 	alt 	allt, allir, öll 	alt, alle, all 	alt, alle, all 	𐌰𐌻𐌻𐍃 (alls)
18	determiner            	many	*managaz	maniġ, fela 	/ˈmɒnij/, /ˈfelɑ/	mony 	folle, mannich, gâns, in protte, in soad 	menig, veel 	baie, vele 	männich, veel 	väöl 	vill 	vill 	manch, viele 	פֿיל‎ (fil), אַ סך‎ (a sakh) 	margr	mange 	många 	nógvir, mangir 	margir 	mange 	mange 	𐍆𐌹𐌻𐌿 (filu), 𐌼𐌰𐌽𐌰𐌲𐍃 (manags)
19	determiner            	some	*sumaz	sum 	/sum/	some 	(foarnamwurd) sommige, guon 	enkele, sommige 	party, sekere, sommige 	enige, somige 	get 	paar, e paar, jet 	puer, e puer 	einige 	עטלעכע‎ (etlekhe) 	nǫkkurr	nogen 	några 	nakrir 	nokkrir / sumir 	noe 	noko, somt, sumt 	𐍃𐌿𐌼𐍃 (sums)
20	determiner            	few	*fawaz	fēaw, lȳt 	/fæːɑ̯w/, /lyːt/	few, wheen 	min 	weinig 	min 	wenig 	weinige 	winnig 	wéineg 	wenige 	ווייניק‎ (veynik), ווינציק‎ (vintsik) 	fár	få 	få 	fáir 	fáir 	få 	få 	𐍆𐌰𐌿𐍃 (faus)
21	determiner            	other	*anþeraz, *aljaz	ōþer 	/ˈoːðer/	ither 	oare 	ander 	ander 	anner 	anger 	anner, anger, ander 	aner 	andere 	אַנדער‎ (ander) 	annarr	andet, anden 	annat, annan, andre (masculine definite), andra (plural) 	annar 	annað, annar 	annet, annen, andre (plural) 	anna, annan, andre (plural) 	𐌰𐌽𐌸𐌰𐍂 (anþar)
22	noun                 	one	*ainaz	ān 	/ɑːn/	ane 	ien 	een 	een 	een 	ein 	een, ään, ein (f.), eine (m.), ei (n.), eint 	een 	eins 	איינס‎ (eyns) 	einn	en, et 	en, ett, e (dialectal feminine), ena (dialectal feminine) 	ein, eitt 	einn, ein, eitt 	en, ei, ett 	ein, ei, eitt 	𐌰𐌹𐌽𐍃 (ains) / 𐌰𐌹𐌽𐌰 (aina) / 𐌰𐌹𐌽, 𐌰𐌹𐌽𐌰𐍄𐌰 (ain, ainata)
23	noun                 	two	*twai	twēġen 	/ˈtweːjen/	twa 	twa 	twee 	twee 	twee 	twie 	zwee, zwä, zwei 	zwee 	zwei, zwo 	צוויי‎ (tsvey) 	tveir	to 	två, tu (rare, dialectal) 	tveir 	tveir 	to 	to 	𐍄𐍅𐌰𐌹 (twai) / 𐍄𐍅𐍉𐍃 (twōs) / 𐍄𐍅𐌰 (twa)
24	noun                 	three	*þrīz	þrī 	/θriː/	three 	trije 	drie 	drie 	dree 	drie 	drei 	dräi 	drei 	דרײַ‎ (dray) 	þrír	tre 	tre 	tríggir 	þrír 	tre 	tre, tri 	𐌸𐍂𐌴𐌹𐍃 (þreis) / 𐌸𐍂𐌹𐌾𐌰 (þrija)
25	noun                 	four	*fedwōr	fēower 	/ˈfeːo̯wer/	fower 	fjouwer 	vier 	vier 	veer 	veer 	vier, veer 	véier 	vier 	פֿיר‎ (fir) 	fjórir	fire 	fyra 	fýra 	fjórir 	fire 	fire 	𐍆𐌹𐌳𐍅𐍉𐍂 (fidwōr)
26	noun                 	five	*fimf	fīf 	/fiːf/	five 	fiif 	vijf 	vyf 	fief 	vief 	fönnef, fennef, fünf 	fënnef 	fünf 	פֿינף‎ (finf) 	fimm	fem 	fem 	fimm 	fimm 	fem 	fem 	𐍆𐌹𐌼𐍆 (fimf)
