*		*	*	*	present	present	future	future	past	past
*		*	*	*	cyrillic	latin	cyrillic	latin	cyrillic	latin
appear	infinitive				появля́ться	pojavljátʹsja				
appear	participle		active		появля́ющийся	pojavljájuščijsja			появля́вшийся	pojavljávšijsja
appear	participle		passive		—				—	
appear	participle		adverbial		появля́ясь	pojavljájasʹ			появля́вшись	pojavljávšisʹ
appear	finite	indicative	1	singular	появля́юсь	pojavljájusʹ	бу́ду появля́ться	búdu pojavljátʹsja		
appear	finite	indicative	2	singular	появля́ешься	pojavljáješʹsja	бу́дешь появля́ться	búdešʹ pojavljátʹsja		
appear	finite	indicative	3	singular	появля́ется	pojavljájetsja	бу́дет появля́ться	búdet pojavljátʹsja		
appear	finite	indicative	1	plural	появля́емся	pojavljájemsja	бу́дем появля́ться	búdem pojavljátʹsja		
appear	finite	indicative	2	plural	появля́етесь	pojavljájetesʹ	бу́дете появля́ться	búdete pojavljátʹsja		
appear	finite	indicative	3	plural	появля́ются	pojavljájutsja	бу́дут появля́ться	búdut pojavljátʹsja		
appear	finite	indicative	masculine	singular					появля́лся	pojavljálsja
appear	finite	indicative	masculine	plural					появля́лись	pojavljálisʹ
appear	finite	indicative	feminine	singular					появля́лась	pojavljálasʹ
appear	finite	indicative	feminine	plural					появля́лись	pojavljálisʹ
appear	finite	indicative	neuter	singular					появля́лось	pojavljálosʹ
appear	finite	indicative	neuter	plural					появля́лись	pojavljálisʹ
appear	finite	imperative		singular	появля́йся	pojavljájsja				
appear	finite	imperative		plural	появля́йтесь	pojavljájtesʹ				
be	infinitive				бы́ть	býtʹ				
be	participle		active		су́щий	súščij			бы́вший	bývšij
be	participle		passive		—				—	
be	participle		adverbial		бу́дучи	búduči			бы́в,бы́вшиši	býv, bývši
be	finite	indicative	1	singular	есть,е́смь	jestʹ, jésmʹ	бу́ду	búdu		
be	finite	indicative	2	singular	есть	jestʹ	бу́дешь	búdešʹ		
be	finite	indicative	3	singular	есть	jestʹ	бу́дет	búdet		
be	finite	indicative	1	plural	есть	jestʹ	бу́дем	búdem		
be	finite	indicative	2	plural	есть	jestʹ	бу́дете	búdete		
be	finite	indicative	3	plural	есть,су́ть	jestʹ, sútʹ	бу́дут	búdut		
be	finite	indicative	masculine	singular					бы́л	býl
be	finite	indicative	masculine	plural					бы́ли	býli
be	finite	indicative	feminine	singular					была́	bylá
be	finite	indicative	feminine	plural					бы́ли	býli
be	finite	indicative	neuter	singular					бы́ло	býlo
be	finite	indicative	neuter	plural					бы́ли	býli
be	finite	imperative		singular	бу́дь	búdʹ				
be	finite	imperative		plural	бу́дьте	búdʹte				
be-inherently	infinitive				бы́ть	býtʹ				
be-inherently	participle		active		су́щий	súščij			бы́вший	bývšij
be-inherently	participle		passive		—				—	
be-inherently	participle		adverbial		бу́дучи	búduči			бы́в,бы́вшиši	býv, bývši
be-inherently	finite	indicative	1	singular	есть,е́смь	jestʹ, jésmʹ	бу́ду	búdu		
be-inherently	finite	indicative	2	singular	есть	jestʹ	бу́дешь	búdešʹ		
be-inherently	finite	indicative	3	singular	есть	jestʹ	бу́дет	búdet		
be-inherently	finite	indicative	1	plural	есть	jestʹ	бу́дем	búdem		
be-inherently	finite	indicative	2	plural	есть	jestʹ	бу́дете	búdete		
be-inherently	finite	indicative	3	plural	есть,су́ть	jestʹ, sútʹ	бу́дут	búdut		
be-inherently	finite	indicative	masculine	singular					бы́л	býl
be-inherently	finite	indicative	masculine	plural					бы́ли	býli
be-inherently	finite	indicative	feminine	singular					была́	bylá
be-inherently	finite	indicative	feminine	plural					бы́ли	býli
be-inherently	finite	indicative	neuter	singular					бы́ло	býlo
be-inherently	finite	indicative	neuter	plural					бы́ли	býli
be-inherently	finite	imperative		singular	бу́дь	búdʹ				
be-inherently	finite	imperative		plural	бу́дьте	búdʹte				
change	infinitive				изменя́ть	izmenjátʹ				
change	participle		active		изменя́ющий	izmenjájuščij			изменя́вший	izmenjávšij
change	participle		passive		изменя́емый	izmenjájemyj			—	
change	participle		adverbial		изменя́я	izmenjája			изменя́в,изменя́вшиši	izmenjáv, izmenjávši
change	finite	indicative	1	singular	изменя́ю	izmenjáju	бу́ду изменя́ть	búdu izmenjátʹ		
change	finite	indicative	2	singular	изменя́ешь	izmenjáješʹ	бу́дешь изменя́ть	búdešʹ izmenjátʹ		
change	finite	indicative	3	singular	изменя́ет	izmenjájet	бу́дет изменя́ть	búdet izmenjátʹ		
