particle 	 い 	  	 Used in compounds with certain sentence-ending particles to create a familiar effect 	 
particle 	 の 	 -'s 	 indicates possession: of, -'s 	 -'s
particle 	 は 	  	 unique topic marker, often untranslatable 	 
interjection 	 は 	  	 Used to show agreement or obedience: yes 	 
particle 	 て 	  	 saw but pretended not to see → turn a blind eye 	 
particle 	 た 	  	  	 
particle 	 に 	 to 	 particle for indirect objects; to 	 to
particle 	 な 	  	 sentence-final particle indicating emotion or mild emphasis 	 
interjection 	 な 	 huh 	  	 huh
particle 	 を 	  	 accusative case particle: a grammatical marker following the direct object 	 
particle 	 が 	  	 Indicates the subject of a sentence 	 
particle 	 で 	  	 at: indicating a location at which something happens 	 
particle 	 し 	  	  	 
pronoun 	 し 	  	 third person personal pronoun; he, she, it 	 
particle 	 か 	 yes-no 	 particle marking alternatives in a list; "or&quot 	 yes-no
particle 	 と 	  	 with with 	 
particle 	 も 	  	 too; also; as well 	 
particle 	 ん 	  	  	 
particle 	 よ 	 o 	 Indicates certainty, conviction, or emphasis 	 o
pronoun 	 よ 	  	 余 , me 	 
pronoun 	 私 	 me; i 	 first-person singular pronoun: , me 	 i; mine; me
interjection 	 何 	 sorry; what 	  	 what; sorry
pronoun 	 何 	 what 	 what 	 what; anything
particle 	 わ 	  	  	 
particle 	 から 	  	 from, out of 	 
interjection 	 あ 	 ah; oh 	 expresses surprise: Ah! Oh! 	 ah; oh
pronoun 	 あ 	  	 first-person personal pronoun: , me 	 
particle 	 ね 	  	 emphasis and question marker particle; asks for confirmation; right?; eh?; isn't it, innit? 	 
interjection 	 ね 	 huh 	 particle used to catch listener’s attention; hey 	 huh; eh
pronoun 	 彼 	 he 	 distal demonstrative, something far off removed from both speaker and listener: that, yon 	 he
particle 	 さ 	  	 to 	 
pronoun 	 さ 	  	 third person personal pronoun; they 	 
interjection 	 そう 	 right; so 	 yes, yeah; it's like that; that's how it is; I see 	 so; right
interjection 	 お 	 oh 	 諾 yes, alright, okay 	 oh
interjection 	 どう 	 whoa 	 Call out to horses or cows to control/stop them: Ho! Hoy! Whoa! 	 whoa
pronoun 	 君 	 you 	 second-person personal pronoun: you 	 you; thou
pronoun 	 俺 	 i 	 me 	 i
particle 	 や 	  	 and/or 	 
pronoun 	 ここ 	  	 this place, area, or part . Can be juxtaposed with a phrase with で or に 	 
pronoun 	 人 	 one 	 second-person personal pronoun: you 	 one
particle 	 ば 	  	 kateikei, and in Classical Japanese, attaches to the mizenkei, to express the hypothetical condition: if 	 
pronoun 	 誰 	 who 	 interrogative personal pronoun: who, whom 	 who
particle 	 って 	  	  	 
interjection 	 って 	  	  	 
particle 	 つ 	  	  	 
particle 	 ぞ 	  	 a particle used at the end of sentences, which indicates certainty or emphasis 	 
pronoun 	 僕 	 me 	 me 	 i; you
particle 	 だけ 	  	 in a negative, limiting sense: only, just, limit 	 
