犬 	 noun 	 canine 	 dog; canine
犬 	 noun 	 dog 	 dog; canine
犬 	 noun 	 loyal 	 one who is loyal
犬 	 noun 	 spy 	 a spy
馬 	 noun 	 horse 	 a horse
馬 	 noun 	 bishop 	 a promoted bishop
馬 	 noun 	 sawhorse 	 a sawhorse: a four-leg stand made of wood or iron for supporting other materials
馬 	 noun 	 stand 	 a sawhorse: a four-leg stand made of wood or iron for supporting other materials
馬 	 noun 	 horse 	 a horse
馬 	 noun 	 w:Tosa Nikki 	 * c. 935 Tosa Nikki
馬 	 noun 	 w:Tosa Nikki 	 * c. 935 Tosa Nikki
国 	 noun 	 land 	 a land, a large place
国 	 noun 	 place 	 a land, a large place
国 	 noun 	 country 	 a country in general, a region
国 	 noun 	 region 	 a country in general, a region
国 	 noun 	 country 	 a country as in a nation, a state
国 	 noun 	 state 	 a country as in a nation, a state
国 	 noun 	 nation 	 a country as in a nation, a state
国 	 noun 	 affair 	 the office of emperor, the crown; affairs of state
国 	 noun 	 state 	 the office of emperor, the crown; affairs of state
国 	 noun 	 crown 	 the office of emperor, the crown; affairs of state
国 	 noun 	 office 	 the office of emperor, the crown; affairs of state
国 	 noun 	 emperor 	 the office of emperor, the crown; affairs of state
国 	 noun 	 province 	 a province of ancient Japan
国 	 noun 	 capital 	 the national government in ancient Japan; the national capital in ancient Japan
国 	 noun 	 government 	 the national government in ancient Japan; the national capital in ancient Japan
国 	 noun 	 national 	 the national government in ancient Japan; the national capital in ancient Japan
国 	 noun 	 birthplace 	 one's birthplace
国 	 noun 	 land 	 a land, a large place
国 	 noun 	 place 	 a land, a large place
国 	 noun 	 country 	 a country in general, a region
国 	 noun 	 region 	 a country in general, a region
国 	 noun 	 country 	 a country as in a nation, a state
国 	 noun 	 state 	 a country as in a nation, a state
国 	 noun 	 nation 	 a country as in a nation, a state
数 	 noun 	 amount 	 number; amount
数 	 noun 	 number 	 number; amount
数 	 noun 	 number 	 number
西 	 noun 	 west 	 west one of the four cardinal directions
西 	 noun 	 cardinal direction 	 west one of the four cardinal directions
西 	 noun 	 West 	 the West
西 	 noun 	 blow 	 wind blowing from the west
西 	 noun 	 west 	 wind blowing from the west
西 	 noun 	 wind 	 wind blowing from the west
西 	 noun 	 kabuki 	 in kabuki
西 	 noun 	 stage 	 the left side of the stage in the Edo-style
西 	 noun 	 left 	 the left side of the stage in the Edo-style
西 	 noun 	 right 	 the right side of the stage in Kyoto and Osaka styles
西 	 noun 	 wrestler 	 lower-ranked wrestlers listed on the left side of a banzuke
西 	 noun 	 rank 	 lower-ranked wrestlers listed on the left side of a banzuke
西 	 noun 	 banzuke 	 lower-ranked wrestlers listed on the left side of a banzuke
西 	 noun 	 lower 	 lower-ranked wrestlers listed on the left side of a banzuke
西 	 noun 	 state 	 a capitalist state originally western Europe, as opposed to Eastern Bloc countries
西 	 noun 	 countries 	 a capitalist state originally western Europe, as opposed to Eastern Bloc countries
西 	 noun 	 Eastern Bloc 	 a capitalist state originally western Europe, as opposed to Eastern Bloc countries
西 	 noun 	 capitalist 	 a capitalist state originally western Europe, as opposed to Eastern Bloc countries
西 	 noun 	 west wind 	 west wind
西 	 noun 	 triplet 	 a tr=yaku||winning hand with a triplet or quad of west wind tiles; depending on wind round and player's seat wind, it is worth either 1 or 2 tr=han||doubles
西 	 noun 	 quad 	 a tr=yaku||winning hand with a triplet or quad of west wind tiles; depending on wind round and player's seat wind, it is worth either 1 or 2 tr=han||doubles
西 	 noun 	 hand 	 a tr=yaku||winning hand with a triplet or quad of west wind tiles; depending on wind round and player's seat wind, it is worth either 1 or 2 tr=han||doubles
西 	 noun 	 double 	 a tr=yaku||winning hand with a triplet or quad of west wind tiles; depending on wind round and player's seat wind, it is worth either 1 or 2 tr=han||doubles
西 	 noun 	 win 	 a tr=yaku||winning hand with a triplet or quad of west wind tiles; depending on wind round and player's seat wind, it is worth either 1 or 2 tr=han||doubles
西 	 noun 	 tile 	 wind tiles: east wind, south wind, west wind, north wind
西 	 noun 	 north wind 	 wind tiles: east wind, south wind, west wind, north wind
西 	 noun 	 wind 	 wind tiles: east wind, south wind, west wind, north wind
西 	 noun 	 east wind 	 wind tiles: east wind, south wind, west wind, north wind
西 	 noun 	 south wind 	 wind tiles: east wind, south wind, west wind, north wind
車 	 noun 	 automobile 	 a car, an automobile, a carriage, a cart
車 	 noun 	 carriage 	 a car, an automobile, a carriage, a cart
車 	 noun 	 car 	 a car, an automobile, a carriage, a cart
車 	 noun 	 cart 	 a car, an automobile, a carriage, a cart
車 	 noun 	 wheel 	 a wheel, a caster
車 	 noun 	 caster 	 a wheel, a caster
車 	 noun 	 wheel 	 something wheel-shaped
車 	 noun 	 shaped 	 something wheel-shaped
車 	 noun 	 crest 	 a style of tr=mon||family crest
車 	 noun 	 prawn 	 nocap=1|nodot=1|sort=くるま|車海老 : a prawn
車 	 noun 	 piggyback 	 nocap=1|nodot=1|sort=くるま|肩車 : riding on one's shoulders, piggyback
車 	 noun 	 handcart 	 nocap=1|nodot=1|sort=くるま|手車 : a handcart, a wheelbarrow
