𓀀	A1 	seated man
𓀁	A2 	man with hand to mouth 
𓀂	A3 	man sitting on heel 
𓀃	A4 	man seated with arms in adoration
𓀄	A5 	crouching man hiding behind wall 
𓀅	A5A 	seated man hiding behind wall 
𓀆	A6 	seated man under vase from which water flows 
𓀇	A6A 	seated man reaching for libation stone, under vase from which water flows 
𓀈	A6B 	seated man reaching down, under vase from which water flows 
𓀉	A7 	fatigued man 
𓀊	A8 	man performing Hennu
𓀋	A9 	man steadying basket on head
𓀌	A10 	seated man holding oar 
𓀍	A11 	seated man holding scepter of authority and shepherd's crook 
𓀎	A12 	soldier with bow and quiver 
𓀏	A13 	man with arms tied behind his back 
𓀐	A14 	falling man with blood streaming from his head 
𓀑	A14A 	man whose head is hit with an axe 
𓀒	A15 	man falling 
𓀓	A16 	man bowing down
𓀔	A17 	child sitting with hand to mouth 
𓀕	A17A 	child sitting with arms hanging down 
𓀖	A18 	child wearing red crown 
𓀗	A19 	bent man leaning on staff 
𓀘	A20 	man leaning on forked staff 
𓀙	A21 	man holding staff with handkerchief 
𓀚	A22 	statue of man with staff and scepter of authority 
𓀛	A23 	king with staff and mace with round head 
𓀜	A24 	man striking with both hands 
𓀝	A25 	man striking, with left arm hanging behind back 
𓀞	A26 	man with one arm pointing forward 
𓀟	A27 	hastening man 
𓀠	A28 	man with hands raised on either side
𓀡	A29 	man upside down 
𓀢	A30 	man with hands raised in front 
𓀣	A31 	man with hands raised behind him 
𓀤	A32 	man dancing with arms to the back
𓀥	A32A 	man dancing with arms to the front 
𓀦	A33 	man with stick and bundle on shoulder 
𓀧	A34 	man pounding in a mortar
𓀨	A35 	man building wall
𓀩	A36 	man kneading into vessel 
𓀪	A37 	man in vessel 
𓀫	A38 	man holding necks of two emblematic animals with panther heads 
𓀬	A39 	man on two giraffes 
𓀭	A40 	seated god 
𓀮	A40A 	seated god with sceptre 
𓀯	A41 	king with uraeus 
𓀰	A42 	king with uraeus and flagellum 
𓀱	A42A 	king with uraeus and flagellum 
𓀲	A43 	king wearing white crown 
𓀳	A43A 	king wearing white crown with sceptre 
𓀴	A44 	king wearing white crown with flagellum 
𓀵	A45 	king wearing red crown 
𓀶	A45A 	king wearing red crown with sceptre 
𓀷	A46 	king wearing red crown with flagellum 
𓀸	A47 	shepherd seated and wrapped in mantle, holding stick 
𓀹	A48 	beardless man seated and holding knife 
𓀺	A49 	seated Syrian holding stick 
𓀻	A50 	noble on chair 
𓀼	A51 	noble on chair with flagellum 
𓀽	A52 	noble squatting with flagellum 
𓀾	A53 	standing mummy
𓀿	A54 	lying mummy 
𓁀	A55 	mummy on bed
𓁁	A56 	seated man holding stick 
𓁂	A57 	man holding loaf on mat 
𓁃	A58 	man applying hoe to ground 
𓁄	A59 	man threatening with stick 
𓁅	A60 	man sowing seeds 
𓁆	A61 	man looking over his shoulder 
𓁇	A62 	Asiatic 
𓁈	A63 	king on throne holding staff 
𓁉	A64 	man sitting on heels holding forward cup 
𓁊	A65 	man wearing tunic with fringes and holding mace 
𓁋	A66 	man holding sistrum 
𓁌	A67 	dwarf 
𓁍	A68 	man holding up knife 
𓁎	A69 	seated man with raised right arm and left arm hanging down 
𓁏	A70 	seated man with raised arms 
𓁐	B1 	seated woman 
𓁑	B2 	pregnant woman 
𓁒	B3 	woman giving birth 
𓁓	B4 	combination of woman giving birth and three skins tied together 
𓁔	B5 	woman suckling child 
𓁕	B5A 	woman suckling child (simplified) 
𓁖	B6 	woman on chair with child on lap 
𓁗	B7 	queen wearing diadem and holding flower 
𓁘	B8 	woman holding lotus flower 
𓁙	B9 	woman holding sistrum 
𓁚	C1 	god with sun-disk and uraeus
𓁛	C2 	god with falcon head and sun-disk holding ankh 
𓁜	C2A 	god with falcon head and sun-disk 
𓁝	C2B 	#C2A
𓁞	C2C 	#C2
𓁟	C3 	god with ibis head
𓁠	C4 	god with ram head
𓁡	C5 	god with ram head holding ankh
𓁢	C6 	god with jackal head
𓁣	C7 	god with Set animal
𓁤	C8 	ithyphallic god with two plumes, uplifted arm and flagellum
𓁥	C9 	goddess with horned sun-disk
𓁦	C10 	goddess with feather
𓁧	C10A 	goddess with feather holding ankh
𓁨	C11 	god with arms supporting the sky and palm branch on head
𓁩	C12 	god with two plumes and scepter
𓁪	C13 	C12 reversed 
𓁫	C14 	god with two plumes and scimitar 
𓁬	C15 	C14 reversed 
𓁭	C16 	god wearing red crown with ankh 
𓁮	C17 	god with falcon head and two plumes 
𓁯	C18 	squatting god
𓁰	C19 	mummy-shaped god
𓁱	C20 	mummy-shaped god in shrine 
𓁲	C21 	Bes
𓁳	C22 	god with falcon head and moon 
𓁴	C23 	goddess with feline head and sun with uraeus 
𓁵	C24 	god wearing red crown with scepter 
𓁶	D1 	head
𓁷	D2 	face 
𓁸	D3 	hair 
𓁹	D4 	eye
𓁺	D5 	eye touched up with paint 
