                                            
I am                                        	ego sum           
you are                                     	tū es             
it is                                       	id est            
we are                                      	nōs sumus         
you all are                                 	vōs estis         
they are                                    	ea sunt           
                                            
I will be                                   	ego erō           
you will be                                 	tū eris           
it will be                                  	id erit           
we will be                                  	nōs erimus        
you all will be                             	vōs eritis        
they will be                                	ea erunt          
                                            
I used to be                                	ego eram          
you used to be                              	tū erās           
it used to be                               	id erat           
we used to be                               	nōs erāmus        
you all used to be                          	vōs erātis        
they used to be                             	ea erant          
                                            
I have been                                 	ego fuī           
you have been                               	tū fuistī         
it has been                                 	id fuit           
we have been                                	nōs fuimus        
you all have been                           	vōs fuistis       
they have been                              	ea fuērunt/fuēre  
                                            
I will have been                            	ego fuerō         
you will have been                          	tū fuerīs         
it will have been                           	id fuerit         
we will have been                           	nōs fuerīmus      
you all will have been                      	vōs fuerītis      
they will have been                         	ea fuerint        
                                            
I had been                                  	ego fueram        
you had been                                	tū fuerās         
it had been                                 	id fuerat         
we had been                                 	nōs fuerāmus      
you all had been                            	vōs fuerātis      
they had been                               	ea fuerant        
                                            
[may it be that] I am                       	ego sim           
[may it be that] you are                    	tūsīs             
[may it be that] it is                      	id sit            
[may it be that] we are                     	nōs sīmus         
[may it be that] you all are                	vōs sītis         
[may it be that] they♂ are                  	eī sint           
[may it be that] they♀ are                  	eae sint          
[may it be that] they⚲ are                  	ea sint           
                                            
[may it be that] I used to be               	ego essem         
[may it be that] you used to be             	tūessēs           
[may it be that] it used to be              	id esset          
[may it be that] we used to be              	nōs essēmus       
[may it be that] you all used to be         	vōs essētis       
[may it be that] they♂ used to be           	eī essent         
[may it be that] they♀ used to be           	eae essent        
[may it be that] they⚲ used to be           	ea essent         
                                            
[may it be that] I have been                	ego fuerim        
[may it be that] you have been              	tūfuerīs          
[may it be that] it has been                	id fuerit         
[may it be that] we have been               	nōs fuerīmus      
[may it be that] you all have been          	vōs fuerītis      
[may it be that] they♂ have been            	eī fuerint        
[may it be that] they♀ have been            	eae fuerint       
[may it be that] they⚲ have been            	ea fuerint        
                                            
[may it be that] I had been                 	ego fuissem       
[may it be that] you had been               	tūfuissēs         
[may it be that] it had been                	id fuisset        
[may it be that] we had been                	nōs fuissēmus     
[may it be that] you all had been           	vōs fuissētis     
[may it be that] they♂ had been             	eī fuissent       
[may it be that] they♀ had been             	eae fuissent      
[may it be that] they⚲ had been             	ea fuissent       
                                            
[I command] you be:                         	tū es             
[I command] all of you be:                  	vōs este          
[I command] you will:                       	tū estō           
[I command] he will:                        	is estō           
[I command] she will:                       	ea estō           
[I command] it will:                        	id estō           
[I command] all of you will be :            	vōs estōte        
[I command] they will be:                   	ei suntō          
                                            
I am able                                   	ego possum        
you are able                                	tū potes          
it is able                                  	id potest         
we are able                                 	nōs possumus      
you all are able                            	vōs potestis      
they are able                               	ea possunt        
                                            
I will be able                              	ego poterō        
you will be able                            	tū poteris        
it will be able                             	id poterit        
we will be able                             	nōs poterimus     
you all will be able                        	vōs poteritis     
they will be able                           	ea poterunt       
                                            
I used to be able                           	ego poteram       
you used to be able                         	tū poterās        
it used to be able                          	id poterat        
we used to be able                          	nōs poterāmus     
you all used to be able                     	vōs poterātis     
they used to be able                        	ea poterant       
                                            
I have been able                            	ego potuī         
you have been able                          	tū potuistī       
it has been able                            	id potuit         
we have been able                           	nōs potuimus      
you all have been able                      	vōs potuistis     
they have been able                         	ea potuērunt/-ēre 
                                            
I will have been able                       	ego potuerō       
you will have been able                     	tū potuerīs       
it will have been able                      	id potuerit       
we will have been able                      	nōs potuerīmus    
you all will have been able                 	vōs potuerītis    
they will have been able                    	ea potuerint      
                                            
I had been able                             	ego potueram      
you had been able                           	tū potuerās       
it had been able                            	id potuerat       
we had been able                            	nōs potuerāmus    
you all had been able                       	vōs potuerātis    
they had been able                          	ea potuerant      
                                            
[may it be that] I am able                  	ego possim        
[may it be that] you are able               	tūpossīs          
[may it be that] it is able                 	id possit         
[may it be that] we are able                	nōs possīmus      
[may it be that] you all are able           	vōs possītis      
[may it be that] they♂ are able             	eī possint        
[may it be that] they♀ are able             	eae possint       
[may it be that] they⚲ are able             	ea possint        
                                            
[may it be that] I used to be able          	ego possem        
[may it be that] you used to be able        	tūpossēs          
[may it be that] it used to be able         	id posset         
[may it be that] we used to be able         	nōs possēmus      
[may it be that] you all used to be able    	vōs possētis      
[may it be that] they♂ used to be able      	eī possent        
[may it be that] they♀ used to be able      	eae possent       
[may it be that] they⚲ used to be able      	ea possent        
                                            
[may it be that] I have been able           	ego potuerim      
[may it be that] you have been able         	tūpotuerīs        
[may it be that] it has been able           	id potuerit       
[may it be that] we have been able          	nōs potuerīmus    
[may it be that] you all have been able     	vōs potuerītis    
[may it be that] they♂ have been able       	eī potuerint      
[may it be that] they♀ have been able       	eae potuerint     
[may it be that] they⚲ have been able       	ea potuerint      
                                            
[may it be that] I had been able            	ego potuissem     
[may it be that] you had been able          	tūpotuissēs       
[may it be that] it had been able           	id potuisset      
[may it be that] we had been able           	nōs potuissēmus   
[may it be that] you all had been able      	vōs potuissētis   
[may it be that] they♂ had been able        	eī potuissent     
[may it be that] they♀ had been able        	eae potuissent    
[may it be that] they⚲ had been able        	ea potuissent     
                                            
I want                                      	ego volō          
you want                                    	tū vīs            
it want                                     	id vult           
we want                                     	nōs volumus       
you all want                                	vōs vultis        
they want                                   	ea volunt         
                                            
I will want                                 	ego volam         
you will want                               	tū volēs          
it will want                                	id volet          
we will want                                	nōs volēmus       
you all will want                           	vōs volētis       
they will want                              	ea volent         
                                            
I was wanting                               	ego volēbam       
you were wanting                            	tū volēbās        
it was wanting                              	id volēbat        
we were wanting                              	nōs volēbāmus     
you all were wanting                        	vōs volēbātis     
they were wanting                           	ea volēbant       
                                            
I wanted                                    	ego voluī         
you wanted                                  	tū voluistī       
it wanted                                   	id voluit         
we wanted                                   	nōs voluimus      
you all wanted                              	vōs voluistis     
they wanted                                 	ea voluērunt/-ēre 
                                            
I will have wanted                          	ego voluerō       
you will have wanted                        	tū voluerīs       
it will have wanted                         	id voluerit       
we will have wanted                         	nōs voluerīmus    
you all will have wanted                    	vōs voluerītis    
they will have wanted                       	ea voluerint      
                                            
I had wanted                                	ego volueram      
you had wanted                              	tū voluerās       
it had wanted                               	id voluerat       
we had wanted                               	nōs voluerāmus    
you all had wanted                          	vōs voluerātis    
they had wanted                             	ea voluerant      
                                            
[may it be that] I want                     	ego velim         
[may it be that] you want                   	tūvelīs           
[may it be that] it want                    	id velit          
[may it be that] we want                    	nōs velīmus       
[may it be that] you all want               	vōs velītis       
[may it be that] they♂ want                 	eī velint         
[may it be that] they♀ want                 	eae velint        
[may it be that] they⚲ want                 	ea velint         
                                            
[may it be that] I was wanting              	ego vellem        
[may it be that] you were wanting           	tūvellēs          
[may it be that] it was wanting             	id vellet         
[may it be that] we were wanting             	nōs vellēmus      
[may it be that] you all were wanting       	vōs vellētis      
[may it be that] they♂ were wanting         	eī vellent        
[may it be that] they♀ were wanting         	eae vellent       
[may it be that] they⚲ were wanting         	ea vellent        
                                            
[may it be that] I wanted                   	ego voluerim      
[may it be that] you wanted                 	tūvoluerīs        
[may it be that] it wanted                  	id voluerit       
[may it be that] we wanted                  	nōs voluerīmus    
[may it be that] you all wanted             	vōs voluerītis    
[may it be that] they♂ wanted               	eī voluerint      
[may it be that] they♀ wanted               	eae voluerint     
[may it be that] they⚲ wanted               	ea voluerint      
                                            
[may it be that] I had wanted               	ego voluissem     
[may it be that] you had wanted             	tūvoluissēs       
[may it be that] it had wanted              	id voluisset      
[may it be that] we had wanted              	nōs voluissēmus   
[may it be that] you all had wanted         	vōs voluissētis   
[may it be that] they♂ had wanted           	eī voluissent     
[may it be that] they♀ had wanted           	eae voluissent    
[may it be that] they⚲ had wanted           	ea voluissent     
                                            
I go                                        	ego eō            
you go                                      	tū īs             
it go                                       	id it             
we go                                       	nōs īmus          
you all go                                  	vōs ītis          
they go                                     	ea eunt           
                                            
I will go                                   	ego ībō           
you will go                                 	tū ībis           
it will go                                  	id ībit           
we will go                                  	nōs ībimus        
you all will go                             	vōs ībitis        
they will go                                	ea ībunt          
                                            
I was going                                 	ego ībam          
you were going                              	tū ībās           
it was going                                	id ībat           
we were going                                	nōs ībāmus        
you all were going                          	vōs ībātis        
they were going                             	ea ībant          
                                            
I went                                      	ego iī/īvī        
you went                                    	tū iistī          
it went                                     	id iit            
we went                                     	nōs iimus         
you all went                                	vōs iistis        
they went                                   	ea iērunt/iēre    
                                            
I will have gone                            	ego ierō          
you will have gone                          	tū ierīs          
it will have gone                           	id ierit          
we will have gone                           	nōs ierīmus       
you all will have gone                      	vōs ierītis       
they will have gone                         	ea ierint         
                                            
I had gone                                  	ego ieram         
you had gone                                	tū ierās          
it had gone                                 	id ierat          
we had gone                                 	nōs ierāmus       
you all had gone                            	vōs ierātis       
they had gone                               	ea ierant         
                                            
[may it be that] I go                       	ego eam           
[may it be that] you go                     	tūeās             
[may it be that] it go                      	id eat            
[may it be that] we go                      	nōs eāmus         
[may it be that] you all go                 	vōs eātis         
[may it be that] they♂ go                   	eī eant           
[may it be that] they♀ go                   	eae eant          
[may it be that] they⚲ go                   	ea eant           
                                            
[may it be that] I was going                	ego īrem          
[may it be that] you were going             	tūīrēs            
[may it be that] it was going               	id īret           
[may it be that] we were going               	nōs īrēmus        
[may it be that] you all were going         	vōs īrētis        
[may it be that] they♂ were going           	eī īrent          
[may it be that] they♀ were going           	eae īrent         
[may it be that] they⚲ were going           	ea īrent          
                                            
[may it be that] I went                     	ego ierim         
[may it be that] you went                   	tūierīs           
[may it be that] it went                    	id ierit          
[may it be that] we went                    	nōs ierīmus       
[may it be that] you all went               	vōs ierītis       
[may it be that] they♂ went                 	eī ierint         
[may it be that] they♀ went                 	eae ierint        
[may it be that] they⚲ went                 	ea ierint         
                                            
[may it be that] I had gone                 	ego īssem         
[may it be that] you had gone               	tūīssēs           
[may it be that] it had gone                	id īsset          
[may it be that] we had gone                	nōs īssēmus       
[may it be that] you all had gone           	vōs īssētis       
[may it be that] they♂ had gone             	eī īssent         
[may it be that] they♀ had gone             	eae īssent        
[may it be that] they⚲ had gone             	ea īssent         
                                            
I love                                      	ego amō           
you love                                    	tū amās           
it loves                                    	id amat           
we love                                     	nōs amāmus        
you all love                                	vōs amātis        
they love                                   	ea amant          
                                            
I will love                                 	ego amābō         
you will love                               	tū amābis         
it will love                                	id amābit         
we will love                                	nōs amābimus      
you all will love                           	vōs amābitis      
they will love                              	ea amābunt        
                                            
I was loving                                	ego amābam        
you were loving                             	tū amābās         
it was loving                               	id amābat         
we were loving                               	nōs amābāmus      
you all were loving                         	vōs amābātis      
they were loving                            	ea amābant        
                                            
I have loved                                	ego amāvī         
you have loved                              	tū amāvistī       
it has loved                                	id amāvit         
we have loved                               	nōs amāvimus      
you all have loved                          	vōs amāvistis     
they have loved                             	ea amāvērunt/-ēre 
                                            
I will have loved                           	ego amāverō       
you will have loved                         	tū amāverīs       
it will have loved                          	id amāverit       
we will have loved                          	nōs amāverīmus    
you all will have loved                     	vōs amāverītis    
they will have loved                        	ea amāverint      
                                            
I had loved                                 	ego amāveram      
you had loved                               	tū amāverās       
it had loved                                	id amāverat       
we had loved                                	nōs amāverāmus    
you all had loved                           	vōs amāverātis    
they had loved                              	ea amāverant      
                                            
[may it be that] I love                     	ego amem          
[may it be that] you love                   	tūamēs            
[may it be that] it loves                   	id amet           
[may it be that] we love                    	nōs amēmu         
[may it be that] you all love               	vōs amētis        
[may it be that] they♂ love                 	eī ament          
[may it be that] they♀ love                 	eae ament         
[may it be that] they⚲ love                 	ea ament          
                                            
[may it be that] I was loving               	ego amārem        
[may it be that] you were loving            	tūamārēs          
[may it be that] it was loving              	id amāret         
[may it be that] we were loving              	nōs amārēmus      
[may it be that] you all were loving        	vōs amārētis      
[may it be that] they♂ were loving          	eī amārent        
[may it be that] they♀ were loving          	eae amārent       
[may it be that] they⚲ were loving          	ea amārent        
                                            
[may it be that] I have loved               	ego amāverim      
[may it be that] you have loved             	tūamāverīs        
[may it be that] it has loved               	id amāverit       
[may it be that] we have loved              	nōs amāverīmus    
[may it be that] you all have loved         	vōs amāverītis    
[may it be that] they♂ have loved           	eī amāverint      
[may it be that] they♀ have loved           	eae amāverint     
[may it be that] they⚲ have loved           	ea amāverint      
                                            
[may it be that] I had loved                	ego amā(vi)ssem   
[may it be that] you had loved              	tūamāssēs         
[may it be that] it had loved               	id amāsset        
[may it be that] we had loved               	nōs amāssēmus     
[may it be that] you all had loved          	vōs amāssētis     
[may it be that] they♂ had loved            	eī amāssent       
[may it be that] they♀ had loved            	eae amāssent      
[may it be that] they⚲ had loved            	ea amāssent       
                                            
I am loved                                  	ego amor          
you are loved                               	tū amāris         
it is loved                                 	id amātur         
we are loved                                	nōs amāmur        
you all are loved                           	vōs amāminī       
they are loved                              	ea amāntur        
                                            
I will be loved                             	ego amābor        
you will be loved                           	tū amāberis       
it will be loved                            	id amābitur       
we will be loved                            	nōs amābimur      
you all will be loved                       	vōs amābiminī     
they will be loved                          	ea amābuntur      
                                            
I was being loved                           	ego amābar        
