the man guides them                     	homō dūcit ea          
it is the man's                         	id est hominis         
he guides them to the man               	is dūcit ea hominī     
he guides the man                       	is dūcit hominem       
he guides them away from the man        	is dūcit ea homine     
come, man!                              	venī, homō!            
he was by the man                       	is fuerat homine       
the men guide them                      	hominēs dūcunt ea      
it is the men'                          	id est hominum         
he guides them to the men               	is dūcit ea hominibus  
he guides the men                       	is dūcit hominēs       
he guides them away from the men        	is dūcit ea hominibus  
come, men!                              	venīte, hominēs!       
he was by the men                       	is fuerat hominibus    
the day guides them                     	diēs dūcit ea          
it is the day's                         	id est diēī            
he guides them to the day               	is dūcit ea diēī       
he guides the day                       	is dūcit diem          
he guides them away from the day        	is dūcit ea diē        
come, day!                              	venī, diēs!            
the days guide them                     	diēs dūcunt ea         
it is the days'                         	id est diērum          
he guides them to the days              	is dūcit ea diēbus     
he guides the days                      	is dūcit diēs          
he guides them away from the days       	is dūcit ea diēbus     
come, days!                             	venīte, diēs!          
the hand guides them                    	manus dūcit ea         
it is the hand's                        	id est manūs           
he guides them to the hand              	is dūcit ea manuī      
he guides the hand                      	is dūcit manum         
he guides them away from the hand       	is dūcit ea manū       
come, hand!                             	venī, manus!           
the hands guide them                    	manūs dūcunt ea        
it is the hands'                        	id est manuum          
he guides them to the hands             	is dūcit ea manibus    
he guides the hands                     	is dūcit manūs         
he guides them away from the hands      	is dūcit ea manibus    
come, hands!                            	venīte, manūs!         
the night guides them                   	nox dūcit ea           
it is the night's                       	id est noctis          
he guides them to the night             	is dūcit ea noctī      
he guides the night                     	is dūcit noctem        
he guides them away from the night      	is dūcit ea nocte      
come, night!                            	venī, nox!             
he was in the night                     	is fuerat noctī        
the nights guide them                   	noctēs dūcunt ea       
it is the nights'                       	id est noctium         
he guides them to the nights            	is dūcit ea noctibus   
he guides the nights                    	is dūcit noctēs        
he guides them away from the nights     	is dūcit ea noctibus   
come, nights!                           	venīte, noctēs!        
he was in the nights                    	is fuerat noctibus     
the thing guides them                   	rēs dūcit ea           
it is the thing's                       	id est reī             
he guides them to the thing             	is dūcit ea reī        
he guides the thing                     	is dūcit rem           
he guides them away from the thing      	is dūcit ea rē         
come, thing!                            	venī, rēs!             
the things guide them                   	rēs dūcunt ea          
it is the things'                       	id est rērum           
he guides them to the things            	is dūcit ea rēbus      
he guides the things                    	is dūcit rēs           
he guides them away from the things     	is dūcit ea rēbus      
come, things!                           	venīte, rēs!           
the name guides them                    	nōmen dūcit ea         
it is the name's                        	id est nōminis         
he guides them to the name              	is dūcit ea nōminī     
he guides the name                      	is dūcit nōmen         
he guides them away from the name       	is dūcit ea nōmine     
come, name!                             	venī, nōmen!           
the names guide them                    	nōmina dūcunt ea       
it is the names'                        	id est nōminum         
he guides them to the names             	is dūcit ea nōminibus  
he guides the names                     	is dūcit nōmina        
he guides them away from the names      	is dūcit ea nōminibus  
come, names!                            	venīte, nōmina!        
the son guides them                     	fīlius dūcit ea        
it is the son's                         	id est fīliī           
he guides them to the son               	is dūcit ea fīliō      
he guides the son                       	is dūcit fīlium        
he guides them away from the son        	is dūcit ea fīliō      
come, son!                              	venī, fīlī!            
the sons guide them                     	fīliī dūcunt ea        
it is the sons'                         	id est fīliōrum        
he guides them to the sons              	is dūcit ea fīliīs     
he guides the sons                      	is dūcit fīliōs        
he guides them away from the sons       	is dūcit ea fīliīs     
come, sons!                             	venīte, fīliī!         
the war guides them                     	bellum dūcit ea        
it is the war's                         	id est bellī           
he guides them to the war               	is dūcit ea bellō      
he guides the war                       	is dūcit bellum        
he guides them away from the war        	is dūcit ea bellō      
come, war!                              	venī, bellum!          
he was in the war                       	is fuerat bellī        
the wars guide them                     	bella dūcunt ea        
it is the wars'                         	id est bellōrum        
he guides them to the wars              	is dūcit ea bellīs     
he guides the wars                      	is dūcit bella         
he guides them away from the wars       	is dūcit ea bellīs     
come, wars!                             	venīte, bella!         
he was in the wars                      	is fuerat bellīs       
the air guides them                     	āēr dūcit ea           
it is the air's                         	id est āeris           
he guides them to the air               	is dūcit ea āerī       
