be-momentarily			singular	singular	singular	plural	plural	plural	relative	autonomous
be-momentarily			first	second	third	first	second	third	relative	autonomous
be-momentarily	indicative	presentindependent affirmative	táim;  tá mé	tá tú;  táir†;  taoi†;  tánn tú†	tá sé, sí;  tánn sé, sí†	táimid;  tá muid	tá sibh;  táthaoi;  tánn sibh†	tá siad;  táid;  tádar;  tánn siad†	atá;  atáim (1st sg.);  atáir, ataoi (2nd sg.);  atáimid (1st pl.);  atáthaoi (2nd pl.);  atáid (3rd pl.);  atáthar (autonomous)	táthar
be-momentarily	indicative	present dependent	fuilim;  fuil mé	fuil tú;  fuilir†	fuil sé, sí	fuilimid;  fuil muid	fuil sibh	fuil siad;  fuilid	a bhfuil*; go bhfuil*†	fuiltear
be-momentarily	indicative	present negative‡	nílim;  níl mé	níl tú;  nílir†	níl sé, sí	nílimid;  níl muid	níl sibh	níl siad;  nílid	nach bhfuil; ná fuil†	níltear
be-momentarily	indicative	present habitual	bím	bíonn tú;  bír†	bíonn sé, sí;  bí sé, sí	bímid;  bíonn muid	bíonn sibh	bíonn siad;  bíd†	a bhíonn; a bhíonns†; a bhíos† /a mbíonn*; go mbíonn*†	bítear
be-momentarily	indicative	past habitual	bhínn / mbínn‡‡	bhíteá / mbíteá‡‡	bhíodh sé, sí / mbíodh sé, sí‡‡	bhímis; bhíodh muid / mbímis‡‡; mbíodh muid‡‡	bhíodh sibh / mbíodh sibh‡‡	bhídís; bhíodh siad / mbídís‡‡; mbíodh siad‡‡	a bhíodh /a mbíodh*; go mbíodh*†	bhítí / mbítí‡‡
be-momentarily	indicative	past independent	bhí mé;  bhíos	bhí tú;  bhís	bhí sé, sí	bhíomar;  bhí muid	bhí sibh;  bhíobhair	bhí siad;  bhíodar	a bhí	bhíothas
be-momentarily	indicative	past dependent	raibh mé;  rabhas	raibh tú;  rabhais	raibh sé, sí	rabhamar;  raibh muid	raibh sibh;  rabhabhair	raibh siad;  rabhadar	a raibh*; go raibh*†	rabhthas
be-momentarily	indicative	future	beidh mé;  bead	beidh tú;  beir†	beidh sé, sí	beimid;  beidh muid	beidh sibh	beidh siad;  beid†	a bheidh; a bheas† /a mbeidh*; go mbeidh*†	beifear
be-momentarily	conditional	conditional	bheinn / mbeinn‡‡	bheifeá / mbeifeá‡‡	bheadh sé, sí / mbeadh sé, sí‡‡	bheimis;  bheadh muid / mbeimis‡‡; mbeadh muid‡‡	bheadh sibh / mbeadh sibh‡‡	bheidís;  bheadh siad / mbeidís‡‡; mbeadh siad‡‡	a bheadh /a mbeadh*; go mbeadh*†	bheifí / mbeifí‡‡
be-momentarily	subjunctive	present	go raibh mé;  go rabhad†	go raibh tú;  go rabhair†	go raibh sé, sí	go rabhaimid;  go raibh muid	go raibh sibh	go raibh siad;  go rabhaid†	—	go rabhthar
be-momentarily	subjunctive	past	dá mbeinn	dá mbeifeá	dá mbeadh sé, sí	dá mbeimis;  beadh muid	dá mbeadh sibh	dá mbeidís;  beadh siad	—	dá mbeifí
be-momentarily	imperative	imperative	bím	bí	bíodh sé, sí	bímis	bígí;  bídh†	bídís	—	bítear
be-momentarily	verbal noun	verbal noun	bheith	bheith	bheith	bheith	bheith	bheith	bheith	bheith
climb			singular	singular	singular	plural	plural	plural	relative	autonomous
climb			first	second	third	first	second	third	relative	autonomous
climb	indicative	present	ardaím	ardaíonn tú;  ardaír†	ardaíonn sé, sí	ardaímid;  ardaíonn muid	ardaíonn sibh	ardaíonn siad;  ardaíd†	a ardaíonn; a ardaíos /a n-ardaíonn*; a n-ardaíos*	ardaítear
climb	indicative	past	d'ardaigh mé; d'ardaíos /ardaigh mé‡; ardaíos‡	d'ardaigh tú; d'ardaís /ardaigh tú‡; ardaís‡	d'ardaigh sé, sí /ardaigh sé, sí‡	d'ardaíomar; d'ardaigh muid /ardaíomar‡; ardaigh muid‡	d'ardaigh sibh; d'ardaíobhair /ardaigh sibh‡; ardaíobhair‡	d'ardaigh siad; d'ardaíodar /ardaigh siad‡; ardaíodar‡	a d'ardaigh /ar ardaigh*	ardaíodh;hardaíodh†
climb	indicative	past habitual	d'ardaínn /ardaínn‡; n-ardaínn‡‡	d'ardaíteá /ardaíteá‡; n-ardaíteá‡‡	d'ardaíodh sé, sí /ardaíodh sé, sí‡; n-ardaíodh sé, sí‡‡	d'ardaímis; d'ardaíodh muid /ardaímis‡; ardaíodh muid‡; n-ardaímis‡‡; n-ardaíodh muid‡‡	d'ardaíodh sibh /ardaíodh sibh‡; n-ardaíodh sibh‡‡	d'ardaídís; d'ardaíodh siad /ardaídís; ardaíodh siad‡; n-ardaídís‡‡; n-ardaíodh siad‡‡	a d'ardaíodh /a n-ardaíodh*	d'ardaítí /ardaítí‡; n-ardaítí‡‡
climb	indicative	future	ardóidh mé;  ardód;  ardóchaidh mé†	ardóidh tú;  ardóir†;  ardóchaidh tú†	ardóidh sé, sí;  ardóchaidh sé, sí†	ardóimid;  ardóidh muid;  ardóchaimid†;  ardóchaidh muid†	ardóidh sibh;  ardóchaidh sibh†	ardóidh siad;  ardóid†;  ardóchaidh siad†	a ardóidh; a ardós; a ardóchaidh†; a ardóchas† /a n-ardóidh*; a n-ardós*; a n-ardóchaidh*†; a n-ardóchas*†	ardófar;  ardóchar†
climb	conditional	conditional	d'ardóinn; d'ardóchainn† / ardóinn‡; ardóchainn†‡; n-ardóinn‡‡; n-ardóchainn†‡‡	d'ardófá; d'ardóchthá† / ardófá‡; ardóchthá†‡; n-ardófá‡‡; n-ardóchthá†‡‡	d'ardódh sé, sí; d'ardóchadh sé, sí† / ardódh sé, sí‡; ardóchadh sé, sí†‡; n-ardódh sé, sí‡‡; n-ardóchadh sé, sí†‡‡	d'ardóimis; d'ardódh muid; d'ardóchaimis†; d'ardóchadh muid† / ardóimis‡; ardódh muid‡; ardóchaimis†‡; ardóchadh muid†‡; n-ardóimis‡‡; n-ardódh muid‡‡; n-ardóchaimis†‡‡; n-ardóchadh muid†‡‡	d'ardódh sibh; d'ardóchadh sibh† / ardódh sibh‡; ardóchadh sibh†‡; n-ardódh sibh‡‡; n-ardóchadh sibh†‡‡	d'ardóidís; d'ardódh siad; d'ardóchadh siad† / ardóidís‡; ardódh siad‡; ardóchadh siad†‡; n-ardóidís‡‡; n-ardódh siad‡‡; n-ardóchadh siad†‡‡	a d'ardódh; a d'ardóchadh† /a n-ardódh*; a n-ardóchadh*†	d'ardófaí; d'ardóchthaí† / ardófaí‡; ardóchthaí†‡; n-ardófaí‡‡; n-ardóchthaí†‡‡
climb	subjunctive	present	go n-ardaí mé;  go n-ardaíod†	go n-ardaí tú;  go n-ardaír†	go n-ardaí sé, sí	go n-ardaímid;  go n-ardaí muid	go n-ardaí sibh	go n-ardaí siad;  go n-ardaíd†	—	go n-ardaítear
climb	subjunctive	past	dá n-ardaínn	dá n-ardaíteá	dá n-ardaíodh sé, sí	dá n-ardaímis;  dá n-ardaíodh muid	dá n-ardaíodh sibh	dá n-ardaídís;  dá n-ardaíodh siad	—	dá n-ardaítí
climb	imperative	imperative	ardaím	ardaigh	ardaíodh sé, sí	ardaímis	ardaígí;ardaídh†	ardaídís	—	ardaítear
climb	verbal noun	verbal noun	ardú	ardú	ardú	ardú	ardú	ardú	ardú	ardú
climb	past participle	past participle	ardaithe	ardaithe	ardaithe	ardaithe	ardaithe	ardaithe	ardaithe	ardaithe
cool			singular	singular	singular	plural	plural	plural	relative	autonomous
cool			first	second	third	first	second	third	relative	autonomous
cool	indicative	present	fuaraím	fuaraíonn tú;  fuaraír†	fuaraíonn sé, sí	fuaraímid;  fuaraíonn muid	fuaraíonn sibh	fuaraíonn siad;  fuaraíd†	a fhuaraíonn; a fhuaraíos /a bhfuaraíonn*; a bhfuaraíos*	fuaraítear
cool	indicative	past	d'fhuaraigh mé; d'fhuaraíos /fhuaraigh mé‡; fhuaraíos‡	d'fhuaraigh tú; d'fhuaraís /fhuaraigh tú‡; fhuaraís‡	d'fhuaraigh sé, sí /fhuaraigh sé, sí‡	d'fhuaraíomar; d'fhuaraigh muid /fhuaraíomar‡; fhuaraigh muid‡	d'fhuaraigh sibh; d'fhuaraíobhair /fhuaraigh sibh‡; fhuaraíobhair‡	d'fhuaraigh siad; d'fhuaraíodar /fhuaraigh siad‡; fhuaraíodar‡	a d'fhuaraigh /ar fhuaraigh*	fuaraíodh
cool	indicative	past habitual	d'fhuaraínn /fhuaraínn‡; bhfuaraínn‡‡	d'fhuaraíteá /fhuaraíteá‡; bhfuaraíteá‡‡	d'fhuaraíodh sé, sí /fhuaraíodh sé, sí‡; bhfuaraíodh sé, sí‡‡	d'fhuaraímis; d'fhuaraíodh muid /fhuaraímis‡; fhuaraíodh muid‡; bhfuaraímis‡‡; bhfuaraíodh muid‡‡	d'fhuaraíodh sibh /fhuaraíodh sibh‡; bhfuaraíodh sibh‡‡	d'fhuaraídís; d'fhuaraíodh siad /fhuaraídís; fhuaraíodh siad‡; bhfuaraídís‡‡; bhfuaraíodh siad‡‡	a d'fhuaraíodh /a bhfuaraíodh*	d'fhuaraítí /fhuaraítí‡; bhfuaraítí‡‡
cool	indicative	future	fuaróidh mé;  fuaród;  fuaróchaidh mé†	fuaróidh tú;  fuaróir†;  fuaróchaidh tú†	fuaróidh sé, sí;  fuaróchaidh sé, sí†	fuaróimid;  fuaróidh muid;  fuaróchaimid†;  fuaróchaidh muid†	fuaróidh sibh;  fuaróchaidh sibh†	fuaróidh siad;  fuaróid†;  fuaróchaidh siad†	a fhuaróidh; a fhuarós; a fhuaróchaidh†; a fhuaróchas† /a bhfuaróidh*; a bhfuarós*; a bhfuaróchaidh*†; a bhfuaróchas*†	fuarófar;  fuaróchar†
cool	conditional	conditional	d'fhuaróinn; d'fhuaróchainn† / fhuaróinn‡; fhuaróchainn†‡; bhfuaróinn‡‡; bhfuaróchainn†‡‡	d'fhuarófá; d'fhuaróchthá† / fhuarófá‡; fhuaróchthá†‡; bhfuarófá‡‡; bhfuaróchthá†‡‡	d'fhuaródh sé, sí; d'fhuaróchadh sé, sí† / fhuaródh sé, sí‡; fhuaróchadh sé, sí†‡; bhfuaródh sé, sí‡‡; bhfuaróchadh sé, sí†‡‡	d'fhuaróimis; d'fhuaródh muid; d'fhuaróchaimis†; d'fhuaróchadh muid† / fhuaróimis‡; fhuaródh muid‡; fhuaróchaimis†‡; fhuaróchadh muid†‡; bhfuaróimis‡‡; bhfuaródh muid‡‡; bhfuaróchaimis†‡‡; bhfuaróchadh muid†‡‡	d'fhuaródh sibh; d'fhuaróchadh sibh† / fhuaródh sibh‡; fhuaróchadh sibh†‡; bhfuaródh sibh‡‡; bhfuaróchadh sibh†‡‡	d'fhuaróidís; d'fhuaródh siad; d'fhuaróchadh siad† / fhuaróidís‡; fhuaródh siad‡; fhuaróchadh siad†‡; bhfuaróidís‡‡; bhfuaródh siad‡‡; bhfuaróchadh siad†‡‡	a d'fhuaródh; a d'fhuaróchadh† /a bhfuaródh*; a bhfuaróchadh*†	d'fhuarófaí; d'fhuaróchthaí† / fhuarófaí‡; fhuaróchthaí†‡; bhfuarófaí‡‡; bhfuaróchthaí†‡‡
cool	subjunctive	present	go bhfuaraí mé;  go bhfuaraíod†	go bhfuaraí tú;  go bhfuaraír†	go bhfuaraí sé, sí	go bhfuaraímid;  go bhfuaraí muid	go bhfuaraí sibh	go bhfuaraí siad;  go bhfuaraíd†	—	go bhfuaraítear
cool	subjunctive	past	dá bhfuaraínn	dá bhfuaraíteá	dá bhfuaraíodh sé, sí	dá bhfuaraímis;  dá bhfuaraíodh muid	dá bhfuaraíodh sibh	dá bhfuaraídís;  dá bhfuaraíodh siad	—	dá bhfuaraítí
cool	imperative	imperative	fuaraím	fuaraigh	fuaraíodh sé, sí	fuaraímis	fuaraígí;fuaraídh†	fuaraídís	—	fuaraítear
cool	verbal noun	verbal noun	fuarú	fuarú	fuarú	fuarú	fuarú	fuarú	fuarú	fuarú
cool	past participle	past participle	fuaraithe	fuaraithe	fuaraithe	fuaraithe	fuaraithe	fuaraithe	fuaraithe	fuaraithe
direct			singular	singular	singular	plural	plural	plural	relative	autonomous
direct			first	second	third	first	second	third	relative	autonomous
direct	indicative	present	deachtaím	deachtaíonn tú;  deachtaír†	deachtaíonn sé, sí	deachtaímid;  deachtaíonn muid	deachtaíonn sibh	deachtaíonn siad;  deachtaíd†	a dheachtaíonn; a dheachtaíos /a ndeachtaíonn*; a ndeachtaíos*	deachtaítear
direct	indicative	past	dheachtaigh mé; dheachtaíos	dheachtaigh tú; dheachtaís	dheachtaigh sé, sí	dheachtaíomar; dheachtaigh muid	dheachtaigh sibh; dheachtaíobhair	dheachtaigh siad; dheachtaíodar	a dheachtaigh /ar dheachtaigh*	deachtaíodh
direct	indicative	past habitual	dheachtaínn / ndeachtaínn‡‡	dheachtaíteá / ndeachtaíteá‡‡	dheachtaíodh sé, sí / ndeachtaíodh sé, sí‡‡	dheachtaímis; dheachtaíodh muid / ndeachtaímis‡‡; ndeachtaíodh muid‡‡	dheachtaíodh sibh / ndeachtaíodh sibh‡‡	dheachtaídís; dheachtaíodh siad / ndeachtaídís‡‡; ndeachtaíodh siad‡‡	a dheachtaíodh /a ndeachtaíodh*	dheachtaítí / ndeachtaítí‡‡
direct	indicative	future	deachtóidh mé;  deachtód;  deachtóchaidh mé†	deachtóidh tú;  deachtóir†;  deachtóchaidh tú†	deachtóidh sé, sí;  deachtóchaidh sé, sí†	deachtóimid;  deachtóidh muid;  deachtóchaimid†;  deachtóchaidh muid†	deachtóidh sibh;  deachtóchaidh sibh†	deachtóidh siad;  deachtóid†;  deachtóchaidh siad†	a dheachtóidh; a dheachtós; a dheachtóchaidh†; a dheachtóchas† /a ndeachtóidh*; a ndeachtós*; a ndeachtóchaidh*†; a ndeachtóchas*†	deachtófar;  deachtóchar†
