a 	 interjection 	 hah 	 hah!
may 	 verb 	 sew 	 to sew
may 	 adjective 	 lucky 	 lucky
馬 	 noun 	 horse 	 horse
馬 	 adjective 	 excessive 	 excessive
馬 	 verb 	 don't 	 don't
馬 	 noun 	 tomb 	 tomb; grave
馬 	 noun 	 grave 	 tomb; grave
馬 	 noun 	 s:vi:Lục Vân Tiên /II 	 * year=1916|author=Nguyễn Đình Chiểu|authorlink=Nguyễn Đình Chiểu|title=Lục Vân Tiên |trans-title=Tale of Lục Vân Tiên|lines=921–922|text=tiểu đồng chẳng kịp hỏi han / nằm lăn bên mả khóc than bồi hồi|translation=Before the page has a chance to pay a visit
馬 	 noun 	 w:Lục Vân Tiên 	 * year=1916|author=Nguyễn Đình Chiểu|authorlink=Nguyễn Đình Chiểu|title=Lục Vân Tiên |trans-title=Tale of Lục Vân Tiên|lines=921–922|text=tiểu đồng chẳng kịp hỏi han / nằm lăn bên mả khóc than bồi hồi|translation=Before the page has a chance to pay a visit
馬 	 verb 	 open 	 to open
馬 	 noun 	 horse 	 |horse
y 	 noun 	 she 	 he; him; she; her
y 	 noun 	 he 	 he; him; she; her
y 	 noun 	 him 	 he; him; she; her
y 	 noun 	 her 	 he; him; she; her
y 	 noun 	 criminal 	 he/him, that jerk/prick/thug/criminal
y 	 noun 	 prick 	 he/him, that jerk/prick/thug/criminal
y 	 noun 	 thug 	 he/him, that jerk/prick/thug/criminal
y 	 noun 	 jerk 	 he/him, that jerk/prick/thug/criminal
y 	 adverb 	 exactly 	 exactly; precisely
y 	 adverb 	 precisely 	 exactly; precisely
the 	 noun 	 gauze 	 a kind of silk gauze
the 	 noun 	 silk 	 a kind of silk gauze
the 	 adjective 	 strong 	 having a strong and fragrant smell
the 	 adjective 	 fragrant 	 having a strong and fragrant smell
van 	 verb 	 beg 	 to beg, to implore
van 	 verb 	 implore 	 to beg, to implore
van 	 noun 	 valve 	 valve
van 	 noun 	 waltz 	 waltz
in 	 verb 	 print 	 to print
in 	 adjective 	 fitted 	 perfectly fitted
in 	 adjective 	 perfectly 	 perfectly fitted
can 	 noun 	 celestial stem 	 |celestial stem
can 	 verb 	 concern 	 to concern; to apply to
can 	 verb 	 apply 	 to concern; to apply to
can 	 verb 	 implicated 	 to be involved ; to be implicated
can 	 verb 	 involved 	 to be involved ; to be implicated
can 	 verb 	 dissuade 	 to dissuade ; to intervene
can 	 verb 	 intervene 	 to dissuade ; to intervene
can 	 noun 	 walking stick 	 walking stick
can 	 verb 	 together 	 to join; to unite; to sew together
can 	 verb 	 sew 	 to join; to unite; to sew together
can 	 verb 	 join 	 to join; to unite; to sew together
can 	 verb 	 unite 	 to join; to unite; to sew together
can 	 verb 	 trace 	 to trace , to do tracing
can 	 verb 	 tracing 	 to trace , to do tracing
o 	 noun 	 father 	 paternal aunt, father's sister
o 	 noun 	 sister 	 paternal aunt, father's sister
o 	 noun 	 paternal aunt 	 paternal aunt, father's sister
bit 	 noun 	 bit 	 bit
sun 	 verb 	 shrink 	 To shrink
sun 	 verb 	 pull together 	 To pull together
man 	 numeral 	 myriad 	 cardinal numbers  ten thousand; myriad
man 	 numeral 	 ten thousand 	 cardinal numbers  ten thousand; myriad
be 	 noun 	 flask 	 wine flask
be 	 noun 	 wine 	 wine flask
be 	 adjective 	 beige 	 beige
be 	 verb 	 embankment 	 To build a mud embankment with one's hands
be 	 verb 	 sack 	 To prop up the lip of a sack while topping off the sack, to ensure a more generous quantity
be 	 verb 	 top off 	 To prop up the lip of a sack while topping off the sack, to ensure a more generous quantity
be 	 verb 	 prop 	 To prop up the lip of a sack while topping off the sack, to ensure a more generous quantity
be 	 verb 	 hug 	 To hug a boundary or riverbank
be 	 interjection 	 bleat 	 bleat; baa
be 	 interjection 	 baa 	 bleat; baa
tao 	 pronoun 	 me 	 /me
say 	 verb 	 drunk 	 to be drunk; to be inebriated
say 	 verb 	 inebriated 	 to be drunk; to be inebriated
say 	 verb 	 sick 	 to be  sick
say 	 verb 	 enamoured 	 to be enamoured of; to take a deep interest in
say 	 verb 	 deep 	 to be enamoured of; to take a deep interest in
say 	 verb 	 interest 	 to be enamoured of; to take a deep interest in
say 	 adjective 	 deep 	 deep of sleep; fast asleep
say 	 adjective 	 fast asleep 	 deep of sleep; fast asleep
say 	 adjective 	 sleep 	 deep of sleep; fast asleep
mi 	 noun 	 eyelash 	 eyelashes
mi 	 pronoun 	 you 	 you
mi 	 pronoun 	 you 	 you
mi 	 noun 	 English 	 mi
mi 	 verb 	 kiss 	 to kiss
eo 	 noun 	 waist 	 waist
ao 	 noun 	 pond 	 pond
ao 	 verb 	 approximately 	 to measure roughly, to measure approximately
ao 	 verb 	 measure 	 to measure roughly, to measure approximately
ao 	 verb 	 roughly 	 to measure roughly, to measure approximately
an 	 adjective 	 secure 	 safe, secure
an 	 adjective 	 safe 	 safe, secure
to 	 adjective 	 large 	 big, large
to 	 adjective 	 big 	 big, large
to 	 adjective 	 great 	 great, considerable
to 	 adjective 	 considerable 	 great, considerable
to 	 adjective 	 loud 	 loud
qua 	 adjective 	 lastAdjective 	 last
qua 	 verb 	 gone 	 To be gone
qua 	 verb 	 crossVerb 	 To cross
qua 	 pronoun 	 me 	 me
son 	 adjective 	 unshakable 	 unshakable; firm
son 	 adjective 	 firm 	 unshakable; firm
son 	 noun 	 lipstick 	 lipstick
non 	 adjective 	 young 	 young, tender, green
non 	 adjective 	 green 	 young, tender, green
