pronoun 	 τίς 	 which 	 which 	  	 which; who
pronoun 	 ὁ 	 he 	 he 	 that 	 he
preposition 	 ἐν 	 in 	 in 	  	 in; with; by; during; on
conjunction 	 τῷ 	  	  	 then, thereupon 	 
conjunction 	 ὡς 	 for 	 for 	 introducing a clause expressing a fact: that 	 for; because; how; that; as; as if; so
preposition 	 εἰς 	 into 	 into 	  	 into; in; to
conjunction 	 τε 	 and 	 and 	  	 and
particle 	 τε 	  	  	  	 
pronoun 	 αὐτός 	 self 	 self 	 self 	 himself; he
conjunction 	 ὅτι 	 for 	 for 	 expressing a fact: that 	 for; that; because
particle 	 οὐ 	  	  	 not 	 
conjunction 	 εἰ 	 if 	 if 	 if 	 if; whether
pronoun 	 οὗτος 	 he 	 he 	  	 he; this
preposition 	 ἐκ 	 since 	 since 	  	 since; out of
pronoun 	 τις 	 something 	 something 	 someone, anyone, a certain one 	 something; somebody; someone
pronoun 	 ὅς 	 he 	 he 	 who, which, that 	 he; that; who
pronoun 	 σύ 	 thou 	 thou 	 second person singular personal pronoun: you 	 thou
preposition 	 ἐξ 	 out 	 out 	  	 out; out of
conjunction 	 ἵνα 	 where 	 where 	  	 where; that; in order that; so
particle 	 γε 	  	  	 at least, at any rate, only 	 
pronoun 	 ἡμεῖς 	 we 	 we 	  	 we
pronoun 	 ἐγώ 	 i 	 i 	  	 i
determiner 	 πᾶς 	 all 	 all 	 all, every, each 	 all
conjunction 	 ὅταν 	 whenever 	 whenever 	 whenever, when 	 whenever; when
preposition 	 ἐς 	 into 	 into 	  	 into
conjunction 	 ἄρα 	  	  	 so, then, therefore, consequently 	 
determiner 	 οὗτος 	 that 	 that 	 this 	 that; this
determiner 	 ὅς 	 his 	 his 	  	 his; her
interjection 	 ὦ 	  	  	 expresses surprise, joy, or pain: oh!; ah! 	 
preposition 	 ἅμα 	  	  	  	 
pronoun 	 τινα 	  	  	  	 
conjunction 	 εἴ 	  	  	  	 
conjunction 	 ἄν 	 if 	 if 	  	 if; as if
particle 	 ἄν 	  	  	 in that case and future tense 	 
conjunction 	 ὅπως 	 as 	 as 	 that, in order that 	 as; how
conjunction 	 ἕως 	 until 	 until 	 until, till 	 until
particle 	 ἕως 	  	  	  	 
conjunction 	 ἤτοι 	 either 	 either 	 either 	 either
pronoun 	 ἐκεῖνος 	 he 	 he 	 that 	 he
conjunction 	 εἴτε 	  	  	 either...or, whether..or 	 
pronoun 	 τινες 	  	  	  	 
particle 	 τοι 	  	  	  	 
conjunction 	 οὐκοῦν 	  	  	 therefore 	 
preposition 	 ἄνευ 	 without 	 without 	  	 without; besides
determiner 	 οἷος 	 such 	 such 	  	 such
determiner 	 ἕκαστος 	 every 	 every 	 each, every 	 every; each
preposition 	 ἔν 	  	  	  	 
conjunction 	 ἦ 	  	  	 or 	 
conjunction 	 ἤ 	 or 	 or 	 or 	 or; as
pronoun 	 τινων 	  	  	  	 
preposition 	 περ 	  	  	  	 
particle 	 περ 	  	  	  	 
pronoun 	 τινῶν 	  	  	  	 
particle 	 ἆρα 	  	  	  	 
pronoun 	 αὑτοῦ 	  	  	  	 
conjunction 	 ἄρ 	  	  	  	 
pronoun 	 ὅδε 	 he 	 he 	 this 	 he
particle 	 κε 	  	  	  	 
interjection 	 ἄξιος 	  	  	 Acclamation confirming the election of a Christian bishop or patriarch,  "Worthy!" from c. 4th century 	 
preposition 	 ἔνι 	  	  	  	 
particle 	 κεν 	  	  	  	 
particle 	 πω 	  	  	 up to this time, yet negative polarity item 	 
pronoun 	 τῐς 	  	  	  	 
conjunction 	 ἤν 	 if 	 if 	  	 if
conjunction 	 ῥα 	  	  	  	 
preposition 	 ἄπο 	  	  	  	 
interjection 	 αἴ 	  	  	  	 
pronoun 	 οὐδείς 	 no one 	 no one 	 no one, nobody, none, nothing, no 	 no one
pronoun 	 κεῖνος 	  	  	  	 
