SortOrder,Egyptian,Transliteration,Translation,SignCodes,GroupWritingScore,Error
1,𓄿,ꜣ,(not translated),G1,0,0
2,𓄿,ꜣ,"vulture, bird (in general)",G1,0,0
3,𓄿𓏤,ꜣ,"vulture, bird (in general)",G1-Z1,0,0
4,𓄿𓂾,ꜣ,tread,G1-D56,0,0
5,𓄿𓏏𓄇,ꜣt,striking power,G1-X1-F9,0,0
6,𓄿𓄇𓏏,ꜣt,striking power,G1-F9-X1,0,0
7,𓄿𓏏𓇳𓏤,ꜣt,striking power,G1-X1-N5-Z1,0,0
8,𓄿𓏏𓇳,ꜣt,"moment, instant, time (in general)",G1-X1-N5,0,0
9,𓄿𓏏𓏯𓇳,ꜣt,"moment, instant, time",G1-X1-Z5-N5,0,0
10,𓄿𓏏𓇳𓏤,ꜣt,"moment, instant, time (in general)",G1-X1-N5-Z1,0,0
11,𓄿𓏏𓄇,ꜣt,"moment, instant, time (in general)",G1-X1-F9,0,0
12,𓄇𓏏𓇳,ꜣt,"moment, time",F9-X1-N5,0,0
13,𓄿𓏏𓄇𓇳,ꜣt,"moment, instant, time (in general)",G1-X1-F9-N5,0,0
14,𓄁𓏏𓇳,ꜣt,"moment, instant, time (in general)",F3-X1-N5,0,0
15,𓇋𓄿𓏏𓄇𓇳,ꜣt,"moment, instant, time (in general)",M17-G1-X1-F9-N5,0,0
16,𓄿𓄿𓈇𓏤,ꜣꜣ,mound of ruins,G1-G1-N23-Z1,0,0
17,𓄿𓄿𓏏𓄿𓂡𓀐,ꜣꜣtꜣ,Nubian chieftain (?),G1-G1-X1-G1-D40-A14,0,0
18,𓄿𓇋𓏲𓊡,ꜣjw,windy (?),G1-M17-Z7-P5,0,0
19,𓇯𓊪𓏏𓅓𓄿𓇋𓏲𓊡,pt m ꜣjw,a windy sky  (?),N1-Q3-X1-G17-G1-M17-Z7-P5,0,0
20,𓄿𓇋𓋴𓐎,ꜣjs,viscera,G1-M17-S29-Aa2,0,0
21,𓄿𓋴𓐎,ꜣjs,viscera,G1-S29-Aa2,0,0
22,𓇋𓋴𓐎,ꜣjs,viscera,M17-S29-Aa2,0,0
23,𓄿𓇋𓋴𓐎𓈖𓆓𓈖𓈖𓏏𓁶,ꜣjs n ḏnnt,brain (viscera of the skull),G1-M17-S29-Aa2-N35-I10-N35-N35-X1-D1,0,0
24,𓄿𓏏𓀜,ꜣyt,blanch,G1-X1-A24,0,0
25,𓄿𓇋𓇋𓏏𓅪,ꜣyt,blanch,G1-M17-M17-X1-G37,0,0
28,𓄿𓂝𓂝𓂝,ꜣꜥꜥ,"to injure, to harm",G1-D36-D36-D36,0,0
29,𓄿𓂝𓂝𓁻,ꜣꜥꜥ,"to injure, to harm",G1-D36-D36-D6,0,0
30,𓄿𓂝𓂝𓏲𓏛𓀜,ꜣꜥꜥ,to coat (with plaster),G1-D36-D36-Z7-Y1-A24,0,0
31,𓄿𓂝𓂝𓈇𓀜,ꜣꜥꜥ,to smooth,G1-D36-D36-N23-A24,0,0
32,𓄿𓂝𓂝𓏏𓈇𓏤,ꜣꜥꜥ,to patch,G1-D36-D36-X1-N23-Z1,0,0
33,𓄿𓂝𓂝𓏲𓏭𓁻,ꜣꜥꜥ,to sleep,G1-D36-D36-Z7-Z4-D6,0,0
34,𓄿𓂝𓂝𓏲𓏭𓄑,ꜣꜥꜥ,"to gibber, to speak (foreign language)",G1-D36-D36-Z7-Z4-F18,0,0
35,𓄿𓂝𓂝𓏲𓏭𓍘𓇋𓀁,ꜣꜥꜥ,"to gibber, to speak (foreign language)",G1-D36-D36-Z7-Z4-U33-M17-A2,0,0
36,𓄑𓀁,ꜣꜥꜥ,foreigner,F18-A2,0,0
37,𓌙𓄑𓀁𓀀,ꜣꜥꜥ,foreigner,T14-F18-A2-A1,0,0
38,𓄿𓂝𓂝𓄑𓀁,ꜣꜥꜥ,foreigner,G1-D36-D36-F18-A2,0,0
