pie 	 adverb 	 piously 	 piously
nu 	 interjection 	 well 	 well
bone 	 adverb 	 OK 	 well, OK
bone 	 adverb 	 well 	 well, OK
parole 	 adverb 	 verbally 	 verbally
hundo 	 noun 	 dog 	 dog
hundo 	 noun 	 canid 	 |canid
hundo 	 noun 	 Canis 	 |any member of the genus Canis
hundo 	 noun 	 watchdog 	 |watchdog
hundo 	 noun 	 housedog 	 |housedog
hundo 	 noun 	 lap dog 	 |lap dog
hundo 	 noun 	 domestic 	 |domestic dog
hundo 	 noun 	 cur 	 |ugly dog, cur
hundo 	 noun 	 large 	 |large  dog
hundo 	 noun 	 doggy 	 |doggy, little  dog
hundo 	 noun 	 little 	 |doggy, little  dog
hundo 	 noun 	 male 	 |male dog neologism
hundo 	 noun 	 neologism 	 |male dog neologism
hundo 	 noun 	 puppy 	 |puppy
hundo 	 noun 	 bitch 	 |female dog, bitch, she-dog
hundo 	 noun 	 she-dog 	 |female dog, bitch, she-dog
hundo 	 noun 	 wild 	 |wild dog
hundo 	 noun 	 he-dog 	 |male dog, dog , he-dog
hundo 	 noun 	 meat 	 |dog meat
hundo 	 noun 	 pack 	 |pack of dogs
sabato 	 noun 	 Saturday 	 Saturday
sabato 	 noun 	 wiccanos 	 Reunión de brujas wiccanos
ci 	 pronoun 	 thou 	 thou, you second-person informal singular pronoun
ci 	 pronoun 	 you 	 thou, you second-person informal singular pronoun
time 	 adverb 	 fearfully 	 fearfully
angla 	 adjective 	 English 	 English
angla 	 adjective 	 British 	 t=British
mi 	 pronoun 	 me 	 the one who is speaking, me, myself
mi 	 pronoun 	 myself 	 the one who is speaking, me, myself
ami 	 verb 	 love 	 to love
fero 	 noun 	 iron 	 the chemical element iron
nomo 	 noun 	 name 	 name
ĝenerala 	 adjective 	 general 	 general
ĝenerala 	 adjective 	 generic 	 generic
ĥoro 	 noun 	 choir 	 choir, chorus
ĥoro 	 noun 	 chorus 	 choir, chorus
ŝati 	 verb 	 like 	 to like, appreciate
ŝati 	 verb 	 appreciate 	 to like, appreciate
banko 	 noun 	 bank 	 bank
hebrea 	 adjective 	 Hebrew 	 Hebrew
blue 	 adverb 	 bluely 	 bluely 00F
magenta 	 adjective 	 English 	 magenta
tempo 	 noun 	 time 	 time
tempo 	 noun 	 tense 	 tense
nature 	 adverb 	 naturally 	 naturally
for 	 adverb 	 gone 	 away, far, gone
for 	 adverb 	 away 	 away, far, gone
for 	 adverb 	 far 	 away, far, gone
zebra 	 adjective 	 hippotigrine 	 zebrine, hippotigrine
zebra 	 adjective 	 zebrine 	 zebrine, hippotigrine
zebra 	 adjective 	 equid 	 |equid
abandono 	 noun 	 relinquishment 	 abandonment, relinquishment
abandono 	 noun 	 abandonment 	 abandonment, relinquishment
abandono 	 noun 	 fordono 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 forlaso 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 diboĉeco 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 diboĉado 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 dezerteco 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 delaso 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 senafekteco 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 translaso 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 forlasiteco 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 cedo 	 abandonment cedo, forlaso, diboĉeco, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
abandono 	 noun 	 rezigno 	 relinquishment rezigno
angle 	 adverb 	 English 	 in the English language
angle 	 adverb 	 English 	 in the manner of an English person
male 	 adverb 	 on the contrary 	 on the contrary
male 	 adverb 	 in 	 opposingly; in opposition
male 	 adverb 	 opposingly 	 opposingly; in opposition
male 	 adverb 	 opposition 	 opposingly; in opposition
vertebra 	 adjective 	 vertebrate 	 vertebrate
vertebra 	 adjective 	 chordate 	 ĥordohava, gloss=chordate
