pronoun 	 jag 	 i 	  	 me; i
pronoun 	 det 	 there; that; it 	 It; third-person singular, referring to nouns of neuter gender. Nominative, accusative or dative 	 it; that; there; that one
pronoun 	 du 	 you 	 you familiar sg 	 thou; you
conjunction 	 att 	 that 	 that 	 that
particle 	 att 	 to 	 Used to indicate the infinitive form of a verb; compare English to 	 to
pronoun 	 en 	 one; you 	 one; object form of man 	 one; you
interjection 	 och 	 so 	 so, so what 	 so what; so
conjunction 	 och 	 and 	 and; used to connect two homogeneous  words or phrases 	 and
pronoun 	 vi 	 we 	 we 	 we; ourselves
preposition 	 på 	 in 	  	 at; of; about; in; for; on
preposition 	 i 	 in 	  	 at; of; in; inside; to; for
pronoun 	 i 	  	 you second-person plural nominative 	 
conjunction 	 för 	  	 because 	 
preposition 	 för 	 to; at; for 	  	 toward; at; to; for; in favor of
pronoun 	 han 	 he 	 he, the third person singular, masculine, nominative case 	 he
preposition 	 med 	 in 	  	 by; with; to; in
determiner 	 var 	 every 	 every 	 every
conjunction 	 som 	 as 	 as, like; similar to 	 as
pronoun 	 som 	 who; what; that 	 who, which, that 	 what; that; which; whom; who
pronoun 	 vad 	 what 	 what 	 what
conjunction 	 om 	 if 	 if 	 if; whether
particle 	 om 	  	 specifies that a verb is done again, compare English "re-&quot 	 
preposition 	 om 	 in 	  	 toward; of; about; over; in; on
conjunction 	 var 	 where 	 where; the situation in which 	 where
pronoun 	 de 	 they 	 they 	 they; that one
pronoun 	 dig 	 you 	 you objective case, singular 	 you
conjunction 	 så 	 so 	 so, that 	 so; so that
pronoun 	 så 	  	 so, that 	 
pronoun 	 den 	 it 	 it 	 it; that; that one
preposition 	 till 	 to 	  	 toward; into; to
conjunction 	 men 	 but 	 but; introducing a clause that contrasts with the preceding clause, sentence or common belief 	 yet; but; although
pronoun 	 ni 	 you 	 you 	 y'all; you
preposition 	 av 	 off; on; by 	  	 of; off; by; for; on
pronoun 	 hon 	 she 	 she; the third-person, singular, feminine pronoun in the nominative case 	 she
pronoun 	 ja 	  	  	 
pronoun 	 min 	 my 	 my 	 mine
pronoun 	 honom 	  	 him; object form of han 	 
determiner 	 din 	 your; you 	 your, yours; of one thing in the common gender 	 you; thy; your; thine
conjunction 	 då 	 when; as 	 when; at the same point in time as 	 as; when; since
interjection 	 ha 	 ha 	 ha! same as the English 	 ha
pronoun 	 er 	 you 	 you 	 yours; you
pronoun 	 man 	 they; one; you 	 one, they; people in general 	 they; one; you
interjection 	 ut 	  	  	 
pronoun 	 oss 	 us 	 us 	 us
determiner 	 ingen 	 no 	 no 	 no
pronoun 	 ingen 	 none 	 no one, nobody, none 	 none; no one
determiner 	 all 	 all 	  	 all
interjection 	 okej 	 ok 	 okay 	 all right; ok
conjunction 	 eller 	 or 	 or 	 either; nor; or
preposition 	 från 	 off; from 	  	 off; from
pronoun 	 alla 	 everyone 	 everyone 	 everyone; everything; everybody
determiner 	 allt 	 all 	  	 all
pronoun 	 allt 	 everything 	 everything, all 	 everything
pronoun 	 sig 	 himself 	 reflexive case of han, hon, den, det, de or man; compare himself, herself, itself, themselves, oneself 	 himself; oneself; herself
pronoun 	 henne 	 her 	 her; object form of hon 	 her
interjection 	 tack 	 thank you 	  	 thank you; thanks
pronoun 	 någon 	 something 	 anybody, somebody, anyone, someone 	 someone; something; somebody; anyone
pronoun 	 din 	 yours 	  	 yours; thine
pronoun 	 annan 	  	 other 	 
determiner 	 nåt 	  	  	 
pronoun 	 nåt 	  	  	 
pronoun 	 vem 	 who 	 who, whom 	 whom; who
interjection 	 hej 	 hi, hello 	 hi, hello 	 hi; goodbye; hello; cheers; bye
pronoun 	 mitt 	  	 my, mine 	 
conjunction 	 än 	  	 than; in comparisons, states a relationship 	 
determiner 	 inget 	 no 	  	 no
pronoun 	 inget 	 nothing 	  	 nothing; none
pronoun 	 sin 	 one's 	 his , her , its , their . Reflexive possessive third person pronoun 	 one's; hers
preposition 	 efter 	 by; for 	  	 following; after; as to; behind; by; for
pronoun 	 hans 	 his 	 personal pronoun his 	 his
preposition 	 över 	 over; via 	  	 across; above; over; via
determiner 	 nån 	  	  	 
pronoun 	 nån 	  	  	 
pronoun 	 mina 	  	 Plural of min 	 
determiner 	 någon 	 any 	 any 	 some
preposition 	 åt 	 to; for 	  	 for; to
interjection 	 fan 	 damn 	 damn 	 damn
preposition 	 mot 	 with; to; at 	  	 at; against; toward; with; versus; to; for
determiner 	 detta 	  	  	 
pronoun 	 detta 	 this; that 	  	 this; that
preposition 	 vid 	 about; off; at 	  	 toward; at; about; off; by
pronoun 	 vår 	 ours 	 our; belonging to us 	 ours
conjunction 	 utan 	 but 	 but 	 but
preposition 	 utan 	 without; off 	  	 without; off
interjection 	 va 	 pardon; eh 	 huh? what? A request that the speaker repeat his last statement. vad 	 eh; pardon
pronoun 	 mången 	  	 many a 	 
conjunction 	 innan 	 before 	 before 	 before
preposition 	 innan 	 by 	  	 prior to; before; by
pronoun 	 hennes 	 hers 	 hers 	 hers
preposition 	 under 	 under; in 	  	 below; during; under; in; amidst; on
interjection 	 förlåt 	 pardon; sorry 	 sorry, excuse me 	 pardon; sorry
interjection 	 hjälp 	 help 	 help! 	 help
determiner 	 denna 	 this 	 this, that 	 this
pronoun 	 dom 	 they 	  	 they
pronoun 	 denna 	 this; that 	 this one, this , that one, that 	 this; that
pronoun 	 ens 	 one's 	  	 one's
pronoun 	 samma 	 same 	 same 	 same
pronoun 	 enda 	  	 only , sole; also in the masculine form ende 	 
pronoun 	 våra 	 ours 	 our, ours, plural of vår 	 ours
preposition 	 ur 	 off; from 	  	 off; from
interjection 	 hallå 	 hi; hello 	 hello; hi 	 hi; hello
interjection 	 åh 	 oh 	 oh 	 ooh; oh; aah
interjection 	 helvete 	 bugger 	  	 bugger; holy shit
pronoun 	 egen 	  	 own, of my own ) 	 
conjunction 	 sedan 	 ever since 	 since, from the time that 	 ever since; since
preposition 	 sedan 	 since 	  	 since
pronoun 	 deras 	 theirs 	 their; belonging to them 	 theirs
interjection 	 jo 	  	 yes; used as a disagreement to a negative statement or a negatively phrased question 	 
determiner 	 varje 	 every 	 each; every 	 each; every
pronoun 	 ingenting 	 nothing 	 nothing 	 nothing
