chapter_id	entry_id	meaning	Hawaiian_Phonemic	comment
1	100	world	ao; honua	
1	210	earth, land	ao; honua; ʔāina	
1	212	earth=ground, soil	lepo; lepo hānai; ʔeka; one	
1	213	dust	ehu lepo; kuehu; ehu; ʔehu; uahi; lelehuna; lepo ʔaeʔae	
1	214	mud	kele-kele; pālolo; lepo ʔūkele	
1	215	sand	one; one-one	'Sandbar' is puʔe-one.; 'Sandbar' is puʔe-one.
1	220	mountain, hill	mauna; kuahiwi; puʔu	
1	222	cliff, precipice	pali; pali-paʔa	
1	230	plain, field	ʔāina pālaha-laha; kīhāpai; kula; ʔāina pāpū	
1	240	valley	awa-awa	
1	250	island	moku; moku-puni; moku-ʔāina; ʔailana	
1	260	mainland	ʔāina makua; ʔāina nui; loko	
1	270	shore	kahakai; kahaone; papa kea; kapa kai; ʔae kai	
1	280	cave	ana; lua; pao	
1	310	water	wai	Also used for 'juice'.'Fluid' is wai, heheʔe; ʔae.
1	320	sea	kai; moana	
1	323	rough (of sea)	piki-pikiʔō; ʔālo-ʔaloʔa	
1	324	foam	huʔa; ʔehu	
1	329	ocean	moana; kai	
1	330	lake	loko; loko wai	
1	340	gulf, bay	kūʔono; kai-kūʔono; hono-; hana-	
1	341	lagoon	kai kohola; loko kai; kuaʔau; loko wai; kiʔo wai	
1	342	reef	kohola	
1	343	headland, point	lae; maka; ʔoi-ʔoina	
1	350	wave	nalu; ʔale	
1	352	tide	au; kai	
1	353	lowtide	kai make; kai maloʔo	
1	354	hightide	kai nui; kai piha	
1	360	river, stream, brook	kaha-wai; muli-wai; wai	
1	362	whirlpool	wili-wai; mimilo	
1	370	spring, well	puna; wai puna; wai māpuna; kumu wai; māpuna	
1	380	swamp	pohō; naele; kele	
1	390	waterfall	wai-lele	
1	410	woods, forest	ulu lāʔau; nahele; wao nahele; uluaōʔa	
1	420	tree (cf 08.600)	lāʔau; kumu-lāʔau; kumu	See 'cattle' 03.200. 'Foundation' is kumu; applied to new artifacts, as in 'directory' p.205. 'origin'; See 'cattle' 03.200. 'Foundation' is kumu; applied to new artifacts, as in 'directory' p.205. 'origin'; See 'cattle' 03.200. 'Foundation' is kumu; applied to new artifacts, as in 'directory' p.205. 'origin'
1	430	wood	lāʔau	
1	440	stone, rock	pōhaku; ʔā; ʔili-ʔili; ʔalā; ʔaʔā; pā-hoehoe	
1	450	earthquake	ʔōlaʔi; nā-ueue	
1	510	sky	lani	
1	520	sun	lā	A 'holiday' is lā-nui.
1	530	moon	mahina	
1	540	star	hōkū	'Meteor, shooting star' is hōkū-lele. 'Morning Star/ Venus' is Hōkū-ao. 'Sirius' is ʔaʔā.
1	550	lightning	uila	
1	560	thunder	hekili	
1	570	lightning (as striking)	lapa uila	
