wer- 	 burn 	 to burn
wer- 	 notice, cover, heed 	 to cover, heed, notice
wer- 	 squirrel 	 squirrel
strew- 	 strew, spread 	 to spread, to strew
h₂ep- 	 water 	 water, body of water
sterh₃- 	 extend, stretch, spread 	 to spread, extend, stretch out
steh₂- 	 stand 	 to stand (up)
dʰeh₁- 	 put, do, place 	 to do, put, place
h₁es- 	 be 	 to be
h₂wes- 	 reside, live, dwell 	 to dwell, live, reside
h₂wes- 	 stay, spend 	 to stay, spend the night
bʰuh- 	 appear, grow, become 	 to become, grow, appear
gerh₂- 	  	 to cry hoarsely
gerh₂- 	 crane 	 crane
h₃ed- 	 stink, smell 	 to smell, stink
h₃ed- 	 hate 	 to hate
h₃ed- 	 bite 	 to bite
peḱ- 	 pluck 	 to pluck 
peḱ- 	 livestock 	 livestock
peḱ- 	 wealth 	 wealth
peḱ- 	 joyful 	 joyful
peḱ- 	 pretty 	 pretty
ǵerh₂- 	 mature 	 to grow old, to mature
men- 	 think, mind 	 to think, mind
men- 	  	 spiritual activity
men- 	 remain, stay 	 to stay, remain
men- 	 stand out, tower 	 to stand out, to tower
ped- 	 step, walk 	 to walk, to step
ped- 	 fall, stumble 	 to stumble, to fall
bʰer- 	 bear, carry 	 to bear, carry
peh₂- 	 protect 	 to protect
peh₂- 	 shepherd 	 to shepherd
pel- 	 wrap, cover 	 to cover, to wrap
pel- 	 cloth, hide, skin 	 skin, hide, cloth
pel- 	 fold 	 to fold
pel- 	 beat, drive, push 	 to beat, push, drive
pel- 	 dust, flour 	 flour, dust
ḱley- 	 cover, shelter 	 to shelter, cover
ḱley- 	 lean, incline, slope 	 to lean, slope, incline
sneygʷʰ- 	 snow 	 to snow
ḱer- 	 grow, nourish 	 to grow, to make grow, to nourish
ḱer- 	 plait, weave 	 to plait, weave
ḱer- 	 string, rope 	 rope, string
sek- 	 cut off, sever, cut 	 to cut, cut off, sever
deh₃- 	 give 	 to give
krey- 	 divide, separate, sift 	 to sift, separate, divide
kap- 	 seize, hold 	 to seize, hold
h₁ed- 	 eat 	 to eat
werǵ- 	 make 	 to make
wekʷ- 	 speak, sound 	 to speak, to sound out
ḱlew- 	 hear 	 to hear
swep- 	 sleep 	 to sleep
weyd- 	 see 	 to see
wemh₁- 	 spew, vomit 	 to spew, to vomit
skey- 	 split, dissect 	 to split, to dissect
weǵʰ- 	 bring 	 to bring
weǵʰ- 	 transport 	 to transport
h₃ep- 	 make, work, toil 	 to work, toil, make
h₃ep- 	 ability, force 	 ability, force
sem- 	 one, together 	 together, one
h₂ey- 	  	 vital force, life, age, eternity
