*	*	*	nominative 	accusative 	genitive 	instrumental 	allative 	dative 	locative 	short-locative	ablative 	adjectival 	#		
ship	nonpartitive	singular	cirya	ciryá	ciryo	ciryanen	ciryanna	ciryan	ciryassë	ciryas	ciryallo	ciryava	#	singular	
ship	nonpartitive	dual	ciryat	ciryat	ciryato	ciryanten	ciryanta	ciryant	ciryatsë	ciryalto	—	—	#	dual	
ship	nonpartitive	plural	ciryar	ciryai	ciryaron	ciryainen	ciryannar	ciryain	ciryassen	ciryais	ciryallon	—	#	"""plural 1"""	
ship	partitive	plural	ciryalí	ciryalí	ciryalion	ciryalínen	ciryalinna(r)	ciryalin	ciryalisse(n)	ciryalis	ciryalillo(n)	ciryalíva	#	"""plural 2"""	
leaf	nonpartitive	singular	lassë	lassé	lassëo	lassenen	lassenna	lassen	lassessë	lasses	lassello	lasseva	#	singular	
leaf	nonpartitive	dual	lasset	lasset	lasseto	lassenten	lassenta	lassent	lassetsë	lasselto	—	—	#	dual	
leaf	nonpartitive	plural	lassí	lassí	lassion	lassínen	lassennar	lassin	lassessen	lassis	lassellon 	—	#	"""plural 1"""	
leaf	partitive	plural	lasselí	lasselí	lasselion	lasselínen	lasselinna(r)	lasselin	lasselisse(n)	lasselis	lasselillo(n)	lasselíva	#	"""plural 2"""	
head	nonpartitive	singular	*ᴹcas	*ᴹcara	*ᴹcaro	*ᴹcarinen	*ᴹcasta	*ᴹcaren	*ᴹcasse	*ᴹcas	*ᴹcallo, carullo	*ᴹcarwa 	#	singular	
head	nonpartitive	dual	*ᴹcarut	*ᴹcarut	*ᴹcaru	❔	❔	*ᴹcarur	❔	❔	*ᴹᴬcallut	—	#	dual	
head	nonpartitive	plural	*ᴹcarin	❔	❔	❔	*ᴹcarintan	❔	*ᴹcarissen	*ᴹᴬcassen	*ᴹᴬcallon	❔	#	"""plural 1"""	
head	partitive	plural	*ᴹcari	❔	❔	❔	❔	❔	❔	❔	❔	❔	#	"""plural 2"""	
man	nonpartitive	singular	*ᴹnér	*ᴹnera	*ᴹnero	*ᴹnerinen	*ᴹnerta	*ᴹneren	*ᴹnerissë	*ᴹneris	*ᴹnerullo	*ᴹnerwa	#	singular	
man	nonpartitive	dual	*ᴹnerut	*ᴹnerut	*ᴹneru	*ᴹneranwen	*ᴹnerdet	*ᴹnerur	*ᴹnerusset	…	*ᴹnellut	—	#	dual	
man	nonpartitive	plural	neri	neri	*ᴹnerion	*ᴹnerínen	*ᴹnerintan	*ᴹnerir	*ᴹnerissen	…	*ᴹnerillon	…	#	"""plural 1"""	
man	partitive	plural	…	…	…	…	…	…	…	…	…	…	#	"""plural 2"""	
rock	nonpartitive	singular	ondo	*ᴹondo	*ᴹondo	*ᴹondoinen	*ᴹondonta	*ᴹondor	*ᴹondosse	*ᴹondos	*ᴹondollo	*ᴹondova	#	singular	
rock	nonpartitive	dual	*ᴹondos	*ᴹondos	*ᴹondu	*ᴹondoinent	*ᴹondontas	*ᴹondur	*ᴹondoset	*ᴹondollut	—	—	#	dual	
rock	nonpartitive	plural	ondor	*ᴹondoli	*ᴹondolion	*ᴹondoinen	*ᴹondolintan	*ᴹondolir	*ᴹondolissen	…	*ᴹondolillon	—	#	"""plural 1"""	
rock	partitive	plural	*ᴹondoli	*ᴹondoli	*ᴹondolion	*ᴹondolínen	*ᴹondolinta(n)	*ᴹondolir	ondolisse	…	*ᴹondolillon	…	#	"""plural 2"""	
bug	nonpartitive	singular	pí	*pí	ᴺpío	ᴺpínen	ᴺpinna	ᴺpín	ᴺpissë	…	ᴺpillo	…	#	singular	
bug	nonpartitive	dual	ᴺpít	ᴺpít	ᴺpíto	ᴺpinten	ᴺpinta	ᴺpint	ᴺpitsë	…	ᴺpilto	…	#	"""plural 1"""	
bug	nonpartitive	plural	ᴺpír	❔	ᴺpíron	ᴺpínen	ᴺpinnar	ᴺpín	ᴺpissen	…	ᴺpillon	…	#	dual	
bug	partitive	plural	ᴺpíli	ᴺpíli	ᴺpílion	ᴺpilínen	ᴺpílinna	ᴺpílin	ᴺpílissë	…	ᴺpílillon	…	#	"""plural 2"""	
animal	nonpartitive	singular	*celva	*celvá	*celvo	*celvanen	*celvanna	*celvan	*celvassë	*celvas	*celvallo	*celvava			
animal	nonpartitive	dual	*celvat	*celvat	*celvato	*celvanten	*celvanta	*celvant	*celvatsë	*celvalto	—	—			
animal	nonpartitive	plural	*celvar	*celvai	*celvaron	*celvainen	*celvannar	*celvain	*celvassen	*celvais	*celvallon	—			
animal	partitive	plural	*celvalí	*celvalí	*celvalion	*celvalínen	*celvalinna(r)	*celvalin	*celvalisse(n)	*celvalis	*celvalillo(n)	*celvalíva			
attention	nonpartitive	singular	sanwë	sanwé	sanwëo	sanwenen	sanwenna	sanwen	sanwessë	sanwes	sanwello	sanweva			
attention	nonpartitive	dual	sanwet	sanwet	sanweto	sanwenten	sanwenta	sanwent	sanwetsë	sanwelto	—	—			
attention	nonpartitive	plural	sanwí	sanwí	sanwion	sanwínen	sanwennar	sanwin	sanwessen	sanwis	sanwellon 	—			
attention	partitive	plural	sanwelí	sanwelí	sanwelion	sanwelínen	sanwelinna(r)	sanwelin	sanwelisse(n)	sanwelis	sanwelillo(n)	sanwelíva			
bird	nonpartitive	singular	aiwë	aiwé	aiwëo	aiwenen	aiwenna	aiwen	aiwessë	aiwes	aiwello	aiweva	#	"lit. ""thought"""	
bird	nonpartitive	dual	aiwet	aiwet	aiweto	aiwenten	aiwenta	aiwent	aiwetsë	aiwelto	—	—			
bird	nonpartitive	plural	aiwí	aiwí	aiwion	aiwínen	aiwennar	aiwin	aiwessen	aiwis	aiwellon 	—			
bird	partitive	plural	aiwelí	aiwelí	aiwelion	aiwelínen	aiwelinna(r)	aiwelin	aiwelisse(n)	aiwelis	aiwelillo(n)	aiwelíva			
boat	nonpartitive	singular	luntë	lunté	luntëo	luntenen	luntenna	lunten	luntessë	luntes	luntello	lunteva			
boat	nonpartitive	dual	luntet	luntet	lunteto	luntenten	luntenta	luntent	luntetsë	luntelto	—	—			
boat	nonpartitive	plural	luntí	luntí	luntion	luntínen	luntennar	luntin	luntessen	luntis	luntellon 	—			
boat	partitive	plural	luntelí	luntelí	luntelion	luntelínen	luntelinna(r)	luntelin	luntelisse(n)	luntelis	luntelillo(n)	luntelíva			
book	nonpartitive	singular	parma	parmá	parmo	parmanen	parmanna	parman	parmassë	parmas	parmallo	parmava			
book	nonpartitive	dual	parmat	parmat	parmato	parmanten	parmanta	parmant	parmatsë	parmalto	—	—			
book	nonpartitive	plural	parmar	parmai	parmaron	parmainen	parmannar	parmain	parmassen	parmais	parmallon	—			
book	partitive	plural	parmalí	parmalí	parmalion	parmalínen	parmalinna(r)	parmalin	parmalisse(n)	parmalis	parmalillo(n)	parmalíva			
brother	nonpartitive	singular	háno	*ᴹháno	*ᴹháno	*ᴹhánoinen	*ᴹhánonta	*ᴹhánor	*ᴹhánosse	*ᴹhános	*ᴹhánollo	*ᴹhánova			
brother	nonpartitive	dual	*ᴹhános	*ᴹhános	*ᴹhánu	*ᴹhánoinent	*ᴹhánontas	*ᴹhánur	*ᴹhánoset	*ᴹhánollut	—	—			
brother	nonpartitive	plural	hánor	*ᴹhánoli	*ᴹhánolion	*ᴹhánoinen	*ᴹhánolintan	*ᴹhánolir	*ᴹhánolissen	…	*ᴹhánolillon	—			
brother	partitive	plural	*ᴹhánoli	*ᴹhánoli	*ᴹhánolion	*ᴹhánolínen	*ᴹhánolinta(n)	*ᴹhánolir	hánolisse	…	*ᴹhánolillon	…			
clothing	nonpartitive	singular	ᴱlaupë	ᴱlaupé	ᴱlaupëo	ᴱlaupenen	ᴱlaupenna	ᴱlaupen	ᴱlaupessë	ᴱlaupes	ᴱlaupello	ᴱlaupeva	#	"lit. ""tunic"""	
clothing	nonpartitive	dual	ᴱlaupet	ᴱlaupet	ᴱlaupeto	ᴱlaupenten	ᴱlaupenta	ᴱlaupent	ᴱlaupetsë	ᴱlaupelto	—	—			
clothing	nonpartitive	plural	ᴱlaupí	ᴱlaupí	ᴱlaupion	ᴱlaupínen	ᴱlaupennar	ᴱlaupin	ᴱlaupessen	ᴱlaupis	ᴱlaupellon 	—			
clothing	partitive	plural	ᴱlaupelí	ᴱlaupelí	ᴱlaupelion	ᴱlaupelínen	ᴱlaupelinna(r)	ᴱlaupelin	ᴱlaupelisse(n)	ᴱlaupelis	ᴱlaupelillo(n)	ᴱlaupelíva			
daughter	nonpartitive	singular	seldë	seldé	seldëo	seldenen	seldenna	selden	seldessë	seldes	seldello	seldeva			
daughter	nonpartitive	dual	seldet	seldet	seldeto	seldenten	seldenta	seldent	seldetsë	seldelto	—	—			
daughter	nonpartitive	plural	seldí	seldí	seldion	seldínen	seldennar	seldin	seldessen	seldis	seldellon 	—			
daughter	partitive	plural	seldelí	seldelí	seldelion	seldelínen	seldelinna(r)	seldelin	seldelisse(n)	seldelis	seldelillo(n)	seldelíva			
dog	nonpartitive	singular	*ᴹhuo	*ᴹhuo	*ᴹhuo	*ᴹhuoinen	*ᴹhuonta	*ᴹhuor	*ᴹhuosse	*ᴹhuos	*ᴹhuollo	*ᴹhuova			
dog	nonpartitive	dual	*ᴹhuos	*ᴹhuos	*ᴹhuu	*ᴹhuoinent	*ᴹhuontas	*ᴹhuur	*ᴹhuoset	*ᴹhuollut	—	—			
dog	nonpartitive	plural	*ᴹhuor	*ᴹhuoli	*ᴹhuolion	*ᴹhuoinen	*ᴹhuolintan	*ᴹhuolir	*ᴹhuolissen	…	*ᴹhuolillon	—			
dog	partitive	plural	*ᴹhuoli	*ᴹhuoli	*ᴹhuolion	*ᴹhuolínen	*ᴹhuolinta(n)	*ᴹhuolir	huolisse	…	*ᴹhuolillon	…			
door	nonpartitive	singular	fendë	fendé	fendëo	fendenen	fendenna	fenden	fendessë	fendes	fendello	fendeva			
door	nonpartitive	dual	fendet	fendet	fendeto	fendenten	fendenta	fendent	fendetsë	fendelto	—	—			
door	nonpartitive	plural	fendí	fendí	fendion	fendínen	fendennar	fendin	fendessen	fendis	fendellon 	—			
door	partitive	plural	fendelí	fendelí	fendelion	fendelínen	fendelinna(r)	fendelin	fendelisse(n)	fendelis	fendelillo(n)	fendelíva			
drum	nonpartitive	singular	ᴱtompa	ᴱtompá	ᴱtompo	ᴱtompanen	ᴱtompanna	ᴱtompan	ᴱtompassë	ᴱtompas	ᴱtompallo	ᴱtompava			
drum	nonpartitive	dual	ᴱtompat	ᴱtompat	ᴱtompato	ᴱtompanten	ᴱtompanta	ᴱtompant	ᴱtompatsë	ᴱtompalto	—	—			
drum	nonpartitive	plural	ᴱtompar	ᴱtompai	ᴱtomparon	ᴱtompainen	ᴱtompannar	ᴱtompain	ᴱtompassen	ᴱtompais	ᴱtompallon	—			
drum	partitive	plural	ᴱtompalí	ᴱtompalí	ᴱtompalion	ᴱtompalínen	ᴱtompalinna(r)	ᴱtompalin	ᴱtompalisse(n)	ᴱtompalis	ᴱtompalillo(n)	ᴱtompalíva			
enemy	nonpartitive	singular	*cotto	*ᴹcotto	*ᴹcotto	*ᴹcottoinen	*ᴹcottonta	*ᴹcottor	*ᴹcottosse	*ᴹcottos	*ᴹcottollo	*ᴹcottova			
enemy	nonpartitive	dual	*ᴹcottos	*ᴹcottos	*ᴹcottu	*ᴹcottoinent	*ᴹcottontas	*ᴹcottur	*ᴹcottoset	*ᴹcottollut	—	—			
enemy	nonpartitive	plural	*cottor	*ᴹcottoli	*ᴹcottolion	*ᴹcottoinen	*ᴹcottolintan	*ᴹcottolir	*ᴹcottolissen	…	*ᴹcottolillon	—			
enemy	partitive	plural	*ᴹcottoli	*ᴹcottoli	*ᴹcottolion	*ᴹcottolínen	*ᴹcottolinta(n)	*ᴹcottolir	cottolisse	…	*ᴹcottolillon	…			
fire	nonpartitive	singular	*ᴹúr	*ᴹura	*ᴹuro	*ᴹuriun	*ᴹurta	*ᴹuren	*ᴹurissë	*ᴹuris	*ᴹurullo	*ᴹurwa			
