#	*	*	*	long				#	short		
*	*	*	*	nominative	possessive	oblique		#	subject		f
*	*	*	*	enclitic	enclitic	enclitic	tonic	#	enclitic		
	singular	1		-nye	-nya	ní	ní	#	-n	I	
	singular	2	imperious	-tye	-tya	tyé	tyé	#	 – 	(thou)	
	singular	2	familiar	-tye	-tya	tyé	tyé	#	 – 	(thou)	
	singular	2	formal	-lye	-lya	lyé	lyé	#	 – 	you	
	singular	2	polite	-lye	-lya	lyé	lyé	#	 – 	you	
	singular	3	animate 	-se	-rya/-ya	sé	sé	#	-s	he, she	
	singular	3	inanimate 	-sa	-rya/-ya	sá	sá	#	-s	it	
	singular		impersonal	nil	nil	 – 	 – 	#	 – 		
	dual	1	inclusive	-ngwe/-nque	-nqua	wet	wet	#	 – 	you and I, us two (you)	
	dual	1	exclusive	-mme/-nwe	-mma	met	met	#	 – 	(s)he and I, us two (not you)	
	dual	2	imperious	-xë/-ccë	-xa/-cca	tyet	tyet	#	 – 	you two	
	dual	2	familiar	-xë/-ccë	-xa/-cca	tyet	tyet	#	 – 	you two	
	dual	3	formal	-llë/-stë	-lla	let	let	#	 – 	both of you	
	dual	3	polite	-llë/-stë	-lla	let	let	#	 – 	both of you	
	dual	3	animate 	-sto/-ttë	-twa	tú	tú	#	 – 	those two	
	dual		impersonal	+-t	+-t	 – 	 – 	#	 – 		
	plural	1	inclusive	-lwe/lve	-lwa/-lva	wé/vé	wé/vé	#	 – 	we (including you)	
	plural	1	exclusive	-lme	-lma	mé	mé	#	 – 	we (not including you)	
	plural	2	imperious	-nce	-nca	(?)	(?)	#	 – 	you guys	
	plural	2	familiar	-nce	-nca	(?)	(?)	#	 – 	you guys	
	plural	2	formal	-lde/-lle	-lda/-lla	lé	lé	#	 – 	you all	
	plural	2	polite	-lde/-lle	-lda/-lla	lé	lé	#	 – 	you all	
	plural	3	animate 	-ntë	-nta	té	té	#	 – 	they	
	plural	3	inanimate 	-nta	-nta	sa1	sa1	#	 – 	they	
	plural		impersonal	+ -r	+ -r	 – 	 – 	#	 – 		
