dictionary	dictiōnārium
free	līber
free	grātīs
free	līberō
encyclopedia	encyclopaedia
encyclopedia	pandectēs
nonsense	nūgae
nonsense	gerrae
nonsense	muscerda
nonsense	nugae!
nonsense	gerrae!
elephant	elephantus
elephant	elephas
elephant	barrus
elephant	Lūca bōs
brown	aquilus
brown	US
brown	spādīx
brown	brunneus
brown	demography
december	december
month	mensis
february	februārius
april	Aprīlis
june	iūnius
july	iūlius
september	september
october	october
november	november
tuesday	dies Martis
saturday	diēs Saturnī
saturday	Sabbata
sunday	diēs Sōlis
sunday	diēs Dominica
sunday	diēs Dominicus
sunday	hari Ahad
sunday	Ahad
sunday	hari Minggu
sunday	Minggu
sunday	dominica
antonym	antonymum
synonym	synōnymum
false friend	falsus amicus
alphabetical	abecedarius
etymology	etymologia
trade	commercium
quid pro quo	dō ut des
verb	verbum
verb	verbum temporale
adjective	nomen adjectum
adjective	adjectum
adjective	adiectivum
craft	ars
merchandise	merx
wares	merx
product	fructus
product	productum
eagle	aquila
aardvark	orycteropus
aaron's rod	candelwyrt
aaron's rod	feltwyrt
abaddon	Abaddōn
abandoned	relictus
abandoned	derelictus
abandoned	desertus
abbess	abbātissa
abbey	abbatia
abbot	abbās
abbreviation	abbreviātiō
abdomen	abdōmen
abduct	raptō
abhor	abhorreō
abhor	abōminor
ability	prudentia
ability	calliditas
ability	solertia
ability	ars
ability	scientia
ability	sollers acumen
ability	potestas
ability	potentia
ability	habilitas
ability	facultās
abiogenesis	abiogenesis
ablative	ablative absolute
abnet	abanēt
abolish	aboleō
abolish	interimō
abolisher	abolitor
abortion	abortus
abortion	abortiō
abortion	abagmentum
about	futurus sum
about	iturus sum
about	de
about	in
about	circiter
above	super
above	suprā
above	insuper
abrasion	abrāsiō
abridge	abbreviō
abridgment	breviārium
traditional chinese	lingua sinica traditionalis
simplified chinese	lingua sinica simplificata
odd	impār
millennium	millennium
winter	hiems
winter	hibernus
winter	hiemō
winter	hiberno
robot	robotum
english	anglicus
english	Anglus
english	lingua anglicus
today	hodie
today	hoc die
absolve	libero
absolve	absolvō
absolve	condono
absolve	absolvo
abstemious	abstēmius
absurdity	absurditas
abundantly	abundanter
abundantly	ūbertim
abusively	contumēliōsē
abyssinian	abisinac
acanthocarpous	acanthocarpus
accidentally	temere
accordion	accordio
first name	praenomen
plural	plūrālis
plural	numerus
plural	pluralis
plural	numerus multitudinis
plural	multitudo
plural	pluralitas
alien	peregrīnus
alien	aliēnus
definition	definitio
definition	definitionis
autumn	autumnus
spring	vēr
spring	scatebra
spring	scaturgō
color	color
color	colōrō
whatever	quisquis
whatever	quidquid
orange	arantium
orange	aurantius
orange	aurantia
orange	aurantium
orange	arantius
polish	Polonicus
premature	praecox
premature	praecoquus
wolf	lupus
wolf	devorare
planet	planēta
planet	planētēs
planet	stella errans
planet	stella vaga
planet	planeta
zero	zerum
zero	nihilum
zero	zephirum
zero	cifra
oxymoron	oxymorum
alphabet	alphabetum
alphabet	abecedārium
alphabet	אַלף־בית
alphabet	אַלפֿאַבעט
alphabet	גלחות
alphabet	אַזבוקע
achilles tendon	tendo calcaneus
achilles tendon	tendo Achillis
acid	acidus
acid	acidum
lightspeed	velocitas luminis
growth	auctus
german	Germanicus
german	Germanica
german	Germanus
german	Germana
german	theodiscus
german	lingua germanica
german	lingua theodisca
german	germanicus
mexico	Mexicum
decade	decas
decade	decennium
alphabetism	alphabetismus
grass	herba
grass	grāmen
one	alter
two	duo
two	duae
five	quīnque
ad	A. C.
ad	AC
ad	A. D.
ad	AD
ad	p. Chr. n.
ad	p. Chr.
proper noun	nōmen prōprium
century	saeculum
century	centennium
century	centuria
japan	Iaponia
japan	Japonia
computer science	informatica
few	paucus
few	aliquot
meat	carō
meat	carnis
i love you	tē amō
i love you	te amo
i love you	vos amo
i love you	amo te
i love you	ego amo te
bce	ante aer. vulg.
bce	ante aer. comm.
bc	a.C.
bc	a.Chr.n. / a.C.n.
ce	p. Chr. n.
ce	p. Chr.
ce	A. D.
ce	AD
ce	aer. vulg.
ce	aer. comm.
vivify	vivifico
monotheism	monotheïsmus
metric	metricus
lethean	Lethaeus
quality	quālitās
quality	proprietas
motherfucker	hijo de puta
motherfucker	hideputa
motherfucker	mal parido
motherfucker	huevón
motherfucker	pendejo
motherfucker	cojudo
motherfucker	cojonudo
motherfucker	trolazo
motherfucker	rotocafé
motherfucker	hijo de la chingada
motherfucker	cerdo
motherfucker	hijo de perra
biblical	biblicus
six	sex
six	sḍes
six	sḍest
adverb	adverbium
esperanto	Lingua Esperantica
esperanto	Lingua Zamenhofiana
because	quia
because	quod
because	quoniam
because	cum
because	propter
tighten	stringō
peso	pensum
billion	milliardum
morpheme	morphema
nine	novem
ten	decem
singular	singulāris
singular	numerus singulāris
everybody	omnes
reality	natura
reality	eventus
reality	veritas
reality	realitas
weapon	tēlum
weapon	arma
conceal	cēlō
conceal	occulō
dutch	batavicus
dutch	batavice
dutch	nederlandice
dutch	batavus
netherlands	Nederlandia
netherlands	Batavia
operating system	systema internum
operating system	systema operationis
ussr	SSSR
music	mūsica
music	musice
war	bellum
war	arma
war	duellum
war	bellō
war	belligero
war	bellor
war	belligerō
dvd	disculus visionis digitalis
peace	pax
conjunction	conjunctio
conjunction	coniunctio
lifetime	aetas
iraq	Iraquia
greece	Graecia
serbia and montenegro	Serbia et Nigromontium
united arab emirates	Emiratus Arabici Coniuncti
united arab emirates	Emiratus Arabici Uniti
united kingdom	Rēgnum Ūnītum
united kingdom	Britanniarum Regnum
united states of america	Civitates Foederatae Americae
united states of america	Respublicae Unitae Americae
united states of america	Status Uniti Americae
germany	Germania
germany	Alemānnia
czech republic	Respublica Cecha
czech republic	Cechia
czech republic	Czechia
czech republic	Tzechia
czech republic	Čȅškā Repùblika
czech republic	Čȅškā
france	Gallia
france	Francia
france	Francogallia
israel	Israel
european	Eurōpaeus
european central bank	Argentaria primaria Europaea
estonia	Estonia
estonia	Æstonia
latvia	Lettonia
norway	Norvegia
morocco	Marocum
algeria	Algerium
south africa	Africa Australis
south africa	Africa Meridionalis
poland	Polonia
treaty	foedus
austria	Austria
philippines	Philippinae
apple	mālum
economics	oeconomia
urban	urbānus
slow	lentus
slow	tardus
fruit	fructus
fruit	frux
fruit	fruges
fruit	pōmum
fruit	fructifico
mammal	mammalis
mammal	mammalia
husband	marītus
husband	coniunx
religion	religiō
religion	religio
government	administratio
government	gubernatio
morning	māne
morning	mane
morning	matutina tempora
morning	crepusculum
morning	matutinum
mexican	Mexicanensis
send	mittō
market	macellum
market	forum
market	mercātus
food	cibus
food	pābulum
food	esca
food	cibaria
food	alimentum
food	pulmentum
take	capio
take	prehendo
take	sumo
take	accipiō
take	recipiō
take	fero
take part	intersum
but	sed
but	quamvis
but	licet
but	ut
investment	collocātiō
increase	augescō
increase	augeō
increase	adiciō
increase	accumulō
increase	grandiō
increase	augmentum
increase	auctus
also	quoque
also	etiam
add	addere
network	reticulum
frequency	crēbritās
frequency	frequentia
mobile	mōbilis
mobile phone	tēlephōnum gestābile
mobile phone	tēlephōnium gestābile
mobile phone	tēlephōnum portātile
mobile phone	tēlephōnium portātile
mobile phone	tēlephōnum portābile
mobile phone	tēlephōnium portābile
mobile phone	tēlephōnulum
mobile phone	teléfono móvil
mobile phone	móvil
mobile phone	teléfono celular
mobile phone	celular
radio	radiophonia
radio	radiophōnum
radio	radiophonium
careful	curiosus
careful	cautus
careful	meticulosus
careful	diligens
deceptive	fallax
deceptive	fallens
deceptive	deceptivus
