chapter_id	entry_id	meaning	Estonian_Phonemic	Estonian_StandOrth	comment
1	100	world	maailm	maailm	
1	210	earth, land	maa	maa	
1	212	earth=ground, soil	maapind	maapind	
1	213	dust	tolm	tolm	
1	214	mud	muda	muda	
1	215	sand	liiw	liiv	
1	220	mountain, hill	mægi	mägi	
1	222	cliff, precipice	kalyu	kalju	
1	230	plain, field	tasandik; pəld	tasandik; põld	
1	240	valley	or̃g	org	
1	250	island	saar̃	saar	
1	260	mainland	manner̃; mander̃	manner; mander	
1	270	shore	kallas; r̃and	kallas; rand	
1	280	cave	koobas	koobas	
1	310	water	wesi	vesi	
1	320	sea	mer̃i	meri	
1	322	calm (of sea)	r̃ahulik; waikne	rahulik; vaikne	
1	323	rough (of sea)	tor̃mine	tormine	
1	324	foam	waht	vaht	
1	329	ocean	ookean	ookean	
1	330	lake	yær̃w	järv	
1	340	gulf, bay	laht	laht	
1	341	lagoon	laguun	laguun	
1	342	reef	kar̃i	kari	
1	343	headland, point	neem	neem	
1	350	wave	laine	laine	
1	352	tide	təus ja məən	tõus ja mõõn	
1	353	lowtide	məən	mõõn	
1	354	hightide	təus	tõus	
1	360	river, stream, brook	yəgi; oya	jõgi; oja	
1	362	whirlpool	weekeer̃is	veekeeris	
1	370	spring, well	allikas; læte; kaew	allikas; läte; kaev	
1	380	swamp	soo	soo	
1	390	waterfall	kosk; yuga	kosk; juga	
1	410	woods, forest	mets	mets	
1	420	tree (cf 08.600)	puu	puu	
1	430	wood	puit	puit	
1	440	stone, rock	kiwi; kalyu	kivi; kalju	
1	450	earthquake	maawær̃in	maavärin	
1	510	sky	taewas	taevas	
1	520	sun	pæike	päike	
1	530	moon	kuu	kuu	
1	540	star	tæht	täht	
1	550	lightning	wælk	välk	
1	560	thunder	kəu; pikne; mür̃istamine	kõu; pikne; müristamine	
1	570	lightning (as striking)	pikne	pikne	
1	580	storm	tor̃m	torm	
1	590	rainbow	wiker̃kaar̃	vikerkaar	
1	610	light (noun)	walgus	valgus	
1	620	darkness	pimedus	pimedus	
1	630	shade, shadow	war̃i	vari	
1	640	dew	kaste	kaste	
1	710	air	əhk	õhk	
1	720	wind	tuul	tuul	
1	730	cloud	pilw	pilv	
1	740	fog	udu	udu	
1	750	rain (noun)	wihm	vihm	
1	760	snow (noun)	lumi	lumi	
1	770	ice	yææ	jää	
1	780	weather	ilm	ilm	
1	810	fire	tuli	tuli	
1	820	flame (noun)	leek	leek	
1	830	smoke (noun)	suits	suits	
1	840	ashes	tuhk	tuhk	
1	841	embers	həəguwad söed	hõõguvad söed	
1	851	burn (vb trans)	pəletama	põletama	
1	852	burn (vb intrans)	pəlema	põlema	
1	860	light, kindle, ignite	süütama	süütama	
1	861	extinguish	kustutama	kustutama	
1	870	match (noun)	tuletikk	tuletikk	
1	880	firewood	küttepuud	küttepuud	
1	890	charcoal	puusüsi	puusüsi	
2	100	person, human being	inimene	inimene	
2	210	man (vs. woman)	mees	mees	
2	220	woman	naine	naine	
2	230	male	meessoost	meessoost	
2	240	female	naissoost	naissoost	
2	250	boy	poiss	poiss	
2	251	young man (adolescent)	noor̃mees	nooremees	cf. man 02.210
2	260	girl	tüdr̃uk	tüdruk	
2	261	young woman (adolescent)	neiu	neiu	
