указ 	 noun 	 ukase 	 enactment, ordinance, decree, edict, ukase
указ 	 noun 	 decree 	 enactment, ordinance, decree, edict, ukase
указ 	 noun 	 edict 	 enactment, ordinance, decree, edict, ukase
указ 	 noun 	 enactment 	 enactment, ordinance, decree, edict, ukase
указ 	 noun 	 ordinance 	 enactment, ordinance, decree, edict, ukase
палец 	 noun 	 finger 	 finger or toe
палец 	 noun 	 toe 	 finger or toe
палец 	 noun 	 thumb 	 thumb; big toe
палец 	 noun 	 big toe 	 thumb; big toe
палец 	 noun 	 index finger 	 forefinger, index finger
палец 	 noun 	 forefinger 	 forefinger, index finger
палец 	 noun 	 middle finger 	 middle finger
палец 	 noun 	 ring finger 	 ring finger
палец 	 noun 	 little finger 	 little finger, little toe
палец 	 noun 	 little toe 	 little finger, little toe
палец 	 noun 	 finger stall 	 finger stall
палец 	 noun 	 dupe 	 to cheat, to dupe, to deceive, to take in
палец 	 noun 	 deceive 	 to cheat, to dupe, to deceive, to take in
палец 	 noun 	 take 	 to cheat, to dupe, to deceive, to take in
палец 	 noun 	 cheat 	 to cheat, to dupe, to deceive, to take in
палец 	 noun 	 dream 	 to fabricate something; to dream the whole thing up
палец 	 noun 	 fabricate 	 to fabricate something; to dream the whole thing up
палец 	 noun 	 pin 	 pin, finger, cam
палец 	 noun 	 cam 	 pin, finger, cam
палец 	 noun 	 finger 	 pin, finger, cam
кошка 	 noun 	 cat 	 cat
кошка 	 noun 	 cat-o'-nine-tails 	 cat-o'-nine-tails
кошка 	 noun 	 drag 	 grapnel, drag
кошка 	 noun 	 grapnel 	 grapnel, drag
кошка 	 noun 	 fork 	 grapple fork
кошка 	 noun 	 grapple 	 grapple fork
кошка 	 noun 	 carriage 	 car, trolley, carriage
кошка 	 noun 	 trolley 	 car, trolley, carriage
кошка 	 noun 	 car 	 car, trolley, carriage
кошка 	 noun 	 spit 	 spit, bar
кошка 	 noun 	 bar 	 spit, bar
кошка 	 noun 	 grapplers 	 climbing irons, climbing grapplers
кошка 	 noun 	 climbing 	 climbing irons, climbing grapplers
кошка 	 noun 	 irons 	 climbing irons, climbing grapplers
кот 	 noun 	 tomcat 	 tomcat
м 	 noun 	 meter 	 |meter
м 	 noun 	 masculine 	 |masculine gender
м 	 noun 	 gender 	 |masculine gender
о 	 interjection 	 oh 	 oh
п 	 noun 	 paragraph 	 |paragraph
а 	 conjunction 	 but 	 but, and introduces a new or different meaning
а 	 conjunction 	 and 	 but, and introduces a new or different meaning
а 	 interjection 	 oh 	 oh!
а 	 particle 	 eh 	 colloquial particle used to seek confirmation: eh
а 	 noun 	 ampere 	 amp, ampere
а 	 noun 	 amp 	 amp, ampere
а 	 pronoun 	 he 	 he, she or it
а 	 pronoun 	 she 	 he, she or it
а 	 pronoun 	 it 	 he, she or it
в 	 noun 	 volt 	 volt
г 	 noun 	 gram 	 |gram
е 	 interjection 	 yo 	 yeah!, yo!, oh yeah!
е 	 interjection 	 oh yeah 	 yeah!, yo!, oh yeah!
е 	 interjection 	 yeah 	 yeah!, yo!, oh yeah!
ж 	 noun 	 toilet 	 |ladies' room, women's toilet
ж 	 noun 	 ladies' room 	 |ladies' room, women's toilet
и 	 conjunction 	 and 	 and
и 	 conjunction 	 both 	 as well as, both ... and
и 	 conjunction 	 as well as 	 as well as, both ... and
и 	 conjunction 	 as well 	 as well
и 	 conjunction 	 even 	 even
л 	 noun 	 liter 	 |liter
л 	 adjective 	 lightweight 	 |lightweight
т 	 noun 	 ton 	 ton
у 	 noun 	 Wu 	 Wu language
ч 	 noun 	 hour 	 hour
ы 	 interjection 	 lol 	 lol, used to express laughter. Usually used as "ы-ы-ы", to show the crying sound you make after you were laughing for too long
ы 	 interjection 	 laughter 	 lol, used to express laughter. Usually used as "ы-ы-ы", to show the crying sound you make after you were laughing for too long
э 	 interjection 	 hey 	 hey; an exclamation to get attention
э 	 interjection 	 attention 	 hey; an exclamation to get attention
э 	 interjection 	 exclamation 	 hey; an exclamation to get attention
э 	 interjection 	 disgust 	 to indicate doubt, disgust
э 	 interjection 	 doubt 	 to indicate doubt, disgust
э 	 interjection 	 reprimand 	 to clearly indicate a protest or reprimand
э 	 interjection 	 protest 	 to clearly indicate a protest or reprimand
э 	 interjection 	 uh 	 well, uh; space filler or pause during conversation
э 	 interjection 	 well 	 well, uh; space filler or pause during conversation
уст. 	 adjective 	 antiquated 	 obsolete, antiquated
уст. 	 adjective 	 obsolete 	 obsolete, antiquated
браный 	 adjective 	 pattern 	 patterned, adorned with a pattern or design
брашно 	 noun 	 food 	 food, sustenance
брашно 	 noun 	 sustenance 	 food, sustenance
масленица 	 noun 	 Shrovetide 	 Ма́сленица; Maslenitsa, Shrovetide, Butter Week, Crepe Week
масленица 	 noun 	 Maslenitsa 	 Ма́сленица; Maslenitsa, Shrovetide, Butter Week, Crepe Week
масленица 	 noun 	 high life 	 feast, high life
масленица 	 noun 	 feast 	 feast, high life
масленица 	 noun 	 high on the hog 	 a bed of roses; living high on the hog
масленица 	 noun 	 bed of roses 	 a bed of roses; living high on the hog
