plurality	template	language	nominative-singular	accusative	dative	ablative	instrumental	locative	vocative	
singular	agent	en	arrives	he directs	he walks to	he walks away from	it was done by	he walks near	damn you, {{noun}}!	
singular	agent	la	advenit	dūcit	ambulat	ambulat	fiebat	ambulat	dampnare, {{noun}}!	
singular	agent	emoji	←{{noun}}	←{{noun}}🚶	{{noun}}←🚶	←🚶{{noun}}	←{{noun}}	🚶{{noun}}	{{noun}}🚶🗯️!	
plural	agent	en	arrive	he directs	he walks to	he walks away from	it was done by	he walks near	damn you, {{noun}}!	
plural	agent	la	adveniunt	dūcit	ambulat	ambulat	fiebat	ambulat	dampnare, {{noun}}!	
plural	agent	emoji	←{{noun}}	←{{noun}}🚶	{{noun}}←🚶	←🚶{{noun}}	←{{noun}}	🚶{{noun}}	"{{noun}}🚶🗯️!	"	
singular	time	en	arrives	he recounts	he looks forward to	he withdrawls from	it was done by	it occurred in	O {{noun}}!	
singular	time	la	advenit	narrat	prōspicit	recedit	fiebat	accidit	O {{noun}}!	
singular	time	emoji	{{noun}}	🧍💬{{noun}}	🧍{{noun}}	←🚶{{noun}}	{{noun}}👷	{{noun}}→	{{noun}}🚶💬!	
plural	time	en	arrive	he recounts	he looks forward to	he withdrawls from	it was done by	it occurred in	O {{noun}}!	
plural	time	la	adveniunt	narrat	prōspicit	recedit	fiebat	accidit	O {{noun}}!	
plural	time	emoji	{{noun}}	🧍💬{{noun}}	🧍{{noun}}	←🚶{{noun}}	{{noun}}👷	{{noun}}→	{{noun}}🚶💬!	
singular	event	en	occurs	he recounts	it led to	it resulted from	it was dealt with through	he participated in	O {{noun}}!	
singular	event	la	accidit	narrat	ducebat	fiebat	actum	communicavit	O {{noun}}!	
singular	event	emoji	{{noun}}	🧍💬{{noun}}	→{{noun}}	{{noun}}→	{{noun}}→	{{noun}}🧍	{{noun}}🚶💬!	
plural	event	en	occur	he recounts	it led to	it resulted from	it was dealt with through	he participated in	O {{noun}}!	
plural	event	la	accidunt	narrat	ducebat	fiebat	actum	communicavit	O {{noun}}!	
plural	event	emoji	{{noun}}	🧍💬{{noun}}	→{{noun}}	{{noun}}→	{{noun}}→	{{noun}}🧍	{{noun}}🚶💬!	
singular	observable	en	appears	he observes	he looks to	he looks away from	he navigates by way of	he looks [in the vicinity of]	O {{noun}}!	
singular	observable	la	apparat	observat	spectat	spectat	navigat	spectat	O {{noun}}!	
singular	observable	emoji	{{noun}}	{{noun}}👀	{{noun}}🚶	🚶{{noun}}	{{noun}}🚶	🚶{{noun}}	{{noun}}🚶💬!	
plural	observable	en	appear	he observes	he looks to	he looks away from	he navigates by way of	he looks [in the vicinity of]	O {{noun}}!	
plural	observable	la	apparant	observat	spectat	spectat	navigat	spectat	O {{noun}}!	
plural	observable	emoji	{{noun}}	{{noun}}👀	{{noun}}🚶	🚶{{noun}}	{{noun}}🚶	🚶{{noun}}	{{noun}}🚶💬!	
