*	*	*	*	*	masculine	masculine	feminine	feminine	#	old	
					hieroglyphs	latin	hieroglyphs	latin	#		
demonstrative	proximal		singular		𓊪𓈖 	pn	𓏏𓈖	tn	#		
demonstrative	proximal		dual		𓇋𓊪𓈖𓇋	ypny	𓇋𓊪𓏏𓈖𓇋	yptny	#		
demonstrative	proximal		plural		𓇋𓊪𓈖	ypn	𓇋𓊪𓏏𓈖	pytn	#		
demonstrative	distal		singular		𓊪𓆑	pf	𓏏𓆑	tf	#		
demonstrative	distal		dual		𓇋𓊪𓆑𓇋	ypfy	𓇋𓊪𓏏𓆑𓇋	yptfy	#		
demonstrative	distal		plural		𓇋𓊪𓆑	ypf	𓇋𓊪𓏏𓆑	yptf	#		
#demonstrative	proximal to subject		singular		𓊪𓇋/𓊪𓅱/𓊪	py/pw/p	𓏏𓇋/𓏏𓅱/𓇋𓏏𓅱	ty/tw/ytw	#		
#demonstrative	proximal to subject		dual		𓇋𓊪𓅱𓇋	ypwy	𓇋𓊪𓏏𓅱𓇋	yptwy	#		
#demonstrative	proximal to subject		plural		𓇋𓊪𓅱	ypw	𓇋𓊪𓏏𓅱	yptw	#		
demonstrative	vocative		singular		𓊪𓄿	pꜣ	𓏏𓄿	tꜣ	#	"translated as ""the"""	
