Matthew S. Dryer. 2013. Order of Degree Word and Adjective.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/91, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	Degree word-Adjective	-29.0	-61.0	Abipon	Guaicuruan	Word Order
abk	Abkhaz	1	Degree word-Adjective	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abu	Abun	2	Adjective-Degree word	-0.5	132.5	Abun	Abun	Word Order
ace	Acehnese	3	No dominant order	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
adg	Adang	3	No dominant order	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Word Order
adi	Adioukrou	2	Adjective-Degree word	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Word Order
agc	Agta (Central)	3	No dominant order	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
akn	Akan	2	Adjective-Degree word	6.5	-1.25	Tano	Niger-Congo	Word Order
akh	Akha	3	No dominant order	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
ala	Alamblak	2	Adjective-Degree word	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
alb	Albanian	1	Degree word-Adjective	41.0	20.0	Albanian	Indo-European	Word Order
amc	Amahuaca	2	Adjective-Degree word	-10.5	-72.5	Panoan	Pano-Tacanan	Word Order
amq	Ambai	2	Adjective-Degree word	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
ame	Amele	2	Adjective-Degree word	-5.25	145.583333333	Mabuso	Trans-New Guinea	Word Order
anj	Anejom	2	Adjective-Degree word	-20.2	169.8	Oceanic	Austronesian	Word Order
agm	Angami	2	Adjective-Degree word	25.6666666667	94.5	Angami-Pochuri	Sino-Tibetan	Word Order
ao	Ao	1	Degree word-Adjective	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Word Order
apw	Apache (Western)	1	Degree word-Adjective	33.75	-110.0	Athapaskan	Na-Dene	Word Order
apl	Apalaí	2	Adjective-Degree word	0.0	-54.0	Cariban	Cariban	Word Order
apt	Apatani	1	Degree word-Adjective	27.5	93.75	Tani	Sino-Tibetan	Word Order
aeg	Arabic (Egyptian)	2	Adjective-Degree word	30.0	31.0	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	1	Degree word-Adjective	26.0	49.0	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	3	No dominant order	33.0	44.0	Semitic	Afro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	1	Degree word-Adjective	29.5	47.5	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	2	Adjective-Degree word	25.0	42.0	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	2	Adjective-Degree word	34.0	-6.0	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	3	No dominant order	34.0	38.0	Semitic	Afro-Asiatic	Word Order
arm	Armenian (Eastern)	1	Degree word-Adjective	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	1	Degree word-Adjective	38.5	43.5	Armenian	Indo-European	Word Order
awe	Arrernte (Western)	2	Adjective-Degree word	-24.0	132.5	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	2	Adjective-Degree word	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Word Order
au	Au	2	Adjective-Degree word	-3.58333333333	142.083333333	Central Wapei	Torricelli	Word Order
ava	Avar	1	Degree word-Adjective	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Word Order
awa	Awa	1	Degree word-Adjective	-6.66666666667	145.75	Gauwa	Trans-New Guinea	Word Order
awp	Awa Pit	1	Degree word-Adjective	1.5	-78.25	Barbacoan	Barbacoan	Word Order
awt	Awtuw	2	Adjective-Degree word	-3.58333333333	142.0	Ram	Sepik	Word Order
aym	Aymara (Central)	1	Degree word-Adjective	-17.0	-69.0	Aymaran	Aymaran	Word Order
bab	Babungo	1	Degree word-Adjective	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Word Order
bfi	Bafia	2	Adjective-Degree word	5.0	11.1666666667	Bantu	Niger-Congo	Word Order
bdw	Baham	2	Adjective-Degree word	-3.16666666667	132.666666667	West Bomberai	Greater West Bomberai	Word Order
bwc	Bajau (West Coast)	3	No dominant order	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Word Order
blt	Balti	1	Degree word-Adjective	35.0	76.0	Bodic	Sino-Tibetan	Word Order
bnn	Banoni	2	Adjective-Degree word	-6.41666666667	155.25	Oceanic	Austronesian	Word Order
brp	Barupu	2	Adjective-Degree word	-3.08333333333	142.083333333	Warapu	Skou	Word Order
bry	Baruya	2	Adjective-Degree word	-6.91666666667	145.916666667	Nuclear Angan	Trans-New Guinea	Word Order
bsk	Bashkir	1	Degree word-Adjective	53.0	58.0	Turkic	Altaic	Word Order
bsq	Basque	1	Degree word-Adjective	43.0	-3.0	Basque	Basque	Word Order
bkr	Batak (Karo)	1	Degree word-Adjective	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
bto	Batak (Toba)	1	Degree word-Adjective	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
baw	Bawm	2	Adjective-Degree word	22.5	92.25	Kuki-Chin	Sino-Tibetan	Word Order
bid	Bidiya	2	Adjective-Degree word	11.9166666667	18.75	East Chadic	Afro-Asiatic	Word Order
