Matthew S. Dryer. 2013. Position of Interrogative Phrases in Content Questions.								
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)								
WALS Online (v2020.4) [Data set]. Zenodo.								
https://doi.org/10.5281/zenodo.13950591								
(Available online at http://wals.info/chapter/93, Accessed on 2025-03-22.)								
								
wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	2	Not initial interrogative phrase	-24.0	21.5	Tu	Tu	Word Order
ani	//Ani	2	Not initial interrogative phrase	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Word Order
huc	=|Hoan	2	Not initial interrogative phrase	-25.5	25.0	=|Hoan	Kxa	Word Order
abi	Abipón	1	Initial interrogative phrase	-29.0	-61.0	Abipon	Guaicuruan	Word Order
abk	Abkhaz	2	Not initial interrogative phrase	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	2	Not initial interrogative phrase	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Word Order
abu	Abun	2	Not initial interrogative phrase	-0.5	132.5	Abun	Abun	Word Order
ace	Acehnese	3	Mixed	5.5	95.5	Malayo-Sumbawan	Austronesian	Word Order
acg	Achagua	1	Initial interrogative phrase	4.41666666667	-72.25	Japura-Colombia	Arawakan	Word Order
acn	Achang	2	Not initial interrogative phrase	25.0	98.5	Burmese-Lolo	Sino-Tibetan	Word Order
acl	Acholi	2	Not initial interrogative phrase	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Word Order
adg	Adang	2	Not initial interrogative phrase	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Word Order
adi	Adioukrou	2	Not initial interrogative phrase	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Word Order
adz	Adzera	2	Not initial interrogative phrase	-6.25	146.25	Oceanic	Austronesian	Word Order
awi	Aekyom	2	Not initial interrogative phrase	-5.75	141.416666667	Elevala	Kamula-Elevala	Word Order
agc	Agta (Central)	1	Initial interrogative phrase	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
agd	Agta (Dupaningan)	1	Initial interrogative phrase	18.0	122.083333333	Greater Central Philippine	Austronesian	Word Order
ain	Ainu	2	Not initial interrogative phrase	43.0	143.0	Ainu	Ainu	Word Order
akn	Akan	2	Not initial interrogative phrase	6.5	-1.25	Tano	Niger-Congo	Word Order
akh	Akha	2	Not initial interrogative phrase	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	2	Not initial interrogative phrase	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	2	Not initial interrogative phrase	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
amn	Amanab	2	Not initial interrogative phrase	-3.58333333333	141.25	Border	Border	Word Order
aml	Ambae (Lolovoli Northeast)	2	Not initial interrogative phrase	-15.4166666667	167.883333333	Oceanic	Austronesian	Word Order
amq	Ambai	2	Not initial interrogative phrase	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Word Order
amb	Ambulas	2	Not initial interrogative phrase	-3.83333333333	143.0	Ndu	Sepik	Word Order
ame	Amele	2	Not initial interrogative phrase	-5.25	145.583333333	Mabuso	Trans-New Guinea	Word Order
amh	Amharic	2	Not initial interrogative phrase	10.0	38.0	Semitic	Afro-Asiatic	Word Order
anj	Anejom	2	Not initial interrogative phrase	-20.2	169.8	Oceanic	Austronesian	Word Order
anc	Angas	2	Not initial interrogative phrase	9.5	9.5	West Chadic	Afro-Asiatic	Word Order
anu	Anufo	2	Not initial interrogative phrase	10.0833333333	0.25	Tano	Niger-Congo	Word Order
