signature			I	I	I	thou	thou	thou	we	we	we	you	you	you		
			nom	obl	voc/other	nom	obl/other	voc/other	nom	obl/other	voc/other	nom	obl/other	voc/other		
m/t/m/t		Indo-European	eg’ho(m)	me(ne)	-H-			-s-							beekes 1995	
m/t/m/t		Uralic	mₑ	mₑnᵥ		tₑ									reidei 1988	
m/t/m/t		Yukaghir		mit			tit			met			tet		Николаева 1997	
m/t/m/t		Turkic														
mn///		Etruscan	mi	mini		?une	?un									
nk/nt/nn/ntn	Afroasiatic	Chadic	ʔan-i¹	ʔi(ya)²		ku♂²	ka♂¹, ki(m)♀		muniⁱⁿ, ʔyinaᵉˣ	naᵉˣ			kuni, kuna		Blažek 1991: 37	
nk/nt/nn/ntn	Afroasiatic	Semitic	ʼanā̆/ʼanākū̆, -kū̆	-nī 		ʼantā̆♂, -tā̆♂, ʼantī̆♀, -tī̆♀	-kā̆♂, -kī̆♀		niḥnū̆, -nū̆	-nā̆		ʼantum♂, -tum♂, ʼantin♀, -tin♀	-kum			
nk/nt/nn/ntn	Afroasiatic	Egyptian	ʲānak, wuʲ	-aʲ		ʲāntak♂, kuw/tuw♂, ʲāntat♀, tin♀	-k, -t♀		ʲānan, ina	-ina		ʲāntatin, tin	-tin			
	Yeniseian	Ket			āˑ(t)			ūˑ			ɤ̄ˑt ~ ɤ́tn			ɤ́kŋ		
	Yeniseian	Yugh			āt			ū			ɤ́tn			kɤ́kŋ		
	Yeniseian	Kott			ai			au			ajoŋ			auoŋ ~ aoŋ		
	Yeniseian	Assan			aj			au			ajuŋ			avun		
	Yeniseian	Arin			ai			au			aiŋ			aŋ		
	Yeniseian	Pumpokol			ad			u			adɨŋ			ajaŋ		
at/au/dn/wn	Na-Dene	Tlingit	xha-	xhat,axh,xha-	xhát	ee-	i-,i	wa.é 	too-	haa	uháan	yi-	yee-, yee	yeewáan* 		
h/n/nh/nm	Na-Dene?	Hupa	-wh-	-wh-		ni-	ni- 	-di-		-noh- 		-oh-	-noh- 			
h/n/nh/nm		Navajo		shí 			ní 				nihí			nihí		
h/n/nh/nm		Elamite		un, -k	(h)u	nu, ni	nu, ni	-(a)t(i)			nikaᵉˣ,nikuᵉˣ, elaⁱⁿ, eluⁱⁿ			num	Дьяконов 1979	
		Mongolian														
		Korean														
		Japanese														
		Kartvelian													klimov 1998	
		Dravidian													Старостин 2006	
		Chukchi-Kamchatkan													Мудрак 2000	
		Eskimo													Bergsland 1986	
		Sumerian			ŋe₂₆-e, -ŋ₁₀u			ze₂-e, zu			-me			-zu-ne-ne		
n/h/g/z		Basque			ni			hi			gu			zu		
															ʳᵉ	relative
															ᵃᵇ	absolutive
															ⁱⁿ	inclusive
															ᵉˣ	exclusive
															¹	system 1
															²	system 2
