*	*	*	*	nominative	oblique	#	"""is X"" genitive"									
personal	1	singular		I	me	#	mine									
personal	2	singular		you	you	#	yours									
personal	3	singular	masculine	he	him	#	his									
personal	3	singular	feminine	she	her	#	hers									
personal	3	singular	neuter	it	it	#	it									
personal	1	dual		we both	us both	#	both of ours									
personal	2	dual		you two	both of you	#	both of yours									
personal	3	dual		they both	them both	#	both of theirs									
personal	1	trial		we three	us three	#	the three of us									
personal	2	trial		you three	the few of you	#	the few of you									
personal	3	trial		the three of them	the three of them	#	the few of them									
personal	1	paucal		we few	us few	#	the few of us									
personal	2	paucal		you few	the few of you	#	the few of you									
personal	3	paucal		the few of them	the few of them	#	the few of them									
personal	1	plural		we	us	#	ours									
personal	2	plural		all you	all of you	#	all of yours									
personal	3	plural		they	them	#	theirs									
personal	1	superplural		the lot of us	the lot of us	#	the lot of us									
personal	2	superplural		the lot of you	the lot of you	#	the few of you									
personal	3	superplural		the lot of them	the lot of them	#	the lot of them									
reflexive	1	singular			myself	#	my own									
reflexive	2	singular			yourself	#	your own									
reflexive	3	singular	masculine		himself	#	his own									
reflexive	3	singular	feminine		herself	#	her own									
reflexive	3	singular	neuter		itself	#	its own									
reflexive	1	dual			both ourselves	#	both of our own									
reflexive	2	dual			both yourselves	#	both of your own									
reflexive	3	dual			both themselves	#	both of their own									
reflexive	1	trial			the three of ourselves											
reflexive	2	trial			the three of yourselves											
reflexive	3	trial			the three of themselves											
reflexive	1	paucal			the few of ourselves											
reflexive	2	paucal			the few of yourselves											
reflexive	3	paucal			the few of themselves											
reflexive	1	plural			ourselves	#	our own									
reflexive	2	plural			all yourselves	#	all of your own									
reflexive	3	plural			themselves	#	their own									
reflexive	1	superplural			the lot of ourselves											
reflexive	2	superplural			the lot of ourselves											
reflexive	3	superplural			the lot of ourselves											
interrogative	1	singular		who	whom	#	whose									
interrogative	1	dual		which two	which two	#	which two's									
interrogative	1	trial		which three	which three	#	which three's									
interrogative	1	paucal		which few	which few	#	which few's									
interrogative	1	plural		who all	whom all	#	whose all									
interrogative	1	superplural		which lot	which lot	#	which lot's									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
