*	*	*	nominative	genitive	dative	accusative	ablative	vocative	locative	emoji	#	declension	ending	etymology	
man	singular	masculine	homō       	hominis    	hominī     	hominem    	homine	homō	homine     	\nx{🧍\cx\gx}	#	3	consonant	latin	# note: words with latin etymology come before those with greek etymology 
man	plural	masculine	hominēs      	hominum      	hominibus    	hominēs      	hominibus    	hominēs      	hominibus    	\nx{🧍\cx\gx}	#	3	consonant	latin	# since they are more common and easier to learn on average.
day	singular		diēs       	diēī       	diēī       	diem       	diē        	diēs       	—	\nx{🏙️}	#	5         	-iēs        	latin    	# declensions are ordered by frequency, so the most useful declensions can be prioritized in case the user quits early          
day	plural		diēs	diērum	diēbus       	diēs         	diēbus       	diēs	—	\nx{🏙️}	#	5         	-iēs        	latin    	
hand       	singular	masculine	manus      	manūs      	manuī      	manum      	manū       	manus      	—	🖐️\cx	#	4         	-us         	latin    	
hand       	plural	masculine	manūs        	manuum       	manibus      	manūs        	manibus      	manūs	—	👐\cx	#	4         	-us         	latin    	
night	singular	feminine	nox        	noctis     	noctī      	noctem     	nocte      	nox        	noctī      	\nx{🌃}	#	3         	mixed -i    	latin    	
night	plural	feminine	noctēs       	noctium      	noctibus     	noctēs       	noctibus     	noctēs       	noctibus     	\nx{🌃}	#	3         	mixed -i    	latin    	
thing      	singular	feminine	rēs        	reī        	reī        	rem        	rē         	rēs        	—	\group{\hi{\nx{🔩}}}	#	5         	-ēs         	latin    	
thing      	plural	feminine	rēs          	rērum        	rēbus        	rēs          	rēbus        	rēs	—	\group{\hi{\nx{🔩}}}	#	5         	-ēs         	latin    	
name       	singular	neuter	nōmen      	nōminis    	nōminī     	nōmen      	nōmine     	nōmen      	nōminī     	\nx{📛}	#	3         	consonant   	latin    	
name       	plural	neuter	nōmina       	nōminum      	nōminibus    	nōmina       	nōminibus    	nōmina       	nōminibus    	\nx{📛}	#	3         	consonant   	latin    	
son        	singular	masculine	fīlius     	fīliī      	fīliō      	fīlium     	fīliō      	fīlī       	—	\nx{🧒\m\cx}	#	2         	-us         	latin    	
son        	plural	masculine	fīliī        	fīliōrum     	fīliīs       	fīliōs       	fīliīs       	fīliī	—	\nx{🧒\m\cx}	#	2         	-us         	latin    	
war        	singular	masculine	bellum     	bellī      	bellō      	bellum     	bellō      	bellum     	bellī      	\nx{\group{\hi{🤼}\mid{🤼}\lo{🤼}}}	#	2         	-um         	latin    	
war        	plural	masculine	bella        	bellōrum     	bellīs       	bella        	bellīs       	bella        	bellīs       	\nx{\group{\hi{🤼}\mid{🤼}\lo{🤼}}}	#	2         	-um         	latin    	
air        	singular	masculine	āēr        	āeris      	āerī       	āera       	āere       	āēr        	āerī       	\nx{💨}	#	3         	-i          	greek    	
air        	plural	masculine	āerēs        	āerum        	āeribus      	āerēs        	āeribus      	āerēs        	āēr        	\nx{💨}	#	3         	-i          	greek    	
boy        	singular	masculine	puer       	puerī      	puerō      	puerum     	puerō      	puer       	—	\nx{🧒\m\cx}	#	2         	-er         	latin    	
boy        	plural	masculine	puerī	puerōrum	puerīs	puerōs	puerīs	puerī	—	\nx{🧒\m\cx}	#	2         	-er         	latin    	
animal     	singular	neuter	animal     	animālis   	animālī    	animal     	animālī    	animal     	animālī    	\nx{🐃}	#	3         	pure -i     	latin    	
animal     	plural	neuter	animālia     	animālium    	animālibus   	animālia     	animālibus   	animālia     	animālibus   	\nx{🐃}	#	3         	pure -i     	latin    	
star       	singular	feminine	stēlla     	stēllae    	stēllae    	stēllam    	stēllā     	stēlla     	—	\group{\hi{\nx{⭐}}}	#	1         	-a          	latin    	
star       	plural	feminine	stēllae      	stēllārum    	stēllīs      	stēllās      	stēllīs      	stēllae	—	\group{\hi{\nx{⭐}}}	#	1         	-a          	latin    	
tower      	singular	feminine	turris     	turris     	turrī      	turrem     	turre      	turris     	turrī      	\nx{🏰}	#	3         	-i          	latin    	
tower      	plural	feminine	turrēs       	turrium      	turribus     	turrēs|turrīs	turribus     	turrēs       	turribus     	\nx{🏰}	#	3         	-i          	latin    	
horn       	singular	neuter	cornū      	cornūs     	cornū      	cornū      	cornū      	cornū      	—	\nx{📯}	#	4         	-ū          	latin    	
