voice	mood	tense	aspect	pre-subject	post-subject	
active	indicative	present	aortist		{verb:present}	
active	indicative	past	aortist		{verb:past}	
active	indicative	future	aortist		will {verb:infinitive}	
active	indicative	present	habitual		{be:present} {verb:imperfect} [for a time]	
active	indicative	past	habitual		used to {verb:infinitive} [for a time]	
active	indicative	future	habitual		will be {verb:imperfect} [for a time]	
active	indicative	present	progressive		{be:present} {verb:imperfect} [for now]	
active	indicative	past	progressive		{be:past} {verb:imperfect} [at that point]	
active	indicative	future	progressive		will be {verb:imperfect} [at that point]	
active	indicative	present	imperfect		{be:present} {verb:imperfect}	
active	indicative	past	imperfect		{be:past} {verb:imperfect}	
active	indicative	future	imperfect		will be {verb:imperfect}	
active	indicative	present	perfect		{have:present} {verb:perfect}	
active	indicative	past	perfect		{have:past} {verb:perfect}	
active	indicative	future	perfect		will have {verb:perfect}	
active	indicative	present	perfect-progressive		{have:present} been {verb:imperfect} 	
active	indicative	past	perfect-progressive		{have:past} been {verb:imperfect}	
active	indicative	future	perfect-progressive		will have been {verb:imperfect}	
active	conditional	present	aortist	[then]	would [now] {verb:infinitive}	
active	conditional	past	aortist	[then]	would [back then] {verb:infinitive}	
active	conditional	future	aortist	[then]	would [soon] {verb:infinitive}	
active	conditional	present	habitual	[then]	would [now] be {verb:imperfect} [for a time]	
active	conditional	past	habitual	[then]	would [back then] be {verb:imperfect} [for a time]	
active	conditional	future	habitual	[then]	would [soon] be {verb:imperfect} [for a time]	
active	conditional	present	progressive	[then]	would [now] be [briefly] {verb:imperfect}	
active	conditional	past	progressive	[then]	would [back then] be [briefly] {verb:imperfect}	
active	conditional	future	progressive	[then]	would [soon] be [briefly] {verb:imperfect}	
active	conditional	present	imperfect	[then]	would [now] be {verb:imperfect}	
active	conditional	past	imperfect	[then]	would [back then] be {verb:imperfect}	
active	conditional	future	imperfect	[then]	would [soon] be {verb:imperfect}	
active	conditional	present	perfect	[then]	would [now] have {verb:perfect}	
active	conditional	present	perfect	[then]	would [back then] have {verb:perfect}	
active	conditional	present	perfect	[then]	would [soon] have {verb:perfect} 	
active	conditional	present	perfect-progressive	[then]	would [now] have been {verb:imperfect} 	
active	conditional	present	perfect-progressive	[then]	would [back then] have been {verb:imperfect}	
active	conditional	present	perfect-progressive	[then]	would [soon] have been {verb:imperfect}	
active	hypothetical	present	aortist	[suppose]	{verb:present}	
active	hypothetical	past	aortist	[suppose]	{verb:past}	
active	hypothetical	future	aortist	[suppose]	will {verb:infinitive}	
active	hypothetical	present	habitual	[suppose]	{be:present} {verb:imperfect} [for a time]	
active	hypothetical	past	habitual	[suppose]	used to {verb:infinitive} [for a time]	
active	hypothetical	future	habitual	[suppose]	will be {verb:imperfect} [for a time]	
active	hypothetical	present	progressive	[suppose]	{be:present} {verb:imperfect} [for now]	
active	hypothetical	past	progressive	[suppose]	{be:past} {verb:imperfect} [at that point]	
active	hypothetical	future	progressive	[suppose]	will be {verb:imperfect} [at that point]	
active	hypothetical	present	imperfect	[suppose]	{be:present} {verb:imperfect}	
active	hypothetical	past	imperfect	[suppose]	{be:past} {verb:imperfect}	
active	hypothetical	future	imperfect	[suppose]	will be {verb:imperfect}	
active	hypothetical	present	perfect	[suppose]	{have:present} {verb:perfect}	
active	hypothetical	past	perfect	[suppose]	{have:past} {verb:perfect}	
active	hypothetical	future	perfect	[suppose]	will have {verb:perfect}	
active	hypothetical	present	perfect-progressive	[suppose]	{have:present} been {verb:imperfect} 	
active	hypothetical	past	perfect-progressive	[suppose]	{have:past} been {verb:imperfect}	
active	hypothetical	future	perfect-progressive	[suppose]	will have been {verb:imperfect}	
active	potential	present	aortist	[maybe]	{verb:infinitive}	
active	potential	past	aortist	[maybe]	{verb:past}	
active	potential	future	aortist	[maybe]	will {verb:infinitive}	
active	potential	present	habitual	[maybe]	{be:present} {verb:imperfect} [for a time]	
active	potential	past	habitual	[maybe]	used to {verb:infinitive} [for a time]	
active	potential	future	habitual	[maybe]	will be {verb:imperfect} [for a time]	
