*	*	*	*	*	#				
	act	associated	direct-object	strong	#			man	multipurpose
	advise	associated	direct-object	man	#			wind	carries men
	arrive	aquired	location	house	#			enemy	captures men
	ask	associated	direct-object	man	#			monster	eats men
	bake	associated	direct-object	food	#			rock	hit, thrown or broken dispassionately
	be	associated	predicate	strong	#			book	read and written
#	be-able			to work	#			water	drunk, swum in
#	be-red				#			horse	something directed or tamed
	be[inherently]	associated	predicate	big	#			food	eaten by men, cooked
	be[momentarily]	associated	predicate	strong	#			work	something that can be done
	beat	associated	direct-object	drum	#			gift	exchanged
	become	associated	predicate	strong	#		place	house	location, interior, property
#	become cold				#			ghost	passes through any object
	burn	associated	direct-object	food	#			guard	captures men
	call	associated	direct-object	man	#			dog	something that can be loved platonically
	capture	associated	direct-object	enemy	#			boat	floats and sinks
#	carry			by wind	#			shirt	cleaned, worn, chosen
	carry	associated	direct-object	rock 	#			rope	can be deformed
	catch	associated	direct-object	enemy	#		door	window	closed, opened, and broken
	choose 	associated	direct-object	shirt	#			name	spoken
	climb	associated	direct-object	rock	#			drum	beaten and makes noise
	close	associated	direct-object	door	#			picture	drawn
	convey	associated	direct-object	idea	#			car	driven
#	cool				#			oath	spoken
#	dance				#			idea	thought and taught
	direct	associated	direct-object	horse	#		well	strong	something you can be momentarily
	do	associated	direct-object	work	#		son	big	something you are inherently
	draw	associated	direct-object	picture	#				
	drink	associated	direct-object	water	#				
	drive	associated	direct-object	horse	#				
	eat	associated	direct-object	food	#				
	fear	associated	direct-object	monster	#				
	feed	associated	direct-object	dog	#				
	find	associated	direct-object	book	#				
	forgive	associated	direct-object	man	#				
	give	associated	direct-object	gift	#				
	go	approached	location	house	#				
	have [in possession]	associated	direct-object	money	#				
#	hear			by guard	#				
	hear	associated	direct-object	drum	#				
	hit	associated	direct-object	drum	#				
	hold	associated	direct-object	rock	#				
	know	associated	direct-object	man	#				
	lead	associated	direct-object	horse	#				
	leave	associated	direct-object	house 	#				
	live	associated	direct-object	well	#				
	lose   	associated	direct-object	money	#				
	love	associated	direct-object	dog	#				
#	may			ride bike to school	#				
	move	associated	direct-object	rock	#				
	part	associated	direct-object	water	#				
	pass for	associated	direct-object	guard	#				
	pay	associated	direct-object	money	#				
#	point-out			way 	#				
	pour	associated	direct-object	water	#				
	protect	associated	direct-object	man	#				
	push	associated	direct-object	rock	#				
	read	associated	direct-object	book	#				
	receive	associated	direct-object	gift	#				
#	release			by guard	#				
	release	associated	direct-object	dog	#				
	renew	associated	direct-object	oath	#				
	return	associated	direct-object	book	#				
	row	associated	direct-object	boat	#				
	say	associated	direct-object	name	#				
	see	associated	direct-object	man	#				
#	set-down			by wind	#				
	set-down	associated	direct-object	rock	#				
	sew	associated	direct-object	shirt	#				
	share	associated	direct-object	food	#				
	sink	associated	direct-object	boat	#				
#	sit				#				
	speak  	associated	direct-object	name	#				
#	spit				#				
#	startle				#				
	steal	associated	direct-object	money	#				
	stretch	associated	direct-object	rope	#				
#	strike				#				
	strike	associated	direct-object	rock	#				
	sweep	associated	direct-object	house	#				
	swim	associated	medium	water	#				
	tame	associated	direct-object	horse	#				
	teach	associated	direct-object	idea	#				
	think	associated	direct-object	idea	#				
#	want			to fight	#				
	want-to-see	associated	direct-object	house 	#				
	wash	associated	direct-object	shirt	#				
	wind	associated	direct-object	rope	#				
#	work				#				
	write	associated	direct-object	book	#				
