*	*	*	*	*	*	*	*	*	*	*	english	old-english	classical-latin	attic-greek	proto-indo-european	russian	russian	sanksrit	sanksrit	middle-egyptian	middle-egyptian																															
*	*	*	*	*	*	*	*	*	*	*	latin	latin	latin	greek	latin	latin	cyrillic	latin	devanagari	heiroglyphs	latin																															
	be		active	present	indicative	simple	familiar	1	singular	transitive	am	eom	sum	εἰμῐ́ 	h₁ésmi 	есмь	jesʲmʲ	अस्मि	asmi	∅	∅	# for nominatives of all kinds																														
	be		active	present	indicative	simple	familiar	2	singular	transitive	are	eart	es	εἶ 	h₁ési 	еси́	jɪˈsʲi	असि	asi	∅	∅																															
	be		active	present	indicative	simple	familiar	3	singular	transitive	is	is	est	ἐστί/ἐστίν 	h₁ésti 	есть	jesʲtʲ	अस्ति	asti	∅	∅																															
	be		active	present	indicative	simple	familiar	1	dual	transitive	are	sind	sumus	—	h₁swós	есмы́	jɪˈsmɨ	स्वः	svaḥ	∅	∅																															
	be		active	present	indicative	simple	familiar	2	dual	transitive	are	sind	estis	ἐστόν 	h₁stés 	е́сте	ˈjesʲtʲɪ	स्थः	sthaḥ	∅	∅																															
	be		active	present	indicative	simple	familiar	3	dual	transitive	are	sind	sunt	ἐστόν 	h₁stés 	суть	ˈsutʲ	स्तः	staḥ	∅	∅																															
	be		active	present	indicative	simple	familiar	1	plural	transitive	are	sind	sumus	ἐσμέν 	h₁smós 	есмы́	jɪˈsmɨ	स्मः	smaḥ	∅	∅																															
	be		active	present	indicative	simple	familiar	2	plural	transitive	are	sind	estis	ἐστέ 	h₁sté 	е́сте	ˈjesʲtʲɪ	स्थ	stha	∅	∅																															
	be		active	present	indicative	simple	familiar	3	plural	transitive	are	sind	sunt	εἰσί/εἰσίν	h₁sénti 	суть	ˈsutʲ	सन्ति	santi	∅	∅																															
	come	122	active	present	indicative	simple	familiar	1	singular	intransitive	come	ancume	adveniō	ῑ̔́κω	?gʷḗmi	дохожу́	doxožú	गच्छामि	gacchāmi	𓇍𓇋𓂻	ii	# for times and events in nominative, among other uses																														
	come	122	active	present	indicative	simple	familiar	2	singular	intransitive	come	ancymest	advenīs	ῑ̔́κεις	?gʷémsi	дохо́дишь	doxódišʹ	गच्छसि	gacchasi	𓇍𓇋𓂻	ii																															
	come	122	active	present	indicative	simple	familiar	3	singular	intransitive	comes	ancymeþ	advenit	ῑ̔́κει	?gʷémti	дохо́дит	doxódit	गच्छति	gacchati	𓇍𓇋𓂻	ii																															
	come	122	active	present	indicative	simple	familiar	1	dual	intransitive	come	ancumaþ	advenīmus	ῑ̔́κομεν	?gʷm̥wós 	дохо́дим	doxódim	गच्छावः	gacchāvaḥ	𓇍𓇋𓂻	ii																															
	come	122	active	present	indicative	simple	familiar	2	dual	intransitive	come	ancumaþ	advenītis	ῑ̔́κετον	?gʷm̥tés	дохо́дите	doxódite	गच्छथः	gacchathaḥ	𓇍𓇋𓂻	ii																															
	come	122	active	present	indicative	simple	familiar	3	dual	intransitive	come	ancumaþ	adveniunt	ῑ̔́κετον	?gʷm̥tés	дохо́дят	doxódjat	गच्छतः	gacchataḥ	𓇍𓇋𓂻	ii																															
	come	122	active	present	indicative	simple	familiar	1	plural	intransitive	come	ancumaþ	advenīmus	ῑ̔́κομεν	?gʷm̥mós	дохо́дим	doxódim	गच्छामः	gacchāmaḥ	𓇍𓇋𓂻	ii																															
	come	122	active	present	indicative	simple	familiar	2	plural	intransitive	come	ancumaþ	advenītis	ῑ̔́κετε	?gʷm̥té	дохо́дите	doxódite	गच्छथ	gacchatha	𓇍𓇋𓂻	ii																															
	come	122	active	present	indicative	simple	familiar	3	plural	intransitive	come	ancumaþ	adveniunt	ῑ̔́κουσῐ(ν)	?gʷménti	дохо́дят	doxódjat	गच्छन्ति	gacchanti	𓇍𓇋𓂻	ii																															
	walk	121	active	present	indicative	simple	familiar	1	singular	intransitive	walk	gā	ambulō	βαίνω	?gʰredʰyóh₂	хожу́	xožú	calāmi	चलामि	𓂧𓎼𓄿𓋴𓂾𓂻	dgs	# for physical things in dative, ablative, and locative																														
	walk	121	active	present	indicative	simple	familiar	2	singular	intransitive	walk	gǣst	ambulās	βαίνεις	?gʰredʰyési	хо́дишь	xódišʹ	calasi	चलसि	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	walk	121	active	present	indicative	simple	familiar	3	singular	intransitive	walks	gǣþ	ambulat	βαίνει	?gʰredʰyéti	хо́дит	xódit	calati	चलति	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	walk	121	active	present	indicative	simple	familiar	1	dual	intransitive	walk	gāþ	ambulāmus	βαίνομεν	?gʰredʰyówos	хо́дим	xódim	calāvaḥ	चलावः	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	walk	121	active	present	indicative	simple	familiar	2	dual	intransitive	walk	gāþ	ambulātis	βαίνετον	?gʰredʰyétes	хо́дите	xódite	calathaḥ	चलथः	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	walk	121	active	present	indicative	simple	familiar	3	dual	intransitive	walk	gāþ	ambulant	βαίνετον	?gʰredʰyétes	хо́дят	xódjat	calataḥ	चलतः	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	walk	121	active	present	indicative	simple	familiar	1	plural	intransitive	walk	gāþ	ambulāmus	βαίνομεν	?gʰredʰyómos	хо́дим	xódim	calāmaḥ	चलामः	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	walk	121	active	present	indicative	simple	familiar	2	plural	intransitive	walk	gāþ	ambulātis	βαίνετε	?gʰredʰyéte	хо́дите	xódite	calatha	चलथ	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	walk	121	active	present	indicative	simple	familiar	3	plural	intransitive	walk	gāþ	ambulant	βαίνουσῐ(ν)	?gʰredʰyónti	хо́дят	xódjat	calanti	चलन्ति	𓂧𓎼𓄿𓋴𓂾𓂻	dgs																															
	see	101	active	present	indicative	simple	familiar	1	singular	transitive	see	sēo	videō	εἶδον	wóydh₂e 	ви́жу	vížu	पश्यामि	paśyāmi	𓊪𓏏𓂋𓁻	ptr	# for observables in accusative																														
	see	101	active	present	indicative	simple	familiar	2	singular	transitive	see	siehst	vidēs	εἶδες	wóydth₂e 	ви́дишь	vídišʹ	पश्यसि	paśyasi	𓊪𓏏𓂋𓁻	ptr																															
	see	101	active	present	indicative	simple	familiar	3	singular	transitive	sees	siehþ	videt	εἶδε(ν)	wóyde 	ви́дит	vídit	पश्यति	paśyati	𓊪𓏏𓂋𓁻	ptr																															
	see	101	active	present	indicative	simple	familiar	1	dual	transitive	see	sēoþ	vidēmus	εἴδομεν	widwé 	ви́дим	vídim	पश्यावः	paśyāvaḥ	𓊪𓏏𓂋𓁻	ptr																															
	see	101	active	present	indicative	simple	familiar	2	dual	transitive	see	sēoþ	vidētis	εἴδετον	—	ви́дите	vídite	पश्यथः	paśyathaḥ	𓊪𓏏𓂋𓁻	ptr																															
	see	101	active	present	indicative	simple	familiar	3	dual	transitive	see	sēoþ	vident	εἰδέτην	—	ви́дят	vídjat	पश्यतः	paśyataḥ	𓊪𓏏𓂋𓁻	ptr																															
	see	101	active	present	indicative	simple	familiar	1	plural	transitive	see	sēoþ	vidēmus	εἴδομεν	widmé 	ви́дим	vídim	पश्यामः	paśyāmaḥ	𓊪𓏏𓂋𓁻	ptr																															
	see	101	active	present	indicative	simple	familiar	2	plural	transitive	see	sēoþ	vidētis	εἴδετε	widé 	ви́дите	vídite	पश्यथ	paśyatha	𓊪𓏏𓂋𓁻	ptr																															
	see	101	active	present	indicative	simple	familiar	3	plural	transitive	see	sēoþ	vident	εἶδον	widḗr 	ви́дят	vídjat	पश्यन्ति	paśyanti	𓊪𓏏𓂋𓁻	ptr																															
	hear	102	active	present	indicative	simple	familiar	1	singular	transitive	hear	ġehīere	audiō	κλῠ́ω	ḱlēm	слы́шу	slýšu	शृणोमि	śṛṇomi	𓋴𓂸𓏏𓂈	smt	# for audibles in accusative																														
	hear	102	active	present	indicative	simple	familiar	2	singular	transitive	hear	ġehīerest	audīs	κλῠ́εις	ḱlews	слы́шишь	slýšišʹ	शृणोषि	śṛṇoṣi	𓋴𓂸𓏏𓂈	smt																															
	hear	102	active	present	indicative	simple	familiar	3	singular	transitive	hears	ġehīereþ	audit	κλῠ́ει	ḱlewt	слы́шит	slýšit	शृणोति	śṛṇoti	𓋴𓂸𓏏𓂈	smt																															
	hear	102	active	present	indicative	simple	familiar	1	dual	transitive	hear	ġehīeraþ	audīmus	κλῠ́ομεν	ḱluwé	слы́шим	slýšim	शृणुवः	śṛṇuvaḥ	𓋴𓂸𓏏𓂈	smt																															
	hear	102	active	present	indicative	simple	familiar	2	dual	transitive	hear	ġehīeraþ	audītis	κλῠ́ετον	ḱlutóm	слы́шите	slýšite	शृणुथः	śṛṇuthaḥ	𓋴𓂸𓏏𓂈	smt																															
	hear	102	active	present	indicative	simple	familiar	3	dual	transitive	hear	ġehīeraþ	audiunt	κλῠ́ετον	ḱlutā́m	слы́шат	slýšat	शृणुतः	śṛṇutaḥ	𓋴𓂸𓏏𓂈	smt																															
	hear	102	active	present	indicative	simple	familiar	1	plural	transitive	hear	ġehīeraþ	audīmus	κλῠ́ομεν	ḱlumé	слы́шим	slýšim	शृणुमः	śṛṇumaḥ	𓋴𓂸𓏏𓂈	smt																															
	hear	102	active	present	indicative	simple	familiar	2	plural	transitive	hear	ġehīeraþ	audītis	κλῠ́ετε	ḱluté	слы́шите	slýšite	शृणुथ	śṛṇutha	𓋴𓂸𓏏𓂈	smt																															
	hear	102	active	present	indicative	simple	familiar	3	plural	transitive	hear	ġehīeraþ	audiunt	κλῠ́ουσῐ(ν)	ḱl̥wént 	слы́шат	slýšat	शृण्वन्ति	śṛṇvanti	𓋴𓂸𓏏𓂈	smt																															
	direct		active	present	indicative	simple	familiar	1	singular	transitive	direct	stīere	dūcō	εὐθῡ́νω	déwkmi	направля́ю	vnimaniye	राजामि	rājāmi	𓌴𓐙𓂣𓂻	mꜣꜥ 	# a catch all for directing attention to/from/near observables, audibles, concepts, and really anything																														
	direct		active	present	indicative	simple	familiar	2	singular	transitive	direct	stīerest	dūcis	εὐθῡ́νεις	déwksi	направля́ешь	vnimaniye	राजसि	rājasi	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# russian translation is closer to ""aim"""																														
	direct		active	present	indicative	simple	familiar	3	singular	transitive	directs	stīereþ	dūcit	εὐθῡ́νει	déwkti	направля́ет	vnimaniye	राजति	rājati	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# old english translation is closer to ""steer"""																														
	direct		active	present	indicative	simple	familiar	1	dual	transitive	direct	stīeraþ	dūcimus	εὐθῡ́νομεν	dukwós	направля́ем	vnimaniye	राजावः	rājāvaḥ	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# sanskrit translation is closer to ""lead"""																														
	direct		active	present	indicative	simple	familiar	2	dual	transitive	direct	stīeraþ	dūcitis	εὐθῡ́νετον	duktés	направля́ете	vnimaniye	राजथः	rājathaḥ	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# PIE translation is closer to ""pull"" or ""lead"""																														
	direct		active	present	indicative	simple	familiar	3	dual	transitive	direct	stīeraþ	dūcunt	εὐθῡ́νετον	duktés	направля́ют	vnimaniye	राजतः	rājataḥ	𓌴𓐙𓂣𓂻	mꜣꜥ 	"# greek translation is closer to ""straighten"""																														
	direct		active	present	indicative	simple	familiar	1	plural	transitive	direct	stīeraþ	dūcimus	εὐθῡ́νομεν	dukmós	направля́ем	vnimaniye	राजामः	rājāmaḥ	𓌴𓐙𓂣𓂻	mꜣꜥ 																															
	direct		active	present	indicative	simple	familiar	2	plural	transitive	direct	stīeraþ	dūcitis	εὐθῡ́νετε	dukté	направля́ете	vnimaniye	राजथ	rājatha	𓌴𓐙𓂣𓂻	mꜣꜥ 																															
	direct		active	present	indicative	simple	familiar	3	plural	transitive	direct	stīeraþ	dūcunt	εὐθῡ́νουσῐ(ν)	dukénti	направля́ют	vnimaniye	राजन्ति	rājanti	𓌴𓐙𓂣𓂻	mꜣꜥ 																															
#	speak	104	active	present	indicative	simple	familiar	1	singular	intransitive	speak	sprece	for	λᾰλέω	?dḗyḱsmi	говорю́	govorjú	भाषामि	bhāṣāmi	𓆓𓂋	ḏd	# for propositional case only																														
#	speak	104	active	present	indicative	simple	familiar	2	singular	intransitive	speak	spricst	fāris, 	λᾰλέεις	?dḗyḱssi 	говори́шь	govoríšʹ	भाषसि	bhāṣasi	𓆓𓂋	ḏd																															
#	speak	104	active	present	indicative	simple	familiar	3	singular	intransitive	speaks	spricþ	fātur	λᾰλέει	?dḗyḱsti	говори́т	govorít	भाषति	bhāṣati	𓆓𓂋	ḏd																															
#	speak	104	active	present	indicative	simple	familiar	1	dual	intransitive	speak	sprecaþ	fāmur	λᾰλέομεν	?dḗyḱswós	говори́м	govorím	भाषावः	bhāṣāvaḥ	𓆓𓂋	ḏd																															
#	speak	104	active	present	indicative	simple	familiar	2	dual	intransitive	speak	sprecaþ	fāminī	λᾰλέετον	?dḗyḱstés 	говори́те	govoríte	भाषथः	bhāṣathaḥ	𓆓𓂋	ḏd																															
#	speak	104	active	present	indicative	simple	familiar	3	dual	intransitive	speak	sprecaþ	fantur	λᾰλέετον	?dḗyḱstés 	говоря́т	govorját	भाषतः	bhāṣataḥ	𓆓𓂋	ḏd																															
#	speak	104	active	present	indicative	simple	familiar	1	plural	intransitive	speak	sprecaþ	fāmur	λᾰλέομεν	?dḗyḱsmós 	говори́м	govorím	भाषामः	bhāṣāmaḥ	𓆓𓂋	ḏd																															
#	speak	104	active	present	indicative	simple	familiar	2	plural	intransitive	speak	sprecaþ	fāminī	λᾰλέετε	?dḗyḱsté 	говори́те	govoríte	भाषथ	bhāṣatha	𓆓𓂋	ḏd																															
