,,,alignment
x,indo-european,pashto: split alignment,S/O
x,uralic,"samoyedic: evidentiality, ergativity",
x,semitic,"arabic: dual, nonstandard gender, inflected definiteness",
,yukaghir,,
,turkic,,
,mongolic,,
,dravidian,,
,kartvelian,georgian: tripartite alignment,
,north caucasian,tsez: declension,
,chukchi-kamchatkan,,
,yeniseian,,
,na-dene,navajo: aspect,
,eskimo,aggultination,
,algonquian,agglutinating,
,iroquoian,,
,siouan,,
,muskogean,,
,yuman,,
,aztecan,,
,cariban,,
,quechuan,,
,tupian,,
,je,,
,mayan,aggultination,
x,egyptian,copulative statements,
,nilo-saharan,,
,niger-congo,"gbe: topic, focus",
,khoisan,,
,sino-tibetan,,
,mon-khmer,,
,thai-kadai,,
,burushaski,,
,kusundra,,
,nahali,,
,nivkh,,
,korean,aggultination,
,japanese,topic markers,
,ainu,,
,elamite,,
,sumerian,split alignment,
,basque,ergativity,
,siraha,"aggultination, evidentiality",
,austronesian,,
,munda,,
,miao-yao,,
,andaman,,
,papuan,,
,australian,,
,,,
