*	*	*	organization	sapient	carnivore	herbivore	fruitivore	granivore	pescavore	seacreature	plant	bodypart	bodyfluid	viscera	food	item	fixture	liquid	gas	event	location	side	surface	interior	heat-source	visible	audible	vice	virtue	size	quality	quantity	manner	reason	concept	#						
#			army	man	monster/dog	horse				fish	tree	hand	blood	heart	food	rope		water	air	day	house	house	house	house	fire	fire	drum								idea	#						
#			1	47						1	2	5		2	6	14		2	2	10	4		3	10		12	4	2							6	#					woman	
stimulus	addressee	intransitive	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	#						
location	verb-modifier	intransitive		walk	walk	walk	walk	walk	walk	swim	walk	walk	walk	walk	walk	walk	walk	swim		walk	walk	walk	walk	walk												#					animal	
extent	verb-modifier	intransitive		walk	walk	walk	walk	walk	walk	swim	walk	walk	walk	walk	walk	walk	walk	swim		walk	walk	walk	walk	walk												#						
vicinity	verb-modifier	intransitive		walk	walk	walk	walk	walk	walk	swim	walk	walk	walk	walk	walk	walk	walk	swim		walk	walk	walk	walk	walk												#					arrow	
side	verb-modifier	intransitive		rest	rest	rest	rest	rest	rest	rest	rest	rest	rest	rest	rest	rest	rest			rest	rest	rest	rest	rest	warm											#	man	swim	∅		fire	
interior	verb-modifier	intransitive		flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	rest	rest	rest	rest	walk	warm											#	bird	fly	∅		ice	
medium	verb-modifier	intransitive		flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	swim	fly						warm											#	treasure	rest	∅		food	
subsurface	verb-modifier	intransitive		flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	flow	rest	fly	rest	rest	rest	rest	rest												#	man	walk	∅		"bird	"	
surface	verb-modifier	intransitive		crawl	crawl	crawl	crawl	crawl	crawl	crawl	crawl	crawl	crawl	crawl	crawl	crawl	crawl	float	fly		walk	walk	walk	walk												#	man	rest	∅		bird	
presence	verb-modifier	intransitive		work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	#	arrow	"rest	"	∅		place	
aid	verb-modifier	intransitive		work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	#	man	direct	attention			
lack	verb-modifier	intransitive		work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	#	man	work	∅		son	
interest	verb-modifier	intransitive		work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	#	man	resemble	∅		daughter	
purpose	verb-modifier	intransitive		work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	#	man	eat	food		livestock	
time	verb-modifier	intransitive																		work																#	man	endure	fire		name	
state-of-being	verb-modifier	intransitive		work	work	work	work	work	work	work																										#	fire	warm	man		amount	
company	verb-modifier	intransitive		work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work	work										#	ice	cool	man		size	
topic	verb-modifier	intransitive																																		#	man	fall	∅		noise	
possession	verb-modifier	intransitive		come																																#	man	change	∅			
resemblance	verb-modifier	intransitive		resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	resemble	#	man	occupy	place		good	
location	verb-modifier	transitive																	direct						direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	#	man	show	∅		bad	
extent	verb-modifier	transitive																	direct						direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	#	man	see	∅		big	
vicinity	verb-modifier	transitive																	direct						direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	direct	#	man	watch	∅		long	
side	verb-modifier	transitive																																		#	man	startle	∅		well	
interior	verb-modifier	transitive																																		#	man	displease	∅			
medium	verb-modifier	transitive																																		#	man	appear	∅		his	
