animal	Second declension of τὸ ζῷον; τοῦ ζῴου (Attic)	case / #		singular		dual		plural																					
animal	Second declension of τὸ ζῷον; τοῦ ζῴου (Attic)	nominative		τὸ ζῷον	tò zôion	τὼ ζῴω	tṑ zṓiō	τᾰ̀ ζῷᾰ	tà zôia																				
animal	Second declension of τὸ ζῷον; τοῦ ζῴου (Attic)	genitive		τοῦ ζῴου	toû zṓiou	τοῖν ζῴοιν	toîn zṓioin	τῶν ζῴων	tôn zṓiōn																				
animal	Second declension of τὸ ζῷον; τοῦ ζῴου (Attic)	dative		τῷ ζῴῳ	tôi zṓiōi	τοῖν ζῴοιν	toîn zṓioin	τοῖς ζῴοις	toîs zṓiois																				
animal	Second declension of τὸ ζῷον; τοῦ ζῴου (Attic)	accusative		τὸ ζῷον	tò zôion	τὼ ζῴω	tṑ zṓiō	τᾰ̀ ζῷᾰ	tà zôia																				
animal	Second declension of τὸ ζῷον; τοῦ ζῴου (Attic)	vocative		ζῷον	zôion	ζῴω	zṓiō	ζῷᾰ	zôia																				
animal	Second declension of τὸ ζῷον; τοῦ ζῴου (Attic)	notes:		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.	
attention	Third declension of ἡ φροντῐ́ς; τῆς φροντῐ́δος (Attic)	case / #		singular		dual		plural																					
attention	Third declension of ἡ φροντῐ́ς; τῆς φροντῐ́δος (Attic)	nominative		ἡ φροντῐ́ς	hē phrontís	τὼ φροντῐ́δε	tṑ phrontíde	αἱ φροντῐ́δες	hai phrontídes																				
attention	Third declension of ἡ φροντῐ́ς; τῆς φροντῐ́δος (Attic)	genitive		τῆς φροντῐ́δος	tês phrontídos	τοῖν φροντῐ́δοιν	toîn phrontídoin	τῶν φροντῐ́δων	tôn phrontídōn																				
attention	Third declension of ἡ φροντῐ́ς; τῆς φροντῐ́δος (Attic)	dative		τῇ φροντῐ́δῐ	têi phrontídi	τοῖν φροντῐ́δοιν	toîn phrontídoin	ταῖς φροντῐ́σῐ / φροντῐ́σῐν	taîs phrontísi(n)																				
attention	Third declension of ἡ φροντῐ́ς; τῆς φροντῐ́δος (Attic)	accusative		τὴν φροντῐ́δᾰ	tḕn phrontída	τὼ φροντῐ́δε	tṑ phrontíde	τᾱ̀ς φροντῐ́δᾰς	tā̀s phrontídas																				
attention	Third declension of ἡ φροντῐ́ς; τῆς φροντῐ́δος (Attic)	vocative		φροντῐ́ς	phrontís	φροντῐ́δε	phrontíde	φροντῐ́δες	phrontídes																				
attention	Third declension of ἡ φροντῐ́ς; τῆς φροντῐ́δος (Attic)	notes:		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-ds.	-s
bird	Third declension of ὁ, ἡ ὄρνῑς; τοῦ, τῆς ὄρνῑθος (Attic)	case / #		singular		dual		plural																					
bird	Third declension of ὁ, ἡ ὄρνῑς; τοῦ, τῆς ὄρνῑθος (Attic)	nominative		ὁ, ἡ ὄρνῑς	ho, hē órnīs	τὼ ὄρνῑθε	tṑ órnīthe	οἱ, αἱ ὄρνῑθες	hoi, hai órnīthes																				
bird	Third declension of ὁ, ἡ ὄρνῑς; τοῦ, τῆς ὄρνῑθος (Attic)	genitive		τοῦ, τῆς ὄρνῑθος	toû, tês órnīthos	τοῖν ὀρνῑ́θοιν	toîn ornī́thoin	τῶν ὀρνῑ́θων	tôn ornī́thōn																				
bird	Third declension of ὁ, ἡ ὄρνῑς; τοῦ, τῆς ὄρνῑθος (Attic)	dative		τῷ, τῇ ὄρνῑθῐ	tôi, têi órnīthi	τοῖν ὀρνῑ́θοιν	toîn ornī́thoin	τοῖς, ταῖς ὄρνῑσῐ / ὄρνῑσῐν	toîs, taîs órnīsi(n)																				
bird	Third declension of ὁ, ἡ ὄρνῑς; τοῦ, τῆς ὄρνῑθος (Attic)	accusative		τὸν, τὴν ὄρνῑν / ὄρνῑθα	tòn, tḕn órnīn / órnītha	τὼ ὄρνῑθε	tṑ órnīthe	τοὺς, τᾱ̀ς ὄρνῑθᾰς	toùs, tā̀s órnīthas																				
bird	Third declension of ὁ, ἡ ὄρνῑς; τοῦ, τῆς ὄρνῑθος (Attic)	vocative		ὄρνῑ	órnī	ὄρνῑθε	órnīthe	ὄρνῑθες	órnīthes																				
bird	Third declension of ὁ, ἡ ὄρνῑς; τοῦ, τῆς ὄρνῑθος (Attic)	notes:		This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s	This table gives Attic inflectional endings. For declension in other dialects, see Appendix:Ancient Greek dialectal declension.Nominative singular -ς () arose by reduction of the original cluster *-tʰs.	-s
boat	Irregular declension of ἡ ναῦς; τῆς νεώς (Attic)	case / #		singular		dual		plural																					
boat	Irregular declension of ἡ ναῦς; τῆς νεώς (Attic)	nominative		ἡ ναῦς	hē naûs	τὼ νῆε	tṑ nêe	αἱ νῆες	hai nêes																				
