appear	   Present: εἴδομαι 	number	number	singular	singular	singular	dual	dual	plural	plural	plural				
appear	   Present: εἴδομαι 			first	second	third	second	third	first	second	third				
appear	   Present: εἴδομαι 	middle/passive	indicative	εἴδομαι	εἴδῃ,εἴδει	εἴδεται	εἴδεσθον	εἴδεσθον	εἰδόμεθᾰ	εἴδεσθε	εἴδονται				
appear	   Present: εἴδομαι 	middle/passive	subjunctive	εἴδωμαι	εἴδῃ	εἴδηται	εἴδησθον	εἴδησθον	εἰδώμεθᾰ	εἴδησθε	εἴδωνται				
appear	   Present: εἴδομαι 	middle/passive	optative	εἰδοίμην	εἴδοιο	εἴδοιτο	εἴδοισθον	εἰδοίσθην	εἰδοίμεθᾰ	εἴδοισθε	εἴδοιντο				
appear	   Present: εἴδομαι 	middle/passive	imperative	 	εἴδου	εἰδέσθω	εἴδεσθον	εἰδέσθων	 	εἴδεσθε	εἰδέσθων				
appear	   Present: εἴδομαι 							middle/passive	middle/passive	middle/passive	middle/passive				
appear	   Present: εἴδομαι 	infinitive	infinitive					εἴδεσθαι	εἴδεσθαι	εἴδεσθαι	εἴδεσθαι				
appear	   Present: εἴδομαι 	participle	m					εἰδόμενος	εἰδόμενος	εἰδόμενος	εἰδόμενος				
appear	   Present: εἴδομαι 	participle	f					εἰδομένη	εἰδομένη	εἰδομένη	εἰδομένη				
appear	   Present: εἴδομαι 	participle	n					εἰδόμενον	εἰδόμενον	εἰδόμενον	εἰδόμενον				
appear	   Present: εἴδομαι 	notes:	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.
appear	   Aorist: εἰσᾰ́μην 	number	number	singular	singular	singular	dual	dual	plural	plural	plural				
appear	   Aorist: εἰσᾰ́μην 			first	second	third	second	third	first	second	third				
appear	   Aorist: εἰσᾰ́μην 	middle	indicative	εἰσᾰ́μην	εἴσω	εἴσᾰτο	εἴσᾰσθον	εἰσᾰ́σθην	εἰσᾰ́μεθᾰ	εἴσᾰσθε	εἴσᾰντο				
appear	   Aorist: εἰσᾰ́μην 	middle	subjunctive	εἴσωμαι	εἴσῃ	εἴσηται	εἴσησθον	εἴσησθον	εἰσώμεθᾰ	εἴσησθε	εἴσωνται				
appear	   Aorist: εἰσᾰ́μην 	middle	optative	εἰσαίμην	εἴσαιο	εἴσαιτο	εἴσαισθον	εἰσαίσθην	εἰσαίμεθᾰ	εἴσαισθε	εἴσαιντο				
appear	   Aorist: εἰσᾰ́μην 	middle	imperative	 	εἶσαι	εἰσᾰ́σθω	εἴσᾰσθον	εἰσᾰ́σθων	 	εἴσᾰσθε	εἰσᾰ́σθων				
appear	   Aorist: εἰσᾰ́μην 						middle	middle							
appear	   Aorist: εἰσᾰ́μην 	infinitive	infinitive				εἴσᾰσθαι	εἴσᾰσθαι							
appear	   Aorist: εἰσᾰ́μην 	participle	m				εἰσᾰ́μενος	εἰσᾰ́μενος							
appear	   Aorist: εἰσᾰ́μην 	participle	f				εἰσᾰμένη	εἰσᾰμένη							
appear	   Aorist: εἰσᾰ́μην 	participle	n				εἰσᾰ́μενον	εἰσᾰ́μενον							
appear	   Aorist: εἰσᾰ́μην 	notes:	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.	This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.
appear	   Aorist: ἐεισᾰ́μην (Epic)	number	number	singular	singular	singular	dual	dual	plural	plural	plural				
appear	   Aorist: ἐεισᾰ́μην (Epic)			first	second	third	second	third	first	second	third				
appear	   Aorist: ἐεισᾰ́μην (Epic)	middle	indicative	ἐεισᾰ́μην	ἐείσω	ἐείσᾰτο	ἐείσᾰσθον	ἐεισᾰ́σθην	ἐεισᾰ́με(σ)θᾰ	ἐείσᾰσθε	ἐείσᾰντο				
appear	   Aorist: ἐεισᾰ́μην (Epic)	middle	subjunctive	ἐείσωμαι,ἐεισώμαιμῐ	ἐείσηαι,ἐείσηαι	ἐείσηται,ἐεισήταισῐ	ἐείσησθον	ἐείσησθον	ἐεισώμε(σ)θᾰ	ἐείσησθε	ἐείσωνται				
appear	   Aorist: ἐεισᾰ́μην (Epic)	middle	optative	ἐεισαίμην	ἐείσαιο	ἐείσαιτο	ἐείσαισθον	ἐεισαίσθην	ἐεισαίμε(σ)θᾰ	ἐείσαισθε	ἐεισαίᾰτο				
appear	   Aorist: ἐεισᾰ́μην (Epic)	middle	imperative	 	ἔεισαι	ἐεισᾰ́σθω	ἐείσᾰσθον	ἐεισᾰ́σθων	 	ἐείσᾰσθε	ἐεισᾰ́σθων				
appear	   Aorist: ἐεισᾰ́μην (Epic)						middle	middle							
appear	   Aorist: ἐεισᾰ́μην (Epic)	infinitive	infinitive				ἐείσᾰσθαι	ἐείσᾰσθαι							
appear	   Aorist: ἐεισᾰ́μην (Epic)	participle	m				ἐεισᾰ́μενος	ἐεισᾰ́μενος							
appear	   Aorist: ἐεισᾰ́μην (Epic)	participle	f				ἐεισᾰμένη	ἐεισᾰμένη							
appear	   Aorist: ἐεισᾰ́μην (Epic)	participle	n				ἐεισᾰ́μενον	ἐεισᾰ́μενον							
