case            	person	gender   	plurality	declension                	
nominative        	1     	neuter   	singular 	I                         
accusative        	1     	neuter   	singular 	me                        
reflexive         	1     	neuter   	singular 	myself                    
emphatic-reflexive	1     	neuter   	singular 	my<i>self</i>             
genitive          	1     	neuter   	singular 	mine                      
ablative          	1     	neuter   	singular 	me                        
dative            	1     	neuter   	singular 	me                        
instrumental      	1     	neuter   	singular 	me                        
locative          	1     	neuter   	singular 	me                        
vocative          	1     	neuter   	singular 	me                        
nominative        	1     	masculine	singular 	I♂                        
accusative        	1     	masculine	singular 	me♂                       
reflexive         	1     	masculine	singular 	myself♂                   
emphatic-reflexive	1     	masculine	singular 	my<i>self</i>♂            
genitive          	1     	masculine	singular 	mine♂                     
ablative          	1     	masculine	singular 	me♂                       
dative            	1     	masculine	singular 	me♂                       
instrumental      	1     	masculine	singular 	me♂                       
locative          	1     	masculine	singular 	me♂                       
vocative          	1     	masculine	singular 	me♂                       
nominative        	1     	feminine 	singular 	I♀                        
accusative        	1     	feminine 	singular 	me♀                       
reflexive         	1     	feminine 	singular 	myself♀                   
emphatic-reflexive	1     	feminine 	singular 	my<i>self</i>♀            
genitive          	1     	feminine 	singular 	mine♀                     
ablative          	1     	feminine 	singular 	me♀                       
dative            	1     	feminine 	singular 	me♀                       
instrumental      	1     	feminine 	singular 	me♀                       
locative          	1     	feminine 	singular 	me♀                       
vocative          	1     	feminine 	singular 	me♀                       
nominative        	1     	neuter   	dual     	we both                   
accusative        	1     	neuter   	dual     	both of us                
reflexive         	1     	neuter   	dual     	both of ourselves         
emphatic-reflexive	1     	neuter   	dual     	both of our<i>selves</i>  
genitive          	1     	neuter   	dual     	both of ours              
ablative          	1     	neuter   	dual     	both of us                
dative            	1     	neuter   	dual     	both of us                
instrumental      	1     	neuter   	dual     	both of us                
locative          	1     	neuter   	dual     	both of us                
vocative          	1     	neuter   	dual     	both of us                
nominative        	1     	masculine	dual     	we both♂                  
accusative        	1     	masculine	dual     	both of us♂               
reflexive         	1     	masculine	dual     	both of ourselves♂        
emphatic-reflexive	1     	masculine	dual     	both of our<i>selves</i>♂ 
genitive          	1     	masculine	dual     	both of ours♂             
ablative          	1     	masculine	dual     	both of us♂               
dative            	1     	masculine	dual     	both of us♂               
instrumental      	1     	masculine	dual     	both of us♂               
locative          	1     	masculine	dual     	both of us♂               
vocative          	1     	masculine	dual     	both of us♂               
nominative        	1     	feminine 	dual     	we both♀                  
accusative        	1     	feminine 	dual     	both of us♀               
reflexive         	1     	feminine 	dual     	both of ourselves♀        
emphatic-reflexive	1     	feminine 	dual     	both of our<i>selves</i>♀ 
genitive          	1     	feminine 	dual     	both of ours♀             
ablative          	1     	feminine 	dual     	both of us♀               
dative            	1     	feminine 	dual     	both of us♀               
instrumental      	1     	feminine 	dual     	both of us♀               
locative          	1     	feminine 	dual     	both of us♀               
vocative          	1     	feminine 	dual     	both of us♀               
nominative        	1     	neuter   	plural   	we                        
accusative        	1     	neuter   	plural   	us                        
reflexive         	1     	neuter   	plural   	ourselves                 
emphatic-reflexive	1     	neuter   	plural   	our<i>selves</i>          
genitive          	1     	neuter   	plural   	ours                      
ablative          	1     	neuter   	plural   	us                        
dative            	1     	neuter   	plural   	us                        
instrumental      	1     	neuter   	plural   	us                        
locative          	1     	neuter   	plural   	us                        
vocative          	1     	neuter   	plural   	us                        
nominative        	1     	masculine	plural   	we♂                       
accusative        	1     	masculine	plural   	us♂                       
reflexive         	1     	masculine	plural   	ourselves♂                
emphatic-reflexive	1     	masculine	plural   	our<i>selves</i>♂         
genitive          	1     	masculine	plural   	ours♂                     
ablative          	1     	masculine	plural   	us♂                       
dative            	1     	masculine	plural   	us♂                       
instrumental      	1     	masculine	plural   	us♂                       
locative          	1     	masculine	plural   	us♂                       
vocative          	1     	masculine	plural   	us♂                       
nominative        	1     	feminine 	plural   	we♀                       
accusative        	1     	feminine 	plural   	us♀                       
reflexive         	1     	feminine 	plural   	ourselves♀                
emphatic-reflexive	1     	feminine 	plural   	our<i>selves</i>♀         
genitive          	1     	feminine 	plural   	ours♀                     
ablative          	1     	feminine 	plural   	us♀                       
dative            	1     	feminine 	plural   	us♀                       
instrumental      	1     	feminine 	plural   	us♀                       
locative          	1     	feminine 	plural   	us♀                       
vocative          	1     	feminine 	plural   	us♀                       
nominative        	2     	neuter   	singular 	you                       
accusative        	2     	neuter   	singular 	you                       
reflexive         	2     	neuter   	singular 	yourself                  
emphatic-reflexive	2     	neuter   	singular 	your<i>self</i>           
genitive          	2     	neuter   	singular 	yours                     
ablative          	2     	neuter   	singular 	you                       
dative            	2     	neuter   	singular 	you                       
instrumental      	2     	neuter   	singular 	you                       
locative          	2     	neuter   	singular 	you                       
vocative          	2     	neuter   	singular 	you                       
nominative        	2     	masculine	singular 	you♂                      
accusative        	2     	masculine	singular 	you♂                      
reflexive         	2     	masculine	singular 	yourself♂                 
emphatic-reflexive	2     	masculine	singular 	your<i>self</i>♂          
genitive          	2     	masculine	singular 	yours♂                    
ablative          	2     	masculine	singular 	you♂                      
dative            	2     	masculine	singular 	you♂                      
instrumental      	2     	masculine	singular 	you♂                      
