gratis 	 adverb 	 free 	 free, without charge, gratis
gratis 	 adverb 	 charge 	 free, without charge, gratis
gratis 	 adjective 	 free 	 free; for free, without charge
gratuit 	 adjective 	 free of charge 	 free of charge
gratuit 	 adjective 	 gratuitous 	 gratuitous, for no reason
gratuit 	 adjective 	 reason 	 gratuitous, for no reason
livre 	 noun 	 book 	 book
livre 	 noun 	 pound 	 pound
livre 	 noun 	 pound 	 pound
livre 	 noun 	 grade 	 grade
chien 	 noun 	 dog 	 dog
chien 	 noun 	 hammer 	 cock, hammer
chien 	 noun 	 cock 	 cock, hammer
chien 	 adjective 	 greedy 	 greedy, stingy
chien 	 adjective 	 stingy 	 greedy, stingy
pie 	 noun 	 magpie 	 magpie
connotation 	 noun 	 connotation 	 connotation
minute 	 noun 	 Noun 	 minute
minute 	 interjection 	 waitVerb 	 wait a sec!
patronage 	 noun 	 English 	 Patronage
eagle 	 noun 	 English 	 eagle
fa 	 noun 	 faEnglish 	 fa, the note 'F'
fable 	 noun 	 story 	 fable, story
abaca 	 noun 	 Manilla hemp 	 Manilla hemp
abandon 	 noun 	 surrender 	 surrender
abandon 	 noun 	 abandonment 	 abandonment
abandon 	 noun 	 neglect 	 complete neglect
abattoir 	 noun 	 slaughterhouse 	 slaughterhouse; abattoir
abbatial 	 noun 	 quarters 	 The quarters of the abbot and monks within an abbey
abbatial 	 noun 	 monk 	 The quarters of the abbot and monks within an abbey
abduction 	 noun 	 abductive 	 Abductive movement; abduction
abduction 	 noun 	 abductive reasoning 	 Abductive reasoning; abduction
aberrance 	 noun 	 aberrant 	 character of what is aberrant
aberrance 	 noun 	 aberration 	 an aberration or anomaly
aberrance 	 noun 	 anomaly 	 an aberration or anomaly
aberrant 	 adjective 	 anomalous 	 aberrant, abnormal or anomalous
aberrant 	 adjective 	 abnormal 	 aberrant, abnormal or anomalous
aberrant 	 adjective 	 rule 	 which is impossible according to the norms or rules
aberrant 	 adjective 	 impossible 	 which is impossible according to the norms or rules
aberrant 	 adjective 	 norm 	 which is impossible according to the norms or rules
aberration 	 noun 	 English 	 aberration
aberration 	 noun 	 aberrant 	 the state of being aberrant
aberration 	 noun 	 mutation 	 aberration or mutation
abhorrer 	 verb 	 abhor 	 to abominate, to abhor, to loathe
abhorrer 	 verb 	 abominate 	 to abominate, to abhor, to loathe
abhorrer 	 verb 	 loathe 	 to abominate, to abhor, to loathe
abject 	 adjective 	 contempt 	 Worthy of utmost contempt or disgust; vile; despicable
abject 	 adjective 	 disgust 	 Worthy of utmost contempt or disgust; vile; despicable
abject 	 adjective 	 despicable 	 Worthy of utmost contempt or disgust; vile; despicable
abject 	 adjective 	 vile 	 Worthy of utmost contempt or disgust; vile; despicable
abject 	 adjective 	 social 	 Of the lowest social position
abjection 	 noun 	 contempt 	 something that is worthy of utter contempt
abjurer 	 verb 	 abjure 	 To renounce or abandon solemnly; to abjure
abjurer 	 verb 	 abandon 	 To renounce or abandon solemnly; to abjure
abjurer 	 verb 	 renounce 	 To renounce or abandon solemnly; to abjure
abjurer 	 verb 	 religious 	 To formally renounce one's religious belief; to apostatise
abjurer 	 verb 	 apostatise 	 To formally renounce one's religious belief; to apostatise
