preposition 	 de 	 about 	 about; from; with 	  	 with; about; of; from; by; to
pronoun 	 le 	 him 	 him; it 	 direct object him, it 	 him; it
pronoun 	 je 	 i 	 i 	  	 i
pronoun 	 la 	 her 	 her; it 	 her, it direct object 	 it; her
conjunction 	 que 	 if 	 that 	 that 	 whether; if; but; that
pronoun 	 que 	 what 	 what; that 	  	 what; which; whom; that
particle 	 tu 	  	  	  	 
pronoun 	 tu 	 you 	 you 	 you ; thou 	 thou; you
pronoun 	 vous 	 you 	 you 	 The plural personal pronoun in the second person 	 yourself; yourselves; you; y'all
pronoun 	 un 	  	  	 one 	 
conjunction 	 et 	 and 	 and 	 and 	 and
preposition 	 à 	 at 	 at; to 	  	 upon; at; per; to
pronoun 	 il 	 he 	 he 	 he 	 it; he
pronoun 	 a 	  	  	  	 
particle 	 ne 	  	  	 not 	 
pronoun 	 ce 	 it 	 it 	 |with predicative adjectives or relative clauses|singular only it, this, that 	 it
determiner 	 ce 	 this 	 this; that 	 this, that 	 this; that
preposition 	 en 	 into 	 into; at; by 	  	 at; by; in; into; to
pronoun 	 en 	  	  	 Used as the object of a verb to indicate an indefinite quantity; of it, of them. Replaces the partitive article 	 
pronoun 	 on 	 they 	 they; we; one 	 one, people, you, someone 	 one; they; we; you
pronoun 	 ça 	 that 	 they 	 they 	 it; that
preposition 	 pour 	 on 	 on 	  	 against; on; for; as for; toward; to
determiner 	 mon 	 my 	 my 	 my 	 my
conjunction 	 qui 	  	  	 if 	 
pronoun 	 qui 	 who 	 who; that 	 who, whom 	 who; which; whom; that
conjunction 	 mais 	 only 	 only; but 	 but, although 	 although; yet; but; only
interjection 	 mai 	  	  	  	 
preposition 	 dans 	 inside 	 inside; into; through 	  	 inside; from; in; into; through
pronoun 	 nous 	 us 	 us; we 	 The plural personal pronoun in the first person 	 us; we
pronoun 	 elle 	 her 	 she 	 she 	 it; her; she
pronoun 	 me 	 me 	 me 	  	 myself; me
conjunction 	 si 	 if 	 if 	 if 	 whether; if
interjection 	 si 	  	  	 yes used to contradict a negative statement 	 
pronoun 	 y 	  	  	 there 	 
conjunction 	 non 	  	  	 not 	 
interjection 	 non 	 no! 	 no! 	 no! 	 right
preposition 	 avec 	 on 	 on 	  	 on; with
pronoun 	 tout 	 everything 	 everything 	  	 everything
pronoun 	 te 	 You 	 You 	 You 	 yourself
pronoun 	 moi 	 me 	 me 	 me 	 me
interjection 	 oui 	 aye 	 yes 	 yes 	 yes; aye; you bet
pronoun 	 ils 	 they 	 they 	 they male or mixed group 	 they
preposition 	 sur 	 on 	 on 	  	 out of; on; about; upon; from; over; onto
pronoun 	 quoi 	 what 	 what 	 what  pronoun 	 what
determiner 	 votre 	 your 	 your 	 Your, belonging to you 	 your
pronoun 	 se 	 you 	 you 	 direct and indirect object pronoun 	 himself; themselves; itself; you
conjunction 	 comme 	 as 	 as 	  	 as
particle 	 comme 	 like 	 like 	 like 	 like
preposition 	 ma 	  	  	  	 
pronoun 	 toi 	 you 	 you 	 You 	 you
pronoun 	 lui 	 him 	 him; her 	 him, he; the third-person masculine singular personal pronoun used after a preposition, or as the predicate of a linking verb, or when disjoined from a sentence, or as a stressed subject 	 him; her
pronoun 	 rien 	 anything 	 nothing 	 nothing 	 anything; nothing
conjunction 	 quand 	 as 	 as 	 when 	 as; when
determiner 	 son 	 its 	 its; his; her 	 His, her, its 	 its; her; his
determiner 	 ton 	 your 	 your 	 Your, thy 	 thy; your; thine
preposition 	 par 	 per 	 per; through; by 	  	 out of; through; per; by
conjunction 	 ou 	 or 	 or 	 or 	 either; or
determiner 	 notre 	 our 	 our 	 Our 	 our
interjection 	 merci 	 thanks 	 thank you 	 thank you 	 thank you; cheers; thanks
interjection 	 vraiment 	  	  	 really? for real? 	 
conjunction 	 aussi 	  	  	 therefore 	 
interjection 	 oh 	 wow 	 wow; oh 	  	 why; wow; oh
determiner 	 sa 	 its 	 its; his; her 	 His, her, its, one's 	 its; her; his
pronoun 	 tous 	 everyone 	 all 	 all 	 everyone; everybody; all and sundry
determiner 	 ta 	 your 	 your 	 your 	 thy; your; thine
