विश्व 	 adjective 	 every 	 all, every, every one; whole, entire, universal
विश्व 	 adjective 	 whole 	 all, every, every one; whole, entire, universal
विश्व 	 adjective 	 all 	 all, every, every one; whole, entire, universal
विश्व 	 noun 	 deva 	 name of a class of gods, Vishve, with or scil. devas, "all the gods collectively" or "the All-gods&quot
विश्व 	 noun 	 earth 	 the earth
विश्व 	 noun 	 world 	 the whole world, universe
विश्व 	 noun 	 universe 	 the whole world, universe
विश्व 	 noun 	 myrrh 	 myrrh
विश्व 	 noun 	 Piper longum 	 Piper longum, Indian long pepper
विश्व 	 noun 	 Asparagus racemosus 	 Asparagus racemosus
अ 	 interjection 	 particle 	 A vocative particle; o, oh
अ 	 interjection 	 vocative 	 A vocative particle; o, oh
अ 	 interjection 	 pity 	 An interjection of pity; ah
अ 	 interjection 	 interjection 	 An interjection of pity; ah
अ 	 pronoun 	 pronominal 	 a pronominal base
अ 	 pronoun 	 base 	 a pronominal base
ओ 	 interjection 	 ouch 	 ow, ouch
ओ 	 interjection 	 ow 	 ow, ouch
क 	 pronoun 	 what 	 interrogative pronoun; who, what, which
क 	 pronoun 	 who 	 interrogative pronoun; who, what, which
क 	 pronoun 	 which 	 interrogative pronoun; who, what, which
क 	 noun 	 soul 	 the soul
क 	 noun 	 comet 	 a particular comet
क 	 noun 	 sun 	 the sun
क 	 noun 	 fire 	 fire
क 	 noun 	 splendor 	 splendor, light
क 	 noun 	 light 	 splendor, light
क 	 noun 	 air 	 air
क 	 noun 	 peacock 	 a peacock
क 	 noun 	 body 	 the body
क 	 noun 	 time 	 time
क 	 noun 	 wealth 	 wealth
क 	 noun 	 sound 	 sound
क 	 noun 	 king 	 a king
क 	 noun 	 pleasure 	 happiness, joy, pleasure
क 	 noun 	 happiness 	 happiness, joy, pleasure
क 	 noun 	 joy 	 happiness, joy, pleasure
क 	 noun 	 water 	 water
क 	 noun 	 head 	 the head
क 	 noun 	 hair 	 hair, a head of hair
ग 	 adjective 	 going 	 going, moving
ग 	 adjective 	 moving 	 going, moving
ग 	 adjective 	 to 	 reaching to
ग 	 adjective 	 reaching 	 reaching to
घ 	 particle 	 at any rate 	 at least, surely, only, at any rate
घ 	 particle 	 at least 	 at least, surely, only, at any rate
घ 	 particle 	 only 	 at least, surely, only, at any rate
घ 	 particle 	 surely 	 at least, surely, only, at any rate
घ 	 particle 	 verily 	 verily, indeed, in fact
घ 	 particle 	 in fact 	 verily, indeed, in fact
घ 	 particle 	 indeed 	 verily, indeed, in fact
घ 	 particle 	 especially 	 especially, in particular
घ 	 particle 	 in particular 	 especially, in particular
च 	 conjunction 	 also 	 and, both, also, moreover, as well as
च 	 conjunction 	 moreover 	 and, both, also, moreover, as well as
च 	 conjunction 	 as well as 	 and, both, also, moreover, as well as
च 	 conjunction 	 both 	 and, both, also, moreover, as well as
च 	 conjunction 	 and 	 and, both, also, moreover, as well as
ज 	 noun 	 speed 	 speed
ज 	 noun 	 enjoyment 	 enjoyment
ज 	 noun 	 light 	 light, lustre
ज 	 noun 	 lustre 	 light, lustre
ज 	 noun 	 poison 	 poison
ज 	 noun 	 Vishnu 	 Vishnu
ज 	 noun 	 Shiva 	 Shiva
ज 	 adjective 	 begotten 	 born, begotten. gotten from; produced or caused by; born or produced in or at or upon; growing in; living at
ज 	 adjective 	 born 	 born, begotten. gotten from; produced or caused by; born or produced in or at or upon; growing in; living at
ज 	 adjective 	 gotten 	 born, begotten. gotten from; produced or caused by; born or produced in or at or upon; growing in; living at
ज 	 adjective 	 born 	 born or produced
ज 	 adjective 	 produced 	 born or produced
ज 	 adjective 	 borne 	 belonging to, connected with, peculiar to; borne
ज 	 adjective 	 waterborne 	 tr=anūpá-ja — growing near the water, waterborne
ज 	 adjective 	 foodborne 	 tr=anna-ja — springing from or occasioned by food, foodborne
ज 	 noun 	 son 	 son of
ज 	 noun 	 father 	 father
ज 	 noun 	 birth 	 birth
ज 	 adjective 	 swift 	 speedy, swift
ज 	 adjective 	 speedy 	 speedy, swift
ज 	 adjective 	 victorious 	 victorious
ज 	 adjective 	 eaten 	 eaten
ज 	 adjective 	 speed 	 speed
ज 	 adjective 	 enjoyment 	 enjoyment
ज 	 adjective 	 light 	 light, lustre
ज 	 adjective 	 lustre 	 light, lustre
ज 	 adjective 	 poison 	 poison
ज 	 adjective 	 Vishnu 	 Vishnu
ज 	 adjective 	 Shiva 	 Shiva
न 	 particle 	 not 	 no, not, none, no one, nothing, never, etc
न 	 particle 	 no 	 no, not, none, no one, nothing, never, etc
न 	 particle 	 nothing 	 no, not, none, no one, nothing, never, etc
न 	 particle 	 no one 	 no, not, none, no one, nothing, never, etc
न 	 particle 	 none 	 no, not, none, no one, nothing, never, etc
न 	 particle 	 never 	 no, not, none, no one, nothing, never, etc
कमल 	 noun 	 lotus 	 a lotus, lotus-flower
कमल 	 adjective 	 red 	 pale-red, rose-coloured
कमल 	 adjective 	 pale 	 pale-red, rose-coloured
कमल 	 adjective 	 desirous 	 desirous, lustful
कमल 	 adjective 	 lustful 	 desirous, lustful
साम्य 	 noun 	 equality 	 equality, evenness, equilibrium, equipoise, equal or normal state
साम्य 	 noun 	 evenness 	 equality, evenness, equilibrium, equipoise, equal or normal state
साम्य 	 noun 	 equilibrium 	 equality, evenness, equilibrium, equipoise, equal or normal state
बुद्ध 	 adjective 	 awake 	 awake
बुद्ध 	 adjective 	 clever 	 enlightened, conscious, intelligent, clever, wise
बुद्ध 	 adjective 	 intelligent 	 enlightened, conscious, intelligent, clever, wise
बुद्ध 	 adjective 	 enlightened 	 enlightened, conscious, intelligent, clever, wise
बुद्ध 	 adjective 	 conscious 	 enlightened, conscious, intelligent, clever, wise
बुद्ध 	 adjective 	 wise 	 enlightened, conscious, intelligent, clever, wise
बुद्ध 	 noun 	 Buddha 	 Buddha, the enlightened one
वृक्ष 	 noun 	 tree 	 a tree,  any tree bearing visible flowers and fruit, but also applied to any tree and other plants, often in the sense of wood
वृक्ष 	 noun 	 trunk 	 tree trunk
वृक्ष 	 noun 	 coffin 	 coffin
वृक्ष 	 noun 	 staff 	 the staff of a bow
वृक्ष 	 noun 	 bow 	 the staff of a bow
शलभ 	 noun 	 locust 	 locust
शलभ 	 noun 	 grasshopper 	 grasshopper
शलभ 	 noun 	 cricket 	 cricket
तृण 	 noun 	 blade 	 grass, herb, any gramineous plant, blade of grass, straw
तृण 	 noun 	 grass 	 grass, herb, any gramineous plant, blade of grass, straw
तृण 	 noun 	 gramineous 	 grass, herb, any gramineous plant, blade of grass, straw
तृण 	 noun 	 herb 	 grass, herb, any gramineous plant, blade of grass, straw
तृण 	 noun 	 straw 	 grass, herb, any gramineous plant, blade of grass, straw
आसन 	 noun 	 seat 	 seat, chair
आसन 	 noun 	 chair 	 seat, chair
संस्कृत 	 adjective 	 formed 	 put together, constructed, well or completely formed, perfected
संस्कृत 	 adjective 	 well 	 put together, constructed, well or completely formed, perfected
संस्कृत 	 adjective 	 constructed 	 put together, constructed, well or completely formed, perfected
संस्कृत 	 adjective 	 perfected 	 put together, constructed, well or completely formed, perfected
संस्कृत 	 adjective 	 prepared 	 made ready, prepared, completed, finished
संस्कृत 	 adjective 	 finished 	 made ready, prepared, completed, finished
संस्कृत 	 adjective 	 completed 	 made ready, prepared, completed, finished
संस्कृत 	 adjective 	 cooked 	 dressed, cooked
संस्कृत 	 adjective 	 dressed 	 dressed, cooked
संस्कृत 	 adjective 	 hallowed 	 purified, consecrated, sanctified, hallowed, initiated
संस्कृत 	 adjective 	 initiated 	 purified, consecrated, sanctified, hallowed, initiated
संस्कृत 	 adjective 	 consecrated 	 purified, consecrated, sanctified, hallowed, initiated
संस्कृत 	 adjective 	 purified 	 purified, consecrated, sanctified, hallowed, initiated
संस्कृत 	 adjective 	 sanctified 	 purified, consecrated, sanctified, hallowed, initiated
संस्कृत 	 adjective 	 polished 	 refined, adorned, ornamented, polished, highly elaborated
संस्कृत 	 adjective 	 elaborated 	 refined, adorned, ornamented, polished, highly elaborated
संस्कृत 	 adjective 	 refined 	 refined, adorned, ornamented, polished, highly elaborated
संस्कृत 	 adjective 	 adorned 	 refined, adorned, ornamented, polished, highly elaborated
संस्कृत 	 adjective 	 ornamented 	 refined, adorned, ornamented, polished, highly elaborated
संस्कृत 	 noun 	 man 	 a man of one of the three classes who has been sanctified by the purificatory rites
संस्कृत 	 noun 	 learned 	 learned man
संस्कृत 	 noun 	 man 	 learned man
संस्कृत 	 noun 	 word 	 a word formed according to accurate rules, a regular derivation
संस्कृत 	 noun 	 derivation 	 a word formed according to accurate rules, a regular derivation
संस्कृत 	 noun 	 regular 	 a word formed according to accurate rules, a regular derivation
संस्कृत 	 noun 	 prepared 	 making ready, preparation or a prepared place, sacrifice
संस्कृत 	 noun 	 place 	 making ready, preparation or a prepared place, sacrifice
संस्कृत 	 noun 	 sacrifice 	 making ready, preparation or a prepared place, sacrifice
संस्कृत 	 noun 	 preparation 	 making ready, preparation or a prepared place, sacrifice
संस्कृत 	 noun 	 usage 	 sacred usage or custom
संस्कृत 	 noun 	 custom 	 sacred usage or custom
संस्कृत 	 noun 	 Sanskrit 	 Sanskrit language
समुद्र 	 noun 	 sea 	 the sea; ocean
समुद्र 	 noun 	 ocean 	 the sea; ocean
पलक 	 noun 	 board 	 board
तरंग 	 noun 	 surf 	 surf
तरंग 	 noun 	 wave 	 wave
तीर 	 noun 	 beach 	 beach, shore
तीर 	 noun 	 shore 	 beach, shore
तीर 	 noun 	 bank 	 bank
ॐ 	 particle 	 om 	 om; aum
ॐ 	 particle 	 aum 	 om; aum
ॐ 	 particle 	 Buddhism 	 the sacred syllable and mantra in Hinduism and Buddhism
ॐ 	 particle 	 Hinduism 	 the sacred syllable and mantra in Hinduism and Buddhism
ॐ 	 particle 	 sacred 	 the sacred syllable and mantra in Hinduism and Buddhism
ॐ 	 particle 	 mantra 	 the sacred syllable and mantra in Hinduism and Buddhism
वन 	 noun 	 tree 	 a tree
वन 	 noun 	 forest 	 a forest, wood, grove, thicket, quantity of lotuses or other plants growing in a thick cluster
वन 	 noun 	 wood 	 a forest, wood, grove, thicket, quantity of lotuses or other plants growing in a thick cluster
वन 	 noun 	 thicket 	 a forest, wood, grove, thicket, quantity of lotuses or other plants growing in a thick cluster
वन 	 noun 	 grove 	 a forest, wood, grove, thicket, quantity of lotuses or other plants growing in a thick cluster
वन 	 noun 	 wood 	 wood, timber
वन 	 noun 	 timber 	 wood, timber
वन 	 noun 	 cloud 	 a cloud
वन 	 noun 	 abode 	 abode
वन 	 noun 	 coco-grass 	 coco-grass
वन 	 noun 	 light 	 A ray of light
वन 	 noun 	 ray 	 A ray of light
संधि 	 adjective 	 conjunction 	 containing a conjunction or transition from one to the other etc
संधि 	 adjective 	 transition 	 containing a conjunction or transition from one to the other etc
संधि 	 noun 	 combination 	 junction, connection, combination, union with
संधि 	 noun 	 junction 	 junction, connection, combination, union with
संधि 	 noun 	 connection 	 junction, connection, combination, union with
संधि 	 noun 	 association 	 association, intercourse with
संधि 	 noun 	 intercourse 	 association, intercourse with
संधि 	 noun 	 comprehension 	 comprehension, totality, the whole essence or scope of
संधि 	 noun 	 essence 	 comprehension, totality, the whole essence or scope of
संधि 	 noun 	 totality 	 comprehension, totality, the whole essence or scope of
संधि 	 noun 	 scope 	 comprehension, totality, the whole essence or scope of
संधि 	 noun 	 compact 	 agreement, compact
संधि 	 noun 	 agreement 	 agreement, compact
संधि 	 noun 	 peace 	 alliance, league, reconciliation, peace between  or with , making a treaty of peace, negotiating alliances
संधि 	 noun 	 league 	 alliance, league, reconciliation, peace between  or with , making a treaty of peace, negotiating alliances
संधि 	 noun 	 reconciliation 	 alliance, league, reconciliation, peace between  or with , making a treaty of peace, negotiating alliances
संधि 	 noun 	 alliance 	 alliance, league, reconciliation, peace between  or with , making a treaty of peace, negotiating alliances
संधि 	 noun 	 sandhi 	 sandhi, euphonic combination
संधि 	 noun 	 contrivance 	 contrivance, management
संधि 	 noun 	 management 	 contrivance, management
संधि 	 noun 	 place 	 place or point of connection or contact, juncture, hinge, boundary, boundary line
संधि 	 noun 	 boundary 	 place or point of connection or contact, juncture, hinge, boundary, boundary line
संधि 	 noun 	 hinge 	 place or point of connection or contact, juncture, hinge, boundary, boundary line
संधि 	 noun 	 point 	 place or point of connection or contact, juncture, hinge, boundary, boundary line
संधि 	 noun 	 juncture 	 place or point of connection or contact, juncture, hinge, boundary, boundary line
संधि 	 noun 	 crisis 	 critical juncture, crisis, opportune moment
संधि 	 noun 	 articulation 	 joint, articulation
