verb	swadesh number						proto-indo-european	old-english	latin	ancient-greek	russian		sanksrit																																
							translated	translated	translated	translated	translated	transliterated	translated	transliterated																															
be		active	present	indicative	1	singular	h₁ésm̥	eom	sum	εἰμῐ́	есмь	jesʲmʲ	अस्मि	asmi	# for nominatives of all kinds																														
be		active	present	indicative	2	singular	h₁és	eart	es	εἶ	еси́	jɪˈsʲi	असि	asi																															
be		active	present	indicative	3	singular	h₁ést	is	est	ἐστί/ἐστίν	есть	jesʲtʲ	अस्ति	asti																															
be		active	present	indicative	1	dual	h₁swé	sind	sumus	ἐσμέν	есмы́	jɪˈsmɨ	स्वः	svaḥ																															
be		active	present	indicative	2	dual	h₁stóm	sind	estis	ἐστόν	е́сте	ˈjesʲtʲɪ	स्थः	sthaḥ																															
be		active	present	indicative	3	dual	h₁stā́m	sind	sunt	ἐστόν	суть	ˈsutʲ	स्तः	staḥ																															
be		active	present	indicative	1	plural	h₁smé	sind	sumus	ἐσμέν	есмы́	jɪˈsmɨ	स्मः	smaḥ																															
be		active	present	indicative	2	plural	h₁sté	sind	estis	ἐστέ	е́сте	ˈjesʲtʲɪ	स्थ	stha																															
be		active	present	indicative	3	plural	h₁sént	sind	sunt	εἰσί/εἰσίν	суть	ˈsutʲ	सन्ति	santi																															
come	122	active	present	indicative	1	singular	gʷḗm	ancume	adveniō	ῑ̔́κω	дохожу́	doxožú	गच्छामि	gacchāmi	# for times and events in nominative, among other uses																														
come	122	active	present	indicative	2	singular	gʷéms	ancymest	advenīs	ῑ̔́κεις	дохо́дишь	doxódišʹ	गच्छसि	gacchasi																															
come	122	active	present	indicative	3	singular	gʷémt	ancymeþ	advenit	ῑ̔́κει	дохо́дит	doxódit	गच्छति	gacchati																															
come	122	active	present	indicative	1	dual	gʷm̥wé	ancumaþ	advenīmus	ῑ̔́κομεν	дохо́дим	doxódim	गच्छावः	gacchāvaḥ																															
come	122	active	present	indicative	2	dual	gʷm̥tóm	ancumaþ	advenītis	ῑ̔́κετον	дохо́дите	doxódite	गच्छथः	gacchathaḥ																															
come	122	active	present	indicative	3	dual	gʷm̥tā́m	ancumaþ	adveniunt	ῑ̔́κετον	дохо́дят	doxódjat	गच्छतः	gacchataḥ																															
come	122	active	present	indicative	1	plural	gʷm̥mé	ancumaþ	advenīmus	ῑ̔́κομεν	дохо́дим	doxódim	गच्छामः	gacchāmaḥ																															
come	122	active	present	indicative	2	plural	gʷm̥té	ancumaþ	advenītis	ῑ̔́κετε	дохо́дите	doxódite	गच्छथ	gacchatha																															
come	122	active	present	indicative	3	plural	gʷmént	ancumaþ	adveniunt	ῑ̔́κουσῐ(ν)	дохо́дят	doxódjat	गच्छन्ति	gacchanti																															
walk		active	present	indicative	1	singular	gʰredʰyóh₂	gā	ambulō	βαίνω	хожу́	xožú	calāmi	चलामि	# for physical things in dative, ablative, and locative																														
walk		active	present	indicative	2	singular	gʰredʰyési	gǣst	ambulās	βαίνεις	хо́дишь	xódišʹ	calasi	चलसि																															
walk	121	active	present	indicative	3	singular	gʰredʰyéti	gǣþ	ambulat	βαίνει	хо́дит	xódit	calati	चलति																															
walk		active	present	indicative	1	dual	gʰredʰyówos	gāþ	ambulāmus	βαίνομεν	хо́дим	xódim	calāvaḥ	चलावः																															
walk		active	present	indicative	2	dual	gʰredʰyétes	gāþ	ambulātis	βαίνετον	хо́дите	xódite	calathaḥ	चलथः																															
walk		active	present	indicative	3	dual	gʰredʰyétes	gāþ	ambulant	βαίνετον	хо́дят	xódjat	calataḥ	चलतः																															
walk		active	present	indicative	1	plural	gʰredʰyómos	gāþ	ambulāmus	βαίνομεν	хо́дим	xódim	calāmaḥ	चलामः																															
walk		active	present	indicative	2	plural	gʰredʰyéte	gāþ	ambulātis	βαίνετε	хо́дите	xódite	calatha	चलथ																															
walk		active	present	indicative	3	plural	gʰredʰyónti	gāþ	ambulant	βαίνουσῐ(ν)	хо́дят	xódjat	calanti	चलन्ति																															
see	101	active	present	indicative	1	singular	wóydh₂e           	sēo	videō	εἶδον	ви́жу	vížu	पश्यामि	paśyāmi	# for observables in accusative																														
see	101	active	present	indicative	2	singular	wóydth₂e          	siehst	vidēs	εἶδες	ви́дишь	vídišʹ	पश्यसि	paśyasi																															
